name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,341,0.7613667704554985,4,655,10,65536,2,32,296,951.0,37748736.0,30.0,D2
cap,341,0.7613667704554985,4,655,10,98304,2,32,296,951.0,37748736.0,30.0,D2
cap,341,0.7613667704554985,4,655,10,196608,2,32,296,951.0,37748736.0,30.0,D2
cap,341,0.7613667704554985,4,655,10,262144,2,32,296,951.0,37748736.0,30.0,D2
cap,341,0.7613667704554985,4,655,10,294912,2,32,296,951.0,37748736.0,30.0,D2
cap,301,0.7428091806827954,4,344,10,393216,2,7,97,441.0,50331648.0,40.0,D2
cap,237,0.7409381939283675,2,729,10,491520,2,31,272,1001.0,31457280.0,25.0,D2
cap,65,0.7187853647410016,1,318,10,589824,2,2,17,335.0,31457280.0,25.0,D2
cap,65,0.7187853647410016,1,318,10,688128,2,2,17,335.0,31457280.0,25.0,D2
cap,65,0.7187853647410016,1,318,10,786432,2,2,17,335.0,31457280.0,25.0,D2
cap,65,0.7187853647410016,1,318,10,884736,2,2,17,335.0,31457280.0,25.0,D2
cap,65,0.7187853647410016,1,318,10,983040,2,2,17,335.0,31457280.0,25.0,D2
cap,203,0.8563537335934527,4,5933,20,65536,2,40,1005,6938.0,37748736.0,30.0,D2
cap,203,0.8563537335934527,4,5933,20,98304,2,40,1005,6938.0,37748736.0,30.0,D2
cap,203,0.8563537335934527,4,5933,20,196608,2,40,1005,6938.0,37748736.0,30.0,D2
cap,203,0.8563537335934527,4,5933,20,262144,2,40,1005,6938.0,37748736.0,30.0,D2
cap,203,0.8563537335934527,4,5933,20,294912,2,40,1005,6938.0,37748736.0,30.0,D2
cap,263,0.8554694036981176,4,6356,20,393216,2,39,781,7137.0,50331648.0,40.0,D2
cap,365,0.8135292626374357,2,5633,20,491520,2,35,546,6179.0,31457280.0,25.0,D2
cap,178,0.811752088702315,2,7705,20,589824,2,28,293,7998.0,37748736.0,30.0,D2
cap,16,0.7577229975049002,1,1224,20,688128,2,2,17,1241.0,31457280.0,25.0,D2
cap,16,0.7577229975049002,1,1224,20,786432,2,2,17,1241.0,31457280.0,25.0,D2
cap,16,0.7577229975049002,1,1224,20,884736,2,2,17,1241.0,31457280.0,25.0,D2
cap,16,0.7577229975049002,1,1224,20,983040,2,2,17,1241.0,31457280.0,25.0,D2
cap,30,0.8582134191174279,4,10465,30,65536,3,42,3002,13467.0,8388608.0,6.67,D2
cap,498,0.857223239447445,4,10333,30,98304,3,43,3130,13463.0,12582912.0,10.0,D2
cap,451,0.854676606342787,4,10778,30,196608,2,44,1942,12720.0,25165824.0,20.0,D2
cap,67,0.8435484650924875,4,8276,30,262144,2,23,518,8794.0,50331648.0,40.0,D2
cap,67,0.8435484650924875,4,8276,30,294912,2,23,518,8794.0,50331648.0,40.0,D2
cap,67,0.8435484650924875,4,8276,30,393216,2,23,518,8794.0,50331648.0,40.0,D2
cap,202,0.821532288332872,2,12162,30,491520,3,43,1922,14084.0,37748736.0,30.0,D2
cap,202,0.821532288332872,2,12162,30,589824,3,43,1922,14084.0,37748736.0,30.0,D2
cap,14,0.636560287520695,1,792,30,688128,2,2,26,818.0,31457280.0,25.0,D2
cap,14,0.636560287520695,1,792,30,786432,2,2,26,818.0,31457280.0,25.0,D2
cap,14,0.636560287520695,1,792,30,884736,2,2,26,818.0,31457280.0,25.0,D2
cap,14,0.636560287520695,1,792,30,983040,2,2,26,818.0,31457280.0,25.0,D2
