name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,6,0.7269734744496742,4,1076,10,65536,2,40,338,1414.0,37748736.0,30.0,D3
cap,6,0.7269734744496742,4,1076,10,98304,2,40,338,1414.0,37748736.0,30.0,D3
cap,6,0.7269734744496742,4,1076,10,196608,2,40,338,1414.0,37748736.0,30.0,D3
cap,6,0.7269734744496742,4,1076,10,262144,2,40,338,1414.0,37748736.0,30.0,D3
cap,6,0.7269734744496742,4,1076,10,294912,2,40,338,1414.0,37748736.0,30.0,D3
cap,4,0.6808477340254036,3,825,10,393216,2,36,337,1162.0,37748736.0,30.0,D3
cap,404,0.6558946363792894,2,1168,10,491520,4,41,471,1639.0,31457280.0,25.0,D3
cap,438,0.4845154107144713,1,1193,10,589824,5,36,559,1752.0,25165824.0,20.0,D3
cap,438,0.4845154107144713,1,1193,10,688128,5,36,559,1752.0,25165824.0,20.0,D3
cap,438,0.4845154107144713,1,1193,10,786432,5,36,559,1752.0,25165824.0,20.0,D3
cap,113,0.16456716423781426,1,37,10,884736,2,2,8,45.0,31457280.0,25.0,D3
cap,113,0.16456716423781426,1,37,10,983040,2,2,8,45.0,31457280.0,25.0,D3
cap,82,0.8052609517002517,3,1681,20,65536,4,36,552,2233.0,37748736.0,30.0,D3
cap,82,0.8052609517002517,3,1681,20,98304,4,36,552,2233.0,37748736.0,30.0,D3
cap,82,0.8052609517002517,3,1681,20,196608,4,36,552,2233.0,37748736.0,30.0,D3
cap,82,0.8052609517002517,3,1681,20,262144,4,36,552,2233.0,37748736.0,30.0,D3
cap,82,0.8052609517002517,3,1681,20,294912,4,36,552,2233.0,37748736.0,30.0,D3
cap,82,0.8052609517002517,3,1681,20,393216,4,36,552,2233.0,37748736.0,30.0,D3
cap,278,0.7262167613001049,2,1864,20,491520,4,40,823,2687.0,31457280.0,25.0,D3
cap,82,0.5725309424605636,1,1932,20,589824,4,37,922,2854.0,25165824.0,20.0,D3
cap,82,0.5725309424605636,1,1932,20,688128,4,37,922,2854.0,25165824.0,20.0,D3
cap,82,0.5725309424605636,1,1932,20,786432,4,37,922,2854.0,25165824.0,20.0,D3
cap,137,0.16456716423781426,1,34,20,884736,2,2,8,42.0,31457280.0,25.0,D3
cap,137,0.16456716423781426,1,34,20,983040,2,2,8,42.0,31457280.0,25.0,D3
cap,116,0.8293060995869385,4,1867,30,65536,2,39,530,2397.0,37748736.0,30.0,D3
cap,116,0.8293060995869385,4,1867,30,98304,2,39,530,2397.0,37748736.0,30.0,D3
cap,116,0.8293060995869385,4,1867,30,196608,2,39,530,2397.0,37748736.0,30.0,D3
cap,116,0.8293060995869385,4,1867,30,262144,2,39,530,2397.0,37748736.0,30.0,D3
cap,116,0.8293060995869385,4,1867,30,294912,2,39,530,2397.0,37748736.0,30.0,D3
cap,6,0.7816236818414516,3,2130,30,393216,6,40,780,2910.0,37748736.0,30.0,D3
cap,139,0.5057673074514933,1,1419,30,491520,4,33,492,1911.0,25165824.0,20.0,D3
cap,139,0.5057673074514933,1,1419,30,589824,4,33,492,1911.0,25165824.0,20.0,D3
cap,139,0.5057673074514933,1,1419,30,688128,4,33,492,1911.0,25165824.0,20.0,D3
cap,139,0.5057673074514933,1,1419,30,786432,4,33,492,1911.0,25165824.0,20.0,D3
cap,0,0.07938337849427803,1,7,30,884736,7,1,4,11.0,31457280.0,25.0,D3
cap,0,0.07938337849427803,1,7,30,983040,7,1,4,11.0,31457280.0,25.0,D3
