name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,75,0.8241467240711214,1,345,13,65536,4,25,192,537.0,25165824.0,20.0,D6
cap,75,0.8241467240711214,1,345,13,98304,4,25,192,537.0,25165824.0,20.0,D6
cap,75,0.8241467240711214,1,345,13,196608,4,25,192,537.0,25165824.0,20.0,D6
cap,75,0.8241467240711214,1,345,13,262144,4,25,192,537.0,25165824.0,20.0,D6
cap,75,0.8241467240711214,1,345,13,294912,4,25,192,537.0,25165824.0,20.0,D6
cap,75,0.8241467240711214,1,345,13,393216,4,25,192,537.0,25165824.0,20.0,D6
cap,75,0.8241467240711214,1,345,13,491520,4,25,192,537.0,25165824.0,20.0,D6
cap,75,0.8241467240711214,1,345,13,589824,4,25,192,537.0,25165824.0,20.0,D6
cap,75,0.8241467240711214,1,345,13,688128,4,25,192,537.0,25165824.0,20.0,D6
cap,75,0.8241467240711214,1,345,13,786432,4,25,192,537.0,25165824.0,20.0,D6
cap,59,0.7078943161332488,1,725,20,884736,2,3,15,740.0,31457280.0,25.0,D6
cap,59,0.7078943161332488,1,725,20,983040,2,3,15,740.0,31457280.0,25.0,D6
cap,370,0.9333249463023419,2,398,22,65536,3,34,185,583.0,31457280.0,25.0,D6
cap,370,0.9333249463023419,2,398,22,98304,3,34,185,583.0,31457280.0,25.0,D6
cap,370,0.9333249463023419,2,398,22,196608,3,34,185,583.0,31457280.0,25.0,D6
cap,370,0.9333249463023419,2,398,22,262144,3,34,185,583.0,31457280.0,25.0,D6
cap,370,0.9333249463023419,2,398,22,294912,3,34,185,583.0,31457280.0,25.0,D6
cap,370,0.9333249463023419,2,398,22,393216,3,34,185,583.0,31457280.0,25.0,D6
cap,370,0.9333249463023419,2,398,22,491520,3,34,185,583.0,31457280.0,25.0,D6
cap,0,0.55,2,0,10,589824,1,2,76,76.0,62914560.0,50.0,D6
cap,0,0.55,2,0,10,688128,1,2,76,76.0,62914560.0,50.0,D6
cap,0,0.55,2,0,10,786432,1,2,76,76.0,62914560.0,50.0,D6
cap,0,0.55,2,0,10,884736,1,2,76,76.0,62914560.0,50.0,D6
cap,0,0.55,2,0,10,983040,1,2,76,76.0,62914560.0,50.0,D6
cap,139,0.9676635231973589,3,265,14,65536,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,98304,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,196608,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,262144,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,294912,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,393216,5,32,155,420.0,37748736.0,30.0,D6
cap,0,0.79,3,0,13,491520,1,3,278,278.0,75497472.0,60.0,D6
cap,0,0.79,3,0,13,589824,1,3,278,278.0,75497472.0,60.0,D6
cap,0,0.79,3,0,13,688128,1,3,278,278.0,75497472.0,60.0,D6
cap,0,0.79,3,0,13,786432,1,3,278,278.0,75497472.0,60.0,D6
