name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,62,0.5092111778046555,1,484,21,65536,2,13,96,580.0,25165824.0,20.0,D4
cap,62,0.5092111778046555,1,484,21,98304,2,13,96,580.0,25165824.0,20.0,D4
cap,62,0.5092111778046555,1,484,21,196608,2,13,96,580.0,25165824.0,20.0,D4
cap,62,0.5092111778046555,1,484,21,262144,2,13,96,580.0,25165824.0,20.0,D4
cap,62,0.5092111778046555,1,484,21,294912,2,13,96,580.0,25165824.0,20.0,D4
cap,62,0.5092111778046555,1,484,21,393216,2,13,96,580.0,25165824.0,20.0,D4
cap,62,0.5092111778046555,1,484,21,491520,2,13,96,580.0,25165824.0,20.0,D4
cap,62,0.5092111778046555,1,484,21,589824,2,13,96,580.0,25165824.0,20.0,D4
cap,62,0.5092111778046555,1,484,21,688128,2,13,96,580.0,25165824.0,20.0,D4
cap,62,0.5092111778046555,1,484,21,786432,2,13,96,580.0,25165824.0,20.0,D4
cap,1,0.5077675424320381,1,401,44,884736,2,1,9,410.0,31457280.0,25.0,D4
cap,1,0.5077675424320381,1,401,44,983040,2,1,9,410.0,31457280.0,25.0,D4
cap,51,0.6252775594305413,2,9945,29,65536,2,40,2214,12159.0,37748736.0,30.0,D4
cap,51,0.6252775594305413,2,9945,29,98304,2,40,2214,12159.0,37748736.0,30.0,D4
cap,51,0.6252775594305413,2,9945,29,196608,2,40,2214,12159.0,37748736.0,30.0,D4
cap,51,0.6252775594305413,2,9945,29,262144,2,40,2214,12159.0,37748736.0,30.0,D4
cap,51,0.6252775594305413,2,9945,29,294912,2,40,2214,12159.0,37748736.0,30.0,D4
cap,51,0.6252775594305413,2,9945,29,393216,2,40,2214,12159.0,37748736.0,30.0,D4
cap,51,0.6252775594305413,2,9945,29,491520,2,40,2214,12159.0,37748736.0,30.0,D4
cap,51,0.6252775594305413,2,9945,29,589824,2,40,2214,12159.0,37748736.0,30.0,D4
cap,0,0.57,2,0,13,688128,1,2,4745,4745.0,50331648.0,40.0,D4
cap,0,0.57,2,0,13,786432,1,2,4745,4745.0,50331648.0,40.0,D4
cap,0,0.52,2,0,12,884736,1,2,446,446.0,62914560.0,50.0,D4
cap,0,0.52,2,0,12,983040,1,2,446,446.0,62914560.0,50.0,D4
cap,38,0.6726951682711392,3,8306,21,65536,2,41,2795,11101.0,18874368.0,15.0,D4
cap,38,0.6726951682711392,3,8306,21,98304,2,41,2795,11101.0,18874368.0,15.0,D4
cap,38,0.6726951682711392,3,8306,21,196608,2,41,2795,11101.0,18874368.0,15.0,D4
cap,455,0.6695204713387596,3,8336,29,262144,2,41,2396,10732.0,37748736.0,30.0,D4
cap,455,0.6695204713387596,3,8336,29,294912,2,41,2396,10732.0,37748736.0,30.0,D4
cap,455,0.6695204713387596,3,8336,29,393216,2,41,2396,10732.0,37748736.0,30.0,D4
cap,0,0.63,3,0,15,491520,1,3,6089,6089.0,56623104.0,45.0,D4
cap,0,0.63,3,0,15,589824,1,3,6089,6089.0,56623104.0,45.0,D4
