name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,0,0.91,4,0,14,65536,1,4,158,158.0,62914560.0,50.0,D6
cap,0,0.91,4,0,14,98304,1,4,158,158.0,62914560.0,50.0,D6
cap,0,0.91,4,0,14,196608,1,4,158,158.0,62914560.0,50.0,D6
cap,0,0.91,4,0,14,262144,1,4,158,158.0,62914560.0,50.0,D6
cap,0,0.91,4,0,14,294912,1,4,158,158.0,62914560.0,50.0,D6
cap,0,0.91,4,0,14,393216,1,4,158,158.0,62914560.0,50.0,D6
cap,0,0.91,4,0,14,491520,1,4,158,158.0,62914560.0,50.0,D6
cap,0,0.79,3,0,13,589824,1,3,278,278.0,75497472.0,60.0,D6
cap,0,0.79,3,0,13,688128,1,3,278,278.0,75497472.0,60.0,D6
cap,0,0.79,3,0,13,786432,1,3,278,278.0,75497472.0,60.0,D6
cap,0,0.55,2,0,10,884736,1,2,76,76.0,62914560.0,50.0,D6
cap,0,0.55,2,0,10,983040,1,2,76,76.0,62914560.0,50.0,D6
cap,317,0.9577002970232996,4,495,21,65536,3,31,193,688.0,37748736.0,30.0,D6
cap,317,0.9577002970232996,4,495,21,98304,3,31,193,688.0,37748736.0,30.0,D6
cap,317,0.9577002970232996,4,495,21,196608,3,31,193,688.0,37748736.0,30.0,D6
cap,317,0.9577002970232996,4,495,21,262144,3,31,193,688.0,37748736.0,30.0,D6
cap,317,0.9577002970232996,4,495,21,294912,3,31,193,688.0,37748736.0,30.0,D6
cap,370,0.9333249463023419,2,398,22,393216,3,34,185,583.0,31457280.0,25.0,D6
cap,370,0.9333249463023419,2,398,22,491520,3,34,185,583.0,31457280.0,25.0,D6
cap,45,0.7486965158745263,1,170,13,589824,3,9,56,226.0,25165824.0,20.0,D6
cap,45,0.7486965158745263,1,170,13,688128,3,9,56,226.0,25165824.0,20.0,D6
cap,45,0.7486965158745263,1,170,13,786432,3,9,56,226.0,25165824.0,20.0,D6
cap,60,0.4966723506397906,1,180,17,884736,3,5,47,227.0,31457280.0,25.0,D6
cap,60,0.4966723506397906,1,180,17,983040,3,5,47,227.0,31457280.0,25.0,D6
cap,139,0.9676635231973589,3,265,14,65536,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,98304,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,196608,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,262144,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,294912,5,32,155,420.0,37748736.0,30.0,D6
cap,139,0.9676635231973589,3,265,14,393216,5,32,155,420.0,37748736.0,30.0,D6
cap,62,0.9042664692213389,2,438,12,491520,5,33,229,667.0,31457280.0,25.0,D6
cap,87,0.6787944511520163,1,377,22,589824,5,22,179,556.0,25165824.0,20.0,D6
cap,87,0.6787944511520163,1,377,22,688128,5,22,179,556.0,25165824.0,20.0,D6
cap,87,0.6787944511520163,1,377,22,786432,5,22,179,556.0,25165824.0,20.0,D6
cap,1,0.43274569380980016,1,180,45,884736,5,2,8,188.0,31457280.0,25.0,D6
cap,1,0.43274569380980016,1,180,45,983040,5,2,8,188.0,31457280.0,25.0,D6
