name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,0,0.42,7,0,13,65536,1,7,2855,2855.0,44040192.0,35.0,D5
cap,0,0.42,7,0,13,98304,1,7,2855,2855.0,44040192.0,35.0,D5
cap,0,0.42,7,0,13,196608,1,7,2855,2855.0,44040192.0,35.0,D5
cap,0,0.41,5,0,14,262144,1,5,4080,4080.0,47185920.0,37.5,D5
cap,0,0.41,5,0,14,294912,1,5,4080,4080.0,47185920.0,37.5,D5
cap,0,0.39,6,0,10,393216,1,6,873,873.0,75497472.0,60.0,D5
cap,0,0.36,3,0,12,491520,1,3,3798,3798.0,47185920.0,37.5,D5
cap,0,0.36,3,0,13,589824,1,3,5522,5522.0,56623104.0,45.0,D5
cap,0,0.24,2,0,13,688128,1,2,1244,1244.0,62914560.0,50.0,D5
cap,0,0.24,2,0,13,786432,1,2,1244,1244.0,62914560.0,50.0,D5
cap,0,0.24,2,0,13,884736,1,2,1244,1244.0,62914560.0,50.0,D5
cap,0,0.24,2,0,13,983040,1,2,1244,1244.0,62914560.0,50.0,D5
cap,221,0.433703072809195,4,13291,44,65536,3,42,2952,16243.0,12582912.0,10.0,D5
cap,221,0.433703072809195,4,13291,44,98304,3,42,2952,16243.0,12582912.0,10.0,D5
cap,87,0.4243699998686648,3,15573,41,196608,3,43,2617,18190.0,18874368.0,15.0,D5
cap,198,0.40045202757198983,4,8697,37,262144,3,25,638,9335.0,50331648.0,40.0,D5
cap,198,0.40045202757198983,4,8697,37,294912,3,25,638,9335.0,50331648.0,40.0,D5
cap,198,0.40045202757198983,4,8697,37,393216,3,25,638,9335.0,50331648.0,40.0,D5
cap,101,0.33938500105045266,2,11181,17,491520,3,42,2582,13763.0,37748736.0,30.0,D5
cap,101,0.33938500105045266,2,11181,17,589824,3,42,2582,13763.0,37748736.0,30.0,D5
cap,9,0.18021799225027238,1,5548,15,688128,3,41,1596,7144.0,25165824.0,20.0,D5
cap,9,0.18021799225027238,1,5548,15,786432,3,41,1596,7144.0,25165824.0,20.0,D5
cap,62,0.43548448846021337,4,16488,42,65536,5,41,2849,19337.0,12582912.0,10.0,D5
cap,62,0.43548448846021337,4,16488,42,98304,5,41,2849,19337.0,12582912.0,10.0,D5
cap,0,0.4340822297670785,3,19590,45,196608,5,43,5686,25276.0,18874368.0,15.0,D5
cap,124,0.4072617189735005,3,11968,49,262144,5,32,870,12838.0,28311552.0,22.5,D5
cap,124,0.4072617189735005,3,11968,49,294912,5,32,870,12838.0,28311552.0,22.5,D5
cap,135,0.3852757128924003,3,12331,50,393216,5,21,383,12714.0,37748736.0,30.0,D5
cap,32,0.3417327258002435,2,12002,41,491520,5,43,2283,14285.0,37748736.0,30.0,D5
cap,32,0.3417327258002435,2,12002,41,589824,5,43,2283,14285.0,37748736.0,30.0,D5
cap,9,0.18055250795642774,1,5380,15,688128,5,42,2524,7904.0,25165824.0,20.0,D5
cap,9,0.18055250795642774,1,5380,15,786432,5,42,2524,7904.0,25165824.0,20.0,D5
