name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,0,0.81,6,0,15,65536,1,6,898,898.0,56623104.0,45.0,D2
cap,0,0.81,6,0,15,98304,1,6,898,898.0,56623104.0,45.0,D2
cap,0,0.81,6,0,15,196608,1,6,898,898.0,56623104.0,45.0,D2
cap,0,0.81,6,0,15,262144,1,6,898,898.0,56623104.0,45.0,D2
cap,0,0.81,6,0,15,294912,1,6,898,898.0,56623104.0,45.0,D2
cap,0,0.81,5,0,15,393216,1,5,1046,1046.0,62914560.0,50.0,D2
cap,0,0.8,4,0,14,491520,1,4,754,754.0,62914560.0,50.0,D2
cap,0,0.73,2,0,13,589824,1,2,424,424.0,62914560.0,50.0,D2
cap,0,0.73,2,0,13,688128,1,2,424,424.0,62914560.0,50.0,D2
cap,0,0.73,2,0,13,786432,1,2,424,424.0,62914560.0,50.0,D2
cap,0,0.73,2,0,13,884736,1,2,424,424.0,62914560.0,50.0,D2
cap,0,0.73,2,0,13,983040,1,2,424,424.0,62914560.0,50.0,D2
cap,285,0.8594510721783597,4,12943,50,65536,3,44,2748,15691.0,12582912.0,10.0,D2
cap,285,0.8594510721783597,4,12943,50,98304,3,44,2748,15691.0,12582912.0,10.0,D2
cap,254,0.8583597171452982,4,8870,24,196608,3,45,2956,11826.0,25165824.0,20.0,D2
cap,38,0.8479181137725682,3,11955,34,262144,3,43,2538,14493.0,37748736.0,30.0,D2
cap,38,0.8479181137725682,3,11955,34,294912,3,43,2538,14493.0,37748736.0,30.0,D2
cap,38,0.8479181137725682,3,11955,34,393216,3,43,2538,14493.0,37748736.0,30.0,D2
cap,411,0.8273497387192682,2,9933,24,491520,3,40,2032,11965.0,37748736.0,30.0,D2
cap,411,0.8273497387192682,2,9933,24,589824,3,40,2032,11965.0,37748736.0,30.0,D2
cap,78,0.5250462314841873,1,48,4,688128,3,5,22,70.0,31457280.0,25.0,D2
cap,78,0.5250462314841873,1,48,4,786432,3,5,22,70.0,31457280.0,25.0,D2
cap,78,0.5250462314841873,1,48,4,884736,3,5,22,70.0,31457280.0,25.0,D2
cap,78,0.5250462314841873,1,48,4,983040,3,5,22,70.0,31457280.0,25.0,D2
cap,186,0.8330636955884541,3,19561,35,65536,5,43,6455,26016.0,18874368.0,15.0,D2
cap,186,0.8330636955884541,3,19561,35,98304,5,43,6455,26016.0,18874368.0,15.0,D2
cap,186,0.8330636955884541,3,19561,35,196608,5,43,6455,26016.0,18874368.0,15.0,D2
cap,443,0.81787522485244,2,15608,24,262144,5,43,4969,20577.0,16777216.0,13.33,D2
cap,432,0.8133242089530511,2,12956,34,294912,5,43,2873,15829.0,25165824.0,20.0,D2
cap,432,0.8133242089530511,2,12956,34,393216,5,43,2873,15829.0,25165824.0,20.0,D2
cap,432,0.8089508607400456,2,11950,35,491520,5,42,2881,14831.0,37748736.0,30.0,D2
cap,432,0.8089508607400456,2,11950,35,589824,5,42,2881,14831.0,37748736.0,30.0,D2
