name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,0,0.82,5,0,15,65536,1,5,1547,1547.0,47185920.0,37.5,D3
cap,0,0.82,5,0,15,98304,1,5,1547,1547.0,47185920.0,37.5,D3
cap,0,0.82,5,0,15,196608,1,5,1547,1547.0,47185920.0,37.5,D3
cap,0,0.82,5,0,15,262144,1,5,1547,1547.0,47185920.0,37.5,D3
cap,0,0.82,5,0,15,294912,1,5,1547,1547.0,47185920.0,37.5,D3
cap,0,0.8,4,0,15,393216,1,4,1632,1632.0,50331648.0,40.0,D3
cap,0,0.72,3,0,14,491520,1,3,2294,2294.0,47185920.0,37.5,D3
cap,0,0.57,2,0,15,589824,1,2,291,291.0,62914560.0,50.0,D3
cap,0,0.57,2,0,15,688128,1,2,291,291.0,62914560.0,50.0,D3
cap,0,0.57,2,0,15,786432,1,2,291,291.0,62914560.0,50.0,D3
cap,0,0.57,2,0,15,884736,1,2,291,291.0,62914560.0,50.0,D3
cap,0,0.57,2,0,15,983040,1,2,291,291.0,62914560.0,50.0,D3
cap,16,0.8143703287722484,3,2500,19,65536,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,98304,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,196608,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,262144,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,294912,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,393216,3,38,641,3141.0,37748736.0,30.0,D3
cap,485,0.7087396056329069,2,2791,15,491520,3,39,938,3729.0,31457280.0,25.0,D3
cap,375,0.22071561580856763,1,186,12,589824,3,14,81,267.0,25165824.0,20.0,D3
cap,375,0.22071561580856763,1,186,12,688128,3,14,81,267.0,25165824.0,20.0,D3
cap,375,0.22071561580856763,1,186,12,786432,3,14,81,267.0,25165824.0,20.0,D3
cap,375,0.1010134815613806,1,28,7,884736,3,6,18,46.0,31457280.0,25.0,D3
cap,375,0.1010134815613806,1,28,7,983040,3,6,18,46.0,31457280.0,25.0,D3
cap,238,0.8024720919754598,4,2073,24,65536,5,40,742,2815.0,37748736.0,30.0,D3
cap,238,0.8024720919754598,4,2073,24,98304,5,40,742,2815.0,37748736.0,30.0,D3
cap,238,0.8024720919754598,4,2073,24,196608,5,40,742,2815.0,37748736.0,30.0,D3
cap,238,0.8024720919754598,4,2073,24,262144,5,40,742,2815.0,37748736.0,30.0,D3
cap,238,0.8024720919754598,4,2073,24,294912,5,40,742,2815.0,37748736.0,30.0,D3
cap,17,0.8017598806474168,3,2225,43,393216,5,40,780,3005.0,37748736.0,30.0,D3
cap,346,0.7251049908474869,2,2364,35,491520,5,40,827,3191.0,31457280.0,25.0,D3
cap,64,0.5697876758453385,1,2697,21,589824,5,36,1144,3841.0,25165824.0,20.0,D3
cap,64,0.5697876758453385,1,2697,21,688128,5,36,1144,3841.0,25165824.0,20.0,D3
cap,64,0.5697876758453385,1,2697,21,786432,5,36,1144,3841.0,25165824.0,20.0,D3
cap,469,0.06192565239262457,1,0,7,884736,5,1,3,3.0,31457280.0,25.0,D3
cap,469,0.06192565239262457,1,0,7,983040,5,1,3,3.0,31457280.0,25.0,D3
