name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,0,0.74,7,0,15,65536,1,7,3458,3458.0,44040192.0,35.0,D4
cap,0,0.74,7,0,15,98304,1,7,3458,3458.0,44040192.0,35.0,D4
cap,0,0.74,7,0,15,196608,1,7,3458,3458.0,44040192.0,35.0,D4
cap,0,0.68,5,0,15,262144,1,5,4094,4094.0,47185920.0,37.5,D4
cap,0,0.68,5,0,15,294912,1,5,4094,4094.0,47185920.0,37.5,D4
cap,0,0.64,6,0,11,393216,1,6,1376,1376.0,75497472.0,60.0,D4
cap,0,0.63,3,0,15,491520,1,3,6089,6089.0,56623104.0,45.0,D4
cap,0,0.63,3,0,15,589824,1,3,6089,6089.0,56623104.0,45.0,D4
cap,0,0.57,2,0,13,688128,1,2,4745,4745.0,50331648.0,40.0,D4
cap,0,0.57,2,0,13,786432,1,2,4745,4745.0,50331648.0,40.0,D4
cap,0,0.52,2,0,12,884736,1,2,446,446.0,62914560.0,50.0,D4
cap,0,0.52,2,0,12,983040,1,2,446,446.0,62914560.0,50.0,D4
cap,19,0.6808197970984988,4,13242,22,65536,3,43,5008,18250.0,25165824.0,20.0,D4
cap,19,0.6808197970984988,4,13242,22,98304,3,43,5008,18250.0,25165824.0,20.0,D4
cap,19,0.6808197970984988,4,13242,22,196608,3,43,5008,18250.0,25165824.0,20.0,D4
cap,136,0.6330352894576959,3,7838,37,262144,3,41,2306,10144.0,28311552.0,22.5,D4
cap,136,0.6330352894576959,3,7838,37,294912,3,41,2306,10144.0,28311552.0,22.5,D4
cap,69,0.6290111789989448,3,8555,48,393216,3,39,2419,10974.0,37748736.0,30.0,D4
cap,442,0.5843548465372255,2,9713,32,491520,3,43,2530,12243.0,37748736.0,30.0,D4
cap,442,0.5843548465372255,2,9713,32,589824,3,43,2530,12243.0,37748736.0,30.0,D4
cap,197,0.3865991866352861,1,2141,21,688128,3,35,591,2732.0,25165824.0,20.0,D4
cap,197,0.3865991866352861,1,2141,21,786432,3,35,591,2732.0,25165824.0,20.0,D4
cap,2,0.3828323650082844,1,321,44,884736,3,4,16,337.0,31457280.0,25.0,D4
cap,2,0.3828323650082844,1,321,44,983040,3,4,16,337.0,31457280.0,25.0,D4
cap,376,0.6101579822701044,2,12084,28,65536,5,41,5379,17463.0,25165824.0,20.0,D4
cap,376,0.6101579822701044,2,12084,28,98304,5,41,5379,17463.0,25165824.0,20.0,D4
cap,376,0.6101579822701044,2,12084,28,196608,5,41,5379,17463.0,25165824.0,20.0,D4
cap,376,0.6101579822701044,2,12084,28,262144,5,41,5379,17463.0,25165824.0,20.0,D4
cap,376,0.6101579822701044,2,12084,28,294912,5,41,5379,17463.0,25165824.0,20.0,D4
cap,376,0.6101579822701044,2,12084,28,393216,5,41,5379,17463.0,25165824.0,20.0,D4
cap,364,0.588785617358777,2,9948,47,491520,5,41,2933,12881.0,37748736.0,30.0,D4
cap,364,0.588785617358777,2,9948,47,589824,5,41,2933,12881.0,37748736.0,30.0,D4
cap,131,0.3411671797270451,1,756,23,688128,5,19,201,957.0,25165824.0,20.0,D4
cap,131,0.3411671797270451,1,756,23,786432,5,19,201,957.0,25165824.0,20.0,D4
