max_depth,tcam_entries,name
3,155,netbeacon
4,190,netbeacon
5,234,netbeacon
6,304,netbeacon
7,379,netbeacon
8,401,netbeacon
9,437,netbeacon
10,467,netbeacon
11,498,netbeacon
12,494,netbeacon
13,499,netbeacon
14,501,netbeacon
15,501,netbeacon
16,509,netbeacon
17,504,netbeacon
18,508,netbeacon
19,504,netbeacon
20,517,netbeacon
21,517,netbeacon
22,525,netbeacon
23,517,netbeacon
24,517,netbeacon
25,517,netbeacon
26,517,netbeacon
27,517,netbeacon
28,517,netbeacon
29,517,netbeacon
30,517,netbeacon
4,69,cap
5,134,cap
6,101,cap
7,33,cap
8,187,cap
9,150,cap
10,209,cap
11,218,cap
12,172,cap
13,209,cap
14,147,cap
15,109,cap
16,216,cap
17,209,cap
18,209,cap
19,209,cap
20,186,cap
21,186,cap
22,186,cap
23,209,cap
24,279,cap
25,283,cap
26,333,cap
27,296,cap
28,334,cap
29,281,cap
30,281,cap
