max_depth,tcam_entries,name
3,188,netbeacon
4,279,netbeacon
5,503,netbeacon
6,768,netbeacon
7,1167,netbeacon
8,1943,netbeacon
9,2767,netbeacon
10,4176,netbeacon
11,5919,netbeacon
12,8262,netbeacon
13,11438,netbeacon
14,15279,netbeacon
15,16886,netbeacon
16,13148,netbeacon
17,6680,netbeacon
18,6636,netbeacon
19,6565,netbeacon
20,6713,netbeacon
21,6704,netbeacon
22,6810,netbeacon
23,6898,netbeacon
24,6834,netbeacon
25,6811,netbeacon
26,6777,netbeacon
27,6776,netbeacon
28,6790,netbeacon
29,6770,netbeacon
30,6772,netbeacon
4,60,cap
5,71,cap
6,196,cap
7,136,cap
8,317,cap
9,325,cap
10,951,cap
11,1583,cap
12,3464,cap
13,2127,cap
14,2542,cap
15,3242,cap
16,4186,cap
17,5032,cap
18,5181,cap
19,6023,cap
20,6938,cap
21,8728,cap
22,9227,cap
23,9159,cap
24,10835,cap
25,11729,cap
26,11625,cap
27,11858,cap
28,10633,cap
29,10737,cap
30,13467,cap
