name,tcam_entries,f1_score
netbeacon,102,0.14
netbeacon,107,0.14
netbeacon,907,0.16
netbeacon,1878,0.27
netbeacon,4470,0.36
netbeacon,4559,0.36
netbeacon,4667,0.36
netbeacon,5601,0.36
netbeacon,6102,0.36
leo,2048,0.34
leo,4096,0.38
leo,16384,0.39
leo,65536,0.42
leo,262144,0.42
leo,1048576,0.42
leo,4194304,0.42
cap,35,0.06450095016317271
cap,40,0.06450095016317271
cap,82,0.07326368165102962
cap,114,0.10687644110626537
cap,123,0.1557461983878912
cap,189,0.1619979349251941
cap,211,0.17665687206279396
cap,293,0.22044359232031463
cap,387,0.2922750441597849
cap,759,0.31511101476896786
cap,873,0.39
cap,2855,0.42
cap,13517,0.4227445596947105
cap,14282,0.4247829472792902
cap,14734,0.42887631691716244
cap,14948,0.42913031546224795
cap,14959,0.4291731902301502
cap,15030,0.42926433742404146
cap,15900,0.4292651113884314
cap,16206,0.4336885184145829
cap,16243,0.433703072809195
cap,18297,0.43432745061904476
cap,19256,0.43540984271261984
cap,19337,0.43548448846021337
cap,23547,0.43576746683033935
cap,23558,0.43576746683033935
cap,23615,0.43585864846488054
cap,26406,0.4381498040865012
cap,27094,0.4400454513156182
cap,31355,0.4430709713926836
cap,32583,0.4462094621170499
cap,33746,0.4475530881274246
cap,34321,0.4475591055637892
cap,42590,0.4475591055637892
