name,tcam_entries,f1_score
netbeacon,2097,0.75
netbeacon,3089,0.78
netbeacon,3477,0.78
netbeacon,3740,0.8
netbeacon,3917,0.8
netbeacon,4058,0.8
netbeacon,4948,0.8
netbeacon,5028,0.8
leo,2048,0.75
leo,4096,0.78
leo,16384,0.79
leo,65536,0.8
leo,262144,0.81
leo,1048576,0.82
leo,4194304,0.82
cap,9,0.45195325873282866
cap,19,0.4520091356373211
cap,22,0.45201442105570977
cap,32,0.5457851245602049
cap,38,0.5839217779493524
cap,39,0.5888892368000012
cap,56,0.6079845653535303
cap,60,0.6225411197237742
cap,110,0.6412044925991355
cap,113,0.6822007065142188
cap,120,0.6893921711603248
cap,136,0.7095818570736562
cap,313,0.7191567017437527
cap,325,0.7408718276981081
cap,441,0.7428091806827954
cap,488,0.7446381719694951
cap,591,0.7489538939773097
cap,600,0.7493599267783622
cap,692,0.7575215933923286
cap,754,0.8
cap,898,0.81
cap,1046,0.81
cap,2739,0.8124885104201243
cap,2774,0.8124911837101042
cap,3242,0.8195717194133161
cap,3923,0.8274487254726728
cap,4186,0.8311394317590476
cap,4643,0.8387022529356292
cap,5032,0.8447032420891307
cap,5181,0.8506600427095223
cap,6938,0.8563537335934527
cap,7942,0.8592388861718496
cap,8728,0.8597273313079868
cap,9159,0.8626615069924407
cap,10633,0.8637639777828057
cap,16778,0.8637639777828057
cap,28308,0.8637639777828057
