name,tcam_entries,f1_score
netbeacon,84,0.24
netbeacon,143,0.24
netbeacon,1289,0.27
netbeacon,1508,0.46
netbeacon,2369,0.64
netbeacon,2462,0.65
netbeacon,2482,0.65
leo,2048,0.52
leo,4096,0.58
leo,16384,0.66
leo,65536,0.71
leo,262144,0.74
leo,1048576,0.74
leo,4194304,0.74
cap,27,0.20919066391994237
cap,40,0.22564805420381917
cap,48,0.29006870968333787
cap,106,0.3626834897677676
cap,119,0.3721532898109217
cap,192,0.41885395818214377
cap,361,0.4448359305150776
cap,383,0.4478384557802364
cap,397,0.51
cap,446,0.52
cap,1376,0.64
cap,3458,0.74
cap,6344,0.74
cap,8997,0.74
cap,11550,0.74
cap,15490,0.74
cap,27997,0.74
