name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
netbeacon,0,0.9,0,0,7,65536,0,5,340,340.0,62914560.0,50.0
netbeacon,0,0.9,0,0,7,98304,0,5,340,340.0,62914560.0,50.0
netbeacon,0,0.9,0,0,7,196608,0,5,340,340.0,62914560.0,50.0
netbeacon,0,0.9,0,0,7,262144,0,5,340,340.0,62914560.0,50.0
netbeacon,0,0.9,0,0,7,294912,0,5,340,340.0,62914560.0,50.0
netbeacon,0,0.9,0,0,7,393216,0,5,340,340.0,62914560.0,50.0
netbeacon,0,0.9,0,0,7,491520,0,4,285,285.0,62914560.0,50.0
netbeacon,0,0.9,0,0,7,589824,0,3,261,261.0,75497472.0,60.0
netbeacon,0,0.9,0,0,7,688128,0,3,261,261.0,75497472.0,60.0
netbeacon,0,0.9,0,0,7,786432,0,3,261,261.0,75497472.0,60.0
netbeacon,0,0.72,0,0,7,884736,0,2,284,284.0,62914560.0,50.0
netbeacon,0,0.72,0,0,7,983040,0,2,284,284.0,62914560.0,50.0
leo,0,0.97,0,0,11,65536,0,7,16384,16384.0,14680064.0,11.67
leo,0,0.97,0,0,8,98304,0,7,2048,2048.0,44040192.0,35.0
leo,0,0.97,0,0,8,196608,0,7,2048,2048.0,44040192.0,35.0
leo,0,0.97,0,0,10,262144,0,4,8192,8192.0,33554432.0,26.67
leo,0,0.97,0,0,11,294912,0,4,16384,16384.0,37748736.0,30.0
leo,0,0.97,0,0,7,393216,0,4,2048,2048.0,50331648.0,40.0
leo,0,0.87,0,0,7,491520,0,3,2048,2048.0,47185920.0,37.5
leo,0,0.87,0,0,5,589824,0,4,2048,2048.0,75497472.0,60.0
leo,0,0.85,0,0,10,688128,0,2,8192,8192.0,44040192.0,35.0
leo,0,0.85,0,0,7,786432,0,2,2048,2048.0,50331648.0,40.0
leo,0,0.85,0,0,5,884736,0,2,2048,2048.0,56623104.0,45.0
leo,0,0.4,0,0,3,983040,0,2,2048,2048.0,62914560.0,50.0
cap,0,1.0,4,147,17,65536,5,19,62,209.0,37748736.0,30.0
cap,0,1.0,4,147,17,98304,5,19,62,209.0,37748736.0,30.0
cap,0,1.0,4,147,17,196608,5,19,62,209.0,37748736.0,30.0
cap,0,1.0,4,147,17,262144,5,19,62,209.0,37748736.0,30.0
cap,0,1.0,4,147,17,294912,5,19,62,209.0,37748736.0,30.0
cap,353,1.0,3,112,12,393216,5,19,60,172.0,37748736.0,30.0
cap,0,0.995493308434485,2,95,17,491520,6,13,51,146.0,31457280.0,25.0
cap,0,0.9387794390426831,2,58,45,589824,6,7,27,85.0,50331648.0,40.0
cap,0,0.9387794390426831,2,58,45,688128,6,7,27,85.0,50331648.0,40.0
cap,0,0.9387794390426831,2,58,45,786432,6,7,27,85.0,50331648.0,40.0
cap,0,0.85,2,0,5,884736,1,2,20,20.0,62914560.0,50.0
cap,0,0.85,2,0,5,983040,1,2,20,20.0,62914560.0,50.0
