name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
netbeacon,0,0.78,0,0,15,65536,0,6,3776,3776.0,37748736.0,30.0
netbeacon,0,0.78,0,0,15,98304,0,6,3776,3776.0,37748736.0,30.0
netbeacon,0,0.78,0,0,15,196608,0,6,3776,3776.0,37748736.0,30.0
netbeacon,0,0.74,0,0,9,262144,0,6,1848,1848.0,75497472.0,60.0
netbeacon,0,0.74,0,0,9,294912,0,6,1848,1848.0,75497472.0,60.0
netbeacon,0,0.74,0,0,9,393216,0,6,1848,1848.0,75497472.0,60.0
netbeacon,0,0.57,0,0,13,491520,0,4,1713,1713.0,62914560.0,50.0
netbeacon,0,0.3,0,0,15,589824,0,3,514,514.0,75497472.0,60.0
netbeacon,0,0.3,0,0,15,688128,0,3,514,514.0,75497472.0,60.0
netbeacon,0,0.3,0,0,15,786432,0,3,514,514.0,75497472.0,60.0
netbeacon,0,0.28,0,0,15,884736,0,2,505,505.0,62914560.0,50.0
netbeacon,0,0.28,0,0,15,983040,0,2,505,505.0,62914560.0,50.0
leo,0,0.75,0,0,11,65536,0,6,16384,16384.0,37748736.0,30.0
leo,0,0.75,0,0,11,98304,0,6,16384,16384.0,37748736.0,30.0
leo,0,0.75,0,0,11,196608,0,6,16384,16384.0,37748736.0,30.0
leo,0,0.72,0,0,10,262144,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.72,0,0,10,294912,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.72,0,0,10,393216,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.57,0,0,6,491520,0,4,2048,2048.0,75497472.0,60.0
leo,0,0.57,0,0,6,589824,0,4,2048,2048.0,75497472.0,60.0
leo,0,0.21,0,0,3,688128,0,2,2048,2048.0,62914560.0,50.0
leo,0,0.21,0,0,3,786432,0,2,2048,2048.0,62914560.0,50.0
leo,0,0.21,0,0,3,884736,0,2,2048,2048.0,62914560.0,50.0
leo,0,0.21,0,0,3,983040,0,2,2048,2048.0,62914560.0,50.0
cap,116,0.8293060995869385,4,1867,30,65536,2,39,530,2397.0,37748736.0,30.0
cap,116,0.8293060995869385,4,1867,30,98304,2,39,530,2397.0,37748736.0,30.0
cap,116,0.8293060995869385,4,1867,30,196608,2,39,530,2397.0,37748736.0,30.0
cap,116,0.8293060995869385,4,1867,30,262144,2,39,530,2397.0,37748736.0,30.0
cap,116,0.8293060995869385,4,1867,30,294912,2,39,530,2397.0,37748736.0,30.0
cap,16,0.8143703287722484,3,2500,19,393216,3,38,641,3141.0,37748736.0,30.0
cap,472,0.7322278767809615,2,2323,13,491520,4,41,901,3224.0,31457280.0,25.0
cap,419,0.5806873231367139,1,2030,12,589824,4,39,902,2932.0,25165824.0,20.0
cap,419,0.5806873231367139,1,2030,12,688128,4,39,902,2932.0,25165824.0,20.0
cap,419,0.5806873231367139,1,2030,12,786432,4,39,902,2932.0,25165824.0,20.0
cap,0,0.57,2,0,15,884736,1,2,291,291.0,62914560.0,50.0
cap,0,0.57,2,0,15,983040,1,2,291,291.0,62914560.0,50.0
