name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
leo,0,0.4,0,0,3,1966080,0,1,2048,2048,62914560,50.0
leo,0,0.4,0,0,3,983040,0,2,2048,2048,62914560,50.0
leo,0,0.85,0,0,7,786432,0,2,2048,2048,50331648,40.0
leo,0,0.87,0,0,7,491520,0,3,2048,2048,47185920,37.5
leo,0,0.97,0,0,7,393216,0,4,2048,2048,50331648,40.0
leo,0,0.97,0,0,11,294912,0,4,16384,16384,37748736,30.0
leo,0,0.67,0,0,5,1769472,0,1,2048,2048,56623104,45.0
leo,0,0.85,0,0,5,884736,0,2,2048,2048,56623104,45.0
leo,0,0.87,0,0,5,589824,0,4,2048,2048,75497472,60.0
leo,0,0.97,0,0,10,262144,0,4,8192,8192,33554432,26.67
leo,0,0.67,0,0,7,1572864,0,1,2048,2048,50331648,40.0
leo,0,0.97,0,0,8,196608,0,7,2048,2048,44040192,35.0
leo,0,0.67,0,0,10,1376256,0,1,8192,8192,44040192,35.0
leo,0,0.85,0,0,10,688128,0,2,8192,8192,44040192,35.0
leo,0,0.67,0,0,11,1179648,0,1,16384,16384,37748736,30.0
leo,0,0.97,0,0,11,65536,0,7,16384,16384,14680064,11.67
netbeacon,0,0.77,0,0,9,1966080,0,1,253,253,62914560,50.0
netbeacon,0,0.72,0,0,7,983040,0,2,284,284,62914560,50.0
netbeacon,0,0.9,0,0,7,786432,0,3,261,261,75497472,60.0
netbeacon,0,0.9,0,0,7,491520,0,4,285,285,62914560,50.0
netbeacon,0,0.9,0,0,7,393216,0,5,340,340,62914560,50.0
netbeacon,0,0.88,0,0,7,294912,0,6,379,379,56623104,45.0
iisy,0,0.0,0,0,0,2000000,0,0,0,0,0,0.0
cap,0,0.853276052065191,4,74,24,294912,6,11,36,110,37748736,30.0
cap,0,0.49759745425616553,2,46,26,491520,5,11,24,70,31457280,25.0
cap,0,0.5045671512258625,2,42,42,491520,5,6,21,63,31457280,25.0
cap,0,0.7730749911753496,3,20,44,491520,4,3,16,36,47185920,37.5
cap,0,0.7730749911753496,3,20,16,491520,4,3,16,36,47185920,37.5
cap,0,0.5360257530494825,3,64,41,393216,7,11,26,90,37748736,30.0
cap,0,0.9303981108028816,4,132,31,294912,7,14,53,185,37748736,30.0
cap,0,0.9974101024457903,4,246,46,294912,5,19,88,334,37748736,30.0
cap,0,0.8879357792683938,4,52,31,294912,6,7,26,78,37748736,30.0
cap,0,0.7989159625145509,4,39,38,393216,6,4,23,62,50331648,40.0
cap,0,0.7624039065973347,2,55,31,491520,7,9,28,83,31457280,25.0
cap,0,0.705950850511915,2,87,20,491520,5,12,42,129,31457280,25.0
cap,0,0.8882386054567816,4,124,21,294912,7,15,53,177,37748736,30.0
cap,0,0.8905477036845838,4,74,15,294912,4,15,37,111,37748736,30.0
cap,0,0.9387794390426831,2,58,45,786432,6,7,27,85,50331648,40.0
cap,0,0.7221970555430236,2,20,42,786432,4,2,8,28,50331648,40.0
cap,0,0.7730749911753496,4,25,18,393216,4,4,16,41,50331648,40.0
cap,0,0.9298264336630514,4,95,25,294912,7,13,51,146,37748736,30.0
cap,0,0.7640176816416325,3,29,34,491520,6,4,15,44,47185920,37.5
cap,0,0.7936103343982008,2,34,42,786432,6,3,14,48,50331648,40.0
