name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
leo,0,0.07,0,0,3,1966080,0,1,2048,2048,62914560,50.0
leo,0,0.13,0,0,3,983040,0,2,2048,2048,62914560,50.0
leo,0,0.15,0,0,3,491520,0,4,2048,2048,62914560,50.0
leo,0,0.36,0,0,9,393216,0,6,4096,4096,75497472,60.0
leo,0,0.35,0,0,11,294912,0,4,16384,16384,37748736,30.0
leo,0,0.12,0,0,6,1769472,0,1,2048,2048,56623104,45.0
leo,0,0.19,0,0,5,884736,0,2,2048,2048,56623104,45.0
leo,0,0.28,0,0,6,589824,0,4,2048,2048,75497472,60.0
leo,0,0.34,0,0,10,262144,0,4,8192,8192,33554432,26.67
leo,0,0.11,0,0,8,1572864,0,1,2048,2048,50331648,40.0
leo,0,0.22,0,0,8,786432,0,2,2048,2048,50331648,40.0
leo,0,0.39,0,0,10,196608,0,7,8192,8192,44040192,35.0
leo,0,0.12,0,0,10,1376256,0,1,8192,8192,44040192,35.0
leo,0,0.22,0,0,10,688128,0,2,8192,8192,44040192,35.0
leo,0,0.13,0,0,11,1179648,0,1,16384,16384,37748736,30.0
leo,0,0.39,0,0,11,65536,0,7,16384,16384,14680064,11.67
netbeacon,0,0.08,0,0,5,1966080,0,1,107,107,62914560,50.0
netbeacon,0,0.16,0,0,9,983040,0,2,907,907,62914560,50.0
netbeacon,0,0.14,0,0,3,786432,0,3,102,102,75497472,60.0
netbeacon,0,0.36,0,0,10,393216,0,5,4667,4667,62914560,50.0
netbeacon,0,0.36,0,0,9,294912,0,5,4559,4559,47185920,37.5
netbeacon,0,0.27,0,0,7,491520,0,3,1878,1878,47185920,37.5
netbeacon,0,0.3,0,0,9,589824,0,3,6102,6102,56623104,45.0
netbeacon,0,0.32,0,0,9,262144,0,4,5601,5601,33554432,26.67
netbeacon,0,0.36,0,0,9,196608,0,6,4470,4470,37748736,30.0
iisy,0,0.36,0,0,13,2000000,0,4,0,0,0,0.0
cap,0,0.2584854392397753,2,15028,50,262144,7,42,4596,19624,16777216,13.33
cap,0,0.406017918702037,4,13277,27,65536,4,43,1961,15238,8388608,6.67
cap,0,0.38608636680046204,4,4640,47,294912,3,7,80,4720,37748736,30.0
cap,0,0.29173684607054867,4,19194,37,0,7,43,6659,25853,0,0.0
cap,0,0.3492191125758217,2,19088,41,294912,5,44,5431,24519,18874368,15.0
cap,0,0.2979697745964493,4,20692,41,0,7,43,7321,28013,0,0.0
cap,0,0.2975961713540225,4,20784,31,0,7,44,7335,28119,0,0.0
cap,0,0.351117595285076,3,22630,38,0,6,43,7797,30427,0,0.0
cap,0,0.39483030532762053,4,22666,23,0,4,45,7555,30221,0,0.0
cap,0,0.3571303403547027,2,19474,38,294912,5,42,6012,25486,18874368,15.0
cap,0,0.37860798910969407,4,16665,18,0,5,45,5661,22326,0,0.0
cap,0,0.34630910645023066,3,23824,28,0,6,44,7849,31673,0,0.0
cap,0,0.3840074353351209,3,11798,23,393216,3,38,1077,12875,37748736,30.0
cap,0,0.3057418701217618,2,13614,49,262144,6,42,3198,16812,16777216,13.33
cap,0,0.35025296937743033,2,24811,45,294912,4,40,2821,27632,18874368,15.0
cap,0,0.26312077012853746,3,17233,16,196608,7,44,5876,23109,18874368,15.0
cap,0,0.2990409065354823,2,15451,44,262144,4,43,3222,18673,16777216,13.33
cap,0,0.3644946978687881,3,20045,48,196608,6,42,5782,25827,18874368,15.0
cap,0,0.25989493403062325,3,22483,26,0,7,43,8070,30553,0,0.0
cap,0,0.3516081789460797,3,18922,48,196608,6,43,6161,25083,18874368,15.0
cap,0,0.27843166431331523,4,22527,24,0,7,44,7762,30289,0,0.0
cap,0,0.33387226408599735,3,25673,21,0,6,44,8485,34158,0,0.0
cap,0,0.18169961511110966,2,8077,13,589824,6,45,2782,10859,37748736,30.0
cap,0,0.36270304745755433,4,25951,24,0,6,45,9397,35348,0,0.0
cap,0,0.4317315478756194,4,21420,26,0,5,43,6644,28064,0,0.0
cap,0,0.34436534464520074,4,22644,35,0,6,43,6603,29247,0,0.0
cap,0,0.2327612365463122,2,2566,11,491520,4,42,1008,3574,31457280,25.0
cap,0,0.33845707966280747,3,18096,50,98304,6,43,5023,23119,9437184,7.5
cap,0,0.2955392831973772,4,20076,41,0,7,43,7278,27354,0,0.0
cap,0,0.26179023584751066,2,18053,35,262144,6,44,5210,23263,16777216,13.33
cap,0,0.22295128362749503,2,16546,47,262144,7,42,4122,20668,16777216,13.33
cap,0,0.2773809434655644,4,12507,15,196608,6,45,4315,16822,25165824,20.0
cap,0,0.2137026212075752,2,20371,25,393216,7,42,7708,28079,25165824,20.0
cap,0,0.3867259466718099,3,23035,24,0,4,44,5780,28815,0,0.0
cap,0,0.40329638160939185,4,13211,48,98304,5,42,3419,16630,12582912,10.0
cap,0,0.26297150709421524,2,19803,35,393216,6,42,6306,26109,25165824,20.0
cap,0,0.2827940952599922,3,8011,14,393216,6,44,2942,10953,37748736,30.0
cap,0,0.26480472625691587,3,25790,20,0,7,44,8963,34753,0,0.0
cap,0,0.25150206283986865,2,22030,26,393216,5,44,7458,29488,25165824,20.0
cap,0,0.3880480216373935,4,11190,43,196608,5,42,1761,12951,25165824,20.0
cap,0,0.3459792733417166,3,26589,43,0,6,43,7460,34049,0,0.0
cap,0,0.289442252622402,2,11709,16,393216,6,45,4259,15968,25165824,20.0
cap,0,0.4068596671597938,3,11459,50,294912,5,26,645,12104,28311552,22.5
cap,0,0.2702207808933934,3,2942,11,393216,5,42,970,3912,37748736,30.0
cap,0,0.3002480464925642,2,16686,39,262144,6,42,4534,21220,16777216,13.33
cap,0,0.3299071022915975,2,20571,22,294912,4,44,5885,26456,18874368,15.0
cap,0,0.32915518117530673,4,17288,17,0,6,44,6742,24030,0,0.0
cap,0,0.25839769578059524,2,21213,36,393216,6,42,6759,27972,25165824,20.0
cap,0,0.3084763531761273,2,20413,50,262144,5,42,2137,22550,16777216,13.33
cap,0,0.3952044147316045,3,21230,24,0,4,45,6546,27776,0,0.0
cap,0,0.2764346040718832,4,21219,19,0,7,44,7542,28761,0,0.0
cap,0,0.2908576261521115,4,19099,42,0,7,43,6885,25984,0,0.0
cap,0,0.2717439252595003,2,15241,50,262144,7,43,3570,18811,16777216,13.33
cap,0,0.28354308652465743,4,5536,12,196608,5,43,2243,7779,25165824,20.0
cap,0,0.4138597169059286,4,21932,38,0,5,43,7069,29001,0,0.0
cap,0,0.3639696488028821,2,19915,32,393216,5,44,6248,26163,25165824,20.0
cap,0,0.3524888023708934,2,19120,42,294912,5,43,5902,25022,18874368,15.0
cap,0,0.21074741438421368,2,16552,40,262144,7,43,5263,21815,16777216,13.33
cap,0,0.3794683681764302,4,20414,34,0,6,42,6539,26953,0,0.0
cap,0,0.4340822297670785,3,19590,45,196608,5,43,5686,25276,18874368,15.0
cap,0,0.36046089029149686,4,20872,31,0,6,44,7239,28111,0,0.0
cap,0,0.27961724787942244,3,23234,22,0,7,43,8328,31562,0,0.0
cap,0,0.2480279040638405,2,14306,32,393216,5,40,2558,16864,25165824,20.0
cap,0,0.3533520052238037,4,18933,45,0,6,43,5313,24246,0,0.0
cap,0,0.27965541997313503,2,16197,37,262144,6,42,3693,19890,16777216,13.33
cap,0,0.29569120854622694,4,24496,28,0,7,44,8384,32880,0,0.0
cap,0,0.257783635071913,4,15565,17,0,7,45,6230,21795,0,0.0
cap,0,0.27470283635461795,2,19870,26,393216,7,43,7020,26890,25165824,20.0
cap,0,0.1960707301528013,2,5091,12,491520,7,41,1789,6880,31457280,25.0
cap,0,0.3131790681028126,3,17411,36,196608,7,42,5242,22653,18874368,15.0
cap,0,0.37835975952434414,2,24092,28,393216,4,44,7746,31838,25165824,20.0
cap,0,0.27253859579891615,2,8429,50,589824,4,4,22,8451,37748736,30.0
cap,0,0.26489001998910666,4,7481,13,196608,6,43,2784,10265,25165824,20.0
cap,0,0.22141105294078622,2,17770,32,262144,6,42,4337,22107,16777216,13.33
cap,0,0.21178739011324813,2,9807,15,393216,6,44,3918,13725,25165824,20.0
cap,0,0.31183833336572464,4,16717,40,0,7,42,5191,21908,0,0.0
cap,0,0.33326725543753977,4,5714,13,196608,4,43,2412,8126,25165824,20.0
cap,0,0.2446994436225295,2,17240,19,262144,7,43,6056,23296,16777216,13.33
cap,0,0.35120381131323797,3,15863,42,65536,6,43,4854,20717,6291456,5.0
cap,0,0.21577675294101695,2,7917,15,589824,6,44,2976,10893,37748736,30.0
cap,0,0.4189424812135909,4,21422,43,0,4,44,6351,27773,0,0.0
cap,0,0.4147751344973004,4,16946,37,98304,5,43,2983,19929,12582912,10.0
cap,0,0.3614674679305189,3,18215,18,0,5,44,6873,25088,0,0.0
cap,0,0.3140138188290504,3,3639,13,262144,5,43,1356,4995,25165824,20.0
cap,0,0.27946215884173603,3,23911,23,0,7,44,8310,32221,0,0.0
cap,0,0.2670893967365199,3,3307,11,262144,6,41,1294,4601,25165824,20.0
cap,0,0.40622950747779973,4,19816,21,0,5,45,7705,27521,0,0.0
cap,0,0.36695077831802714,4,17392,33,0,6,44,6010,23402,0,0.0
cap,0,0.39311063384382794,3,20408,39,98304,4,43,4856,25264,9437184,7.5
cap,0,0.3952221509767507,3,24420,20,0,5,45,6801,31221,0,0.0
cap,0,0.40824302779829913,3,22531,37,0,5,42,7162,29693,0,0.0
cap,0,0.27259097774411145,2,8452,35,589824,4,7,29,8481,37748736,30.0
cap,0,0.2513314950858454,2,2278,11,491520,5,40,901,3179,31457280,25.0
cap,0,0.2965518802773251,4,22156,46,0,7,43,6978,29134,0,0.0
cap,0,0.262947866114715,2,19046,39,393216,6,44,6191,25237,25165824,20.0
cap,0,0.39558987101947174,3,22013,21,0,5,44,7401,29414,0,0.0
cap,0,0.26042345947201206,2,22458,31,393216,6,42,7808,30266,25165824,20.0
cap,0,0.3598397561638337,3,11817,18,196608,4,44,4336,16153,18874368,15.0
cap,0,0.3237532877381508,3,18972,41,196608,7,42,6597,25569,18874368,15.0
cap,0,0.29118413709163254,3,16543,42,98304,7,42,5047,21590,9437184,7.5
cap,0,0.3529243074190529,2,18188,37,262144,5,43,4453,22641,16777216,13.33
cap,0,0.4266105776146045,3,17314,48,196608,5,44,5574,22888,18874368,15.0
cap,0,0.30062311421232935,2,14527,46,262144,6,42,3923,18450,16777216,13.33
cap,0,0.18160488927282015,3,3094,10,262144,7,42,1094,4188,25165824,20.0
cap,0,0.3625143250158995,2,22545,24,393216,5,43,6712,29257,25165824,20.0
cap,0,0.246472613784894,2,1740,10,491520,4,37,665,2405,31457280,25.0
cap,0,0.41607741074923377,4,26846,34,0,5,43,8888,35734,0,0.0
cap,0,0.23228156575922765,4,10755,14,98304,7,43,3988,14743,12582912,10.0
cap,0,0.2047610241310184,2,4041,12,491520,5,43,1700,5741,31457280,25.0
cap,0,0.3449841449028196,4,24303,22,0,6,45,8875,33178,0,0.0
cap,0,0.387019339064095,3,18935,49,196608,5,43,5513,24448,18874368,15.0
cap,0,0.3932100260682475,4,16268,19,0,5,45,5930,22198,0,0.0
cap,0,0.4129343672787856,3,14286,50,196608,5,41,2793,17079,18874368,15.0
cap,0,0.25356552878796906,2,22792,45,393216,6,43,6330,29122,25165824,20.0
cap,0,0.4012781102234211,4,23395,36,0,5,44,6010,29405,0,0.0
cap,0,0.27878572489425885,2,13369,16,262144,5,43,5214,18583,16777216,13.33
cap,0,0.28013474481029244,2,18085,31,262144,7,41,5433,23518,16777216,13.33
cap,0,0.2750990615844507,2,21202,30,393216,7,42,7346,28548,25165824,20.0
cap,0,0.3375812874585149,3,16428,47,98304,6,42,4626,21054,9437184,7.5
cap,0,0.31360467932001557,4,20839,30,0,6,43,7034,27873,0,0.0
cap,0,0.3050619566249771,4,15950,46,196608,6,43,3909,19859,25165824,20.0
cap,0,0.24235207488231691,3,7620,13,393216,6,43,2679,10299,37748736,30.0
cap,0,0.4095143048727009,4,19505,22,0,4,44,7225,26730,0,0.0
cap,0,0.43540984271261984,4,16433,46,98304,5,41,2823,19256,12582912,10.0
cap,0,0.4089431333319452,4,24904,26,0,4,44,7707,32611,0,0.0
cap,0,0.28382844261596896,4,3739,12,393216,4,43,1576,5315,50331648,40.0
cap,0,0.3334593611236911,3,18563,34,196608,6,44,6428,24991,18874368,15.0
cap,0,0.41157265490417555,4,25558,45,0,5,43,7979,33537,0,0.0
cap,0,0.2989875769652221,3,22437,34,0,7,43,7293,29730,0,0.0
cap,0,0.3638624465376882,2,19943,33,393216,5,44,6227,26170,25165824,20.0
cap,0,0.25198112616810625,2,5318,12,491520,6,44,1931,7249,31457280,25.0
cap,0,0.274483991008882,2,22646,25,393216,6,42,7428,30074,25165824,20.0
cap,0,0.34818437874413827,4,17869,37,0,6,43,6685,24554,0,0.0
cap,0,0.3322523861864243,3,24633,21,0,6,44,9137,33770,0,0.0
cap,0,0.3115034703480103,2,21408,48,294912,5,43,3248,24656,18874368,15.0
cap,0,0.34747847130629955,3,23631,40,0,6,43,7890,31521,0,0.0
cap,0,0.2932014807133331,3,20244,44,0,7,42,7158,27402,0,0.0
cap,0,0.21641984004626263,2,10120,14,393216,7,43,3930,14050,25165824,20.0
cap,0,0.3136341475578534,3,21746,21,0,6,45,7922,29668,0,0.0
cap,0,0.35403132314422314,3,21927,25,0,6,44,7552,29479,0,0.0
cap,0,0.4144971340614895,3,24065,28,0,5,43,7775,31840,0,0.0
cap,0,0.2196315198170406,2,14333,42,393216,6,36,610,14943,25165824,20.0
cap,0,0.3102411488544914,4,20193,26,0,6,42,7731,27924,0,0.0
cap,0,0.29275744983538105,2,21439,49,294912,6,43,5884,27323,18874368,15.0
cap,0,0.2593394466570957,2,25747,28,196608,6,43,8009,33756,12582912,10.0
cap,0,0.34233059534964866,2,13598,43,262144,5,43,3117,16715,16777216,13.33
cap,0,0.27192231075485224,4,24882,20,0,7,45,8579,33461,0,0.0
cap,0,0.3733656268609786,2,20968,35,294912,5,42,5335,26303,18874368,15.0
cap,0,0.22800236189594897,4,2698,10,294912,6,43,916,3614,37748736,30.0
cap,0,0.30217745589571143,2,18826,17,393216,5,46,6787,25613,25165824,20.0
cap,0,0.4276091130406676,4,22685,27,0,5,43,7150,29835,0,0.0
cap,0,0.3407868637118261,2,16917,22,262144,3,44,3662,20579,16777216,13.33
cap,0,0.35122421244659413,4,22090,31,0,6,43,7785,29875,0,0.0
cap,0,0.20184390369770683,2,10890,15,393216,5,43,3787,14677,25165824,20.0
cap,0,0.4245959428825577,4,28790,24,0,5,45,10042,38832,0,0.0
cap,0,0.3479662029243075,3,15931,40,98304,6,42,5121,21052,9437184,7.5
cap,0,0.35969519807252115,4,23871,20,0,6,45,8902,32773,0,0.0
cap,0,0.2899621209454109,2,22101,28,393216,6,42,7082,29183,25165824,20.0
cap,0,0.2504016712109778,3,23455,21,0,7,43,8401,31856,0,0.0
cap,0,0.19349810192112776,4,7196,13,196608,7,44,2679,9875,25165824,20.0
cap,0,0.26653199393940874,4,22547,19,0,7,45,8147,30694,0,0.0
cap,0,0.34409928350300956,3,10665,14,196608,5,45,4206,14871,18874368,15.0
cap,0,0.3891298169012148,4,23134,27,0,6,45,8362,31496,0,0.0
cap,0,0.3982500922732596,4,22587,21,0,5,46,8040,30627,0,0.0
cap,0,0.2426963742626081,2,18246,47,262144,6,43,4278,22524,16777216,13.33
cap,0,0.2970097529190393,3,25815,21,0,7,44,8946,34761,0,0.0
cap,0,0.42909250779305486,4,19624,41,0,5,43,5050,24674,0,0.0
cap,0,0.27560127210621665,2,16400,37,262144,6,43,3298,19698,16777216,13.33
cap,0,0.3718620475413866,3,17553,40,196608,4,25,709,18262,18874368,15.0
cap,0,0.2630518636639799,3,2181,10,393216,5,40,758,2939,37748736,30.0
cap,0,0.3114009730834452,2,15492,46,262144,6,41,4404,19896,16777216,13.33
cap,0,0.3149006809916997,4,6386,13,196608,4,45,2173,8559,25165824,20.0
cap,0,0.25146967829914757,2,16018,36,262144,7,42,5089,21107,16777216,13.33
cap,0,0.15600995190490108,2,2721,10,491520,7,41,1071,3792,31457280,25.0
cap,0,0.26528945619243416,3,22298,20,0,7,43,7621,29919,0,0.0
cap,0,0.2522029885033564,3,1971,10,393216,4,37,709,2680,37748736,30.0
cap,0,0.40772046635629566,3,17384,24,196608,3,37,1716,19100,18874368,15.0
cap,0,0.34220537113920085,3,21428,47,0,6,43,6185,27613,0,0.0
cap,0,0.26447133542521334,4,24012,20,0,7,43,8635,32647,0,0.0
cap,0,0.4283640280869261,4,22593,27,0,5,44,7805,30398,0,0.0
cap,0,0.4069137030684909,4,20672,32,0,4,44,5945,26617,0,0.0
cap,0,0.30140353092592265,4,16408,17,0,6,44,5713,22121,0,0.0
cap,0,0.345469348509444,4,13258,16,196608,5,45,4693,17951,25165824,20.0
cap,0,0.3672915285552575,4,22572,33,0,6,42,8198,30770,0,0.0
cap,0,0.33740839998471817,4,12283,49,65536,6,42,2946,15229,8388608,6.67
cap,0,0.3520429276262824,3,22053,31,0,6,44,8152,30205,0,0.0
cap,0,0.4234500385044972,4,24551,39,0,5,44,9147,33698,0,0.0
cap,0,0.33040129566915655,2,19291,42,294912,5,43,5627,24918,18874368,15.0
cap,0,0.3591794296306129,3,23385,28,0,5,43,7721,31106,0,0.0
cap,0,0.3099259716261537,4,7725,13,196608,5,45,2788,10513,25165824,20.0
cap,0,0.33252549410703214,4,23469,27,0,6,43,6981,30450,0,0.0
cap,0,0.4142246427645475,3,21596,50,0,4,43,5580,27176,0,0.0
cap,0,0.21821923894281767,2,12972,28,262144,5,43,3115,16087,16777216,13.33
