flow size,count
10,47423
11,17013
12,6208
13,5715
14,3771
15,2671
16,2826
17,3028
18,2445
19,2117
20,1848
21,1265
22,1166
23,814
24,4906
25,919
26,926
27,702
28,823
29,798
30,837
31,1935
32,936
33,680
34,1039
35,533
36,478
37,565
38,518
39,464
40,721
41,669
42,575
43,640
44,572
45,515
46,339
47,333
48,368
49,303
50,612
51,348
52,492
53,1981
54,609
55,571
56,290
57,209
58,144
59,174
60,181
61,134
62,159
63,148
64,163
65,170
66,188
67,174
68,147
69,132
70,174
71,166
72,187
73,169
74,162
75,139
76,246
77,147
78,215
79,137
80,257
81,108
82,106
83,85
84,287
85,90
86,248
87,83
88,107
89,84
90,54
91,56
92,69
93,53
94,64
95,60
96,79
97,52
98,68
99,60
100,59
101,50
102,55
103,43
104,49
105,41
106,38
107,35
108,49
109,40
110,36
111,43
112,43
113,30
114,30
115,20
116,26
117,26
118,32
119,24
120,31
121,22
122,37
123,25
124,26
125,24
126,30
127,35
128,26
129,30
130,20
131,21
132,24
133,27
134,29
135,23
136,18
137,20
138,30
139,30
140,24
141,26
142,28
143,31
144,38
145,29
146,35
147,35
148,28
149,34
150,17
151,15
152,21
153,21
154,24
155,16
156,22
157,28
158,27
159,24
160,21
161,18
162,24
163,18
164,22
165,14
166,18
167,20
168,23
169,17
170,22
171,14
172,16
173,22
174,12
175,16
176,9
177,22
178,21
179,13
180,18
181,16
182,9
183,12
184,10
185,13
186,16
187,12
188,13
189,9
190,7
191,12
192,14
193,10
194,14
195,6
196,12
197,12
198,12
199,8
200,6
201,10
202,9
203,14
204,13
205,5
206,8
207,7
208,11
209,5
210,8
211,8
212,10
213,8
214,3
215,12
216,7
217,7
218,5
219,3
220,6
221,5
222,10
223,8
224,9
225,5
226,7
227,7
228,9
229,8
231,6
232,4
233,7
234,6
235,5
236,2
237,5
238,2
239,11
240,10
241,8
242,8
243,5
244,7
245,9
246,3
247,2
248,6
249,3
250,5
251,9
252,3
253,2
254,8
255,4
256,5
257,9
258,3
259,5
260,1
261,5
262,3
263,5
264,5
265,2
266,3
267,6
268,5
270,4
271,3
272,4
273,5
274,7
275,3
276,4
277,3
278,3
280,5
281,2
282,3
283,4
284,5
285,5
287,2
288,2
289,3
290,5
291,4
292,3
293,3
294,7
295,4
296,2
297,5
298,4
299,4
300,4
301,1
302,6
303,3
304,1
305,3
306,1
307,77
308,5
309,7
310,3
311,5
312,4
313,3
314,4
315,2
316,1
317,4
318,5
319,5
320,7
321,1
322,5
323,3
324,5
325,3
326,3
327,3
328,1
329,3
330,4
331,4
332,3
333,3
334,2
335,3
336,5
337,6
338,3
339,2
340,2
341,3
342,1
343,8
344,3
345,3
346,4
347,4
348,3
349,4
350,3
351,1
352,3
353,1
354,4
355,6
356,3
357,3
358,1
359,4
360,2
361,3
362,3
363,2
364,2
365,3
366,3
367,4
369,3
370,1
371,2
372,1
373,5
374,5
375,3
376,1
377,2
378,1
379,5
380,4
381,2
382,3
383,1
384,1
385,1
386,1
388,6
389,1
390,2
391,2
392,2
394,3
395,3
397,4
398,2
399,3
400,3
402,1
403,2
404,1
405,4
406,1
407,2
408,1
409,2
410,1
414,2
415,1
417,3
418,1
419,1
420,2
422,2
423,3
424,5
425,4
426,3
427,2
428,1
429,2
431,2
433,1
436,1
438,1
439,1
440,1
442,1
443,2
444,2
445,1
446,1
447,1
448,3
449,1
450,1
452,1
454,3
455,1
456,2
457,2
459,1
460,1
461,6
462,4
463,3
464,1
465,2
466,1
467,1
468,1
469,2
470,1
471,1
473,2
474,1
475,2
476,3
477,1
478,2
479,1
480,3
481,1
482,2
483,3
485,3
486,2
487,1
488,2
489,2
490,2
491,1
492,2
493,2
494,1
495,4
497,1
498,2
501,1
502,2
503,3
506,1
507,2
510,2
511,2
514,3
516,1
519,4
520,1
521,1
525,4
526,2
527,2
529,2
530,1
531,2
532,1
533,1
534,2
535,1
540,1
541,1
542,1
543,1
545,1
548,1
549,1
550,1
551,1
552,1
553,1
554,2
555,1
556,1
557,1
558,1
559,2
562,1
566,2
568,1
570,1
571,2
572,1
573,1
574,2
576,1
577,1
581,1
582,1
584,1
585,1
588,1
590,2
591,1
593,1
594,1
596,1
598,1
601,1
602,1
606,2
607,3
610,1
615,1
616,1
617,2
618,1
620,1
621,2
623,1
625,1
626,2
627,1
631,1
633,1
636,2
637,1
639,1
642,1
649,1
653,2
656,1
657,1
658,2
659,1
666,1
667,1
668,1
671,1
672,1
673,1
680,1
683,1
685,2
686,1
688,1
689,1
690,1
692,1
707,1
708,1
709,1
713,2
714,1
715,1
717,1
718,1
720,1
721,2
724,1
725,1
726,2
729,1
739,1
740,1
741,1
744,1
749,1
755,1
757,1
758,1
764,1
765,1
768,2
771,1
772,1
