flow size,count
10,17198
11,4520
12,6984
13,5774
14,6134
15,12419
16,6819
17,6524
18,9948
19,6707
20,8518
21,6570
22,6344
23,5025
24,6809
25,4432
26,3021
27,2291
28,1927
29,1434
30,1322
31,1024
32,986
33,998
34,752
35,861
36,758
37,620
38,920
39,633
40,654
41,552
42,696
43,535
44,510
45,540
46,499
47,492
48,546
49,512
50,516
51,467
52,499
53,439
54,470
55,479
56,498
57,448
58,470
59,442
60,407
61,402
62,402
63,389
64,381
65,307
66,309
67,297
68,264
69,238
70,216
71,231
72,456
73,173
74,158
75,139
76,126
77,108
78,102
79,90
80,77
81,72
82,48
83,49
84,42
85,33
86,35
87,32
88,20
89,21
90,13
91,15
92,24
93,8
94,22
95,13
96,15
97,12
98,23
99,13
100,16
101,17
102,15
103,12
104,13
105,13
106,18
107,11
108,23
109,18
110,11
111,20
112,40
113,49
114,31
115,22
116,22
117,11
118,15
119,13
120,12
121,12
122,10
123,8
124,19
125,15
126,23
127,24
128,14
129,12
130,13
131,13
132,17
133,10
134,12
135,8
136,9
137,13
138,9
139,8
140,6
141,9
142,7
143,9
144,10
145,9
146,4
147,9
148,8
149,1
150,10
151,6
152,7
153,3
154,7
155,2
156,2
157,4
158,9
159,4
160,10
161,5
162,9
163,2
164,7
165,4
166,6
167,6
168,7
169,10
170,5
171,4
172,6
173,4
174,12
175,5
176,6
177,13
178,7
179,6
180,11
181,10
182,6
183,2
184,5
185,11
186,12
187,9
188,5
189,8
190,4
191,8
192,12
193,7
194,14
195,12
196,19
197,12
198,15
199,7
200,10
201,11
202,5
203,5
204,7
205,5
206,7
207,4
208,3
209,5
210,4
211,2
212,3
213,2
214,7
215,4
216,2
217,3
218,3
219,1
220,3
221,2
222,3
223,5
224,5
225,1
226,5
227,2
228,5
229,4
230,6
231,5
232,4
233,5
234,6
235,2
236,1
237,1
238,3
239,8
240,4
241,5
242,6
243,2
244,3
245,3
246,5
247,5
248,15
249,2
250,10
251,10
252,14
253,4
254,9
255,13
256,8
257,12
258,9
259,12
260,9
261,8
262,6
263,6
264,13
265,7
266,6
267,9
268,8
269,6
270,10
271,16
272,9
273,10
274,8
275,11
276,13
277,7
278,4
279,8
280,6
281,4
282,7
283,14
284,15
285,10
286,5
287,5
288,8
289,5
290,3
291,6
292,2
293,3
294,8
295,6
296,7
297,4
298,5
299,6
300,2
301,4
302,3
303,2
304,3
305,4
306,4
307,5
308,3
309,1
310,3
311,3
312,1
313,3
314,3
315,1
316,4
317,1
318,4
319,4
320,2
321,3
322,3
324,2
325,1
326,4
327,1
328,1
329,3
330,2
331,2
332,3
333,3
334,1
335,2
337,4
338,3
339,1
342,4
343,3
345,1
346,3
348,3
349,2
350,2
352,1
353,1
354,3
355,4
359,1
360,3
363,7
364,5
365,1
366,3
367,1
369,2
370,3
371,1
372,6
373,1
374,2
375,1
376,3
377,3
379,1
380,2
381,1
382,3
384,1
385,3
386,6
387,2
388,3
389,3
390,10
391,10
392,18
393,10
394,25
395,22
396,29
397,19
398,34
399,21
400,18
401,9
404,1
405,1
406,2
408,3
410,1
411,3
412,1
413,3
414,2
415,1
416,2
418,2
419,1
420,2
421,1
422,4
423,2
424,1
425,1
426,2
427,2
429,2
430,1
431,1
432,1
433,1
434,1
435,1
437,1
438,1
440,3
443,2
444,1
446,3
447,1
448,2
449,3
450,2
451,1
455,2
456,2
459,2
464,2
466,1
468,1
469,2
471,1
473,1
474,1
475,4
479,2
480,1
481,2
483,2
484,2
485,1
486,1
488,1
489,1
493,1
498,1
500,1
502,2
504,2
505,1
507,1
509,1
511,1
515,1
520,1
521,2
526,2
527,1
529,1
530,1
532,1
534,1
536,1
537,1
542,2
544,1
551,1
558,1
563,2
565,1
566,1
571,2
574,2
578,1
579,1
582,3
586,1
587,1
588,1
589,1
590,2
591,1
597,2
601,1
602,1
605,2
606,1
608,1
622,1
623,2
625,1
638,2
645,1
652,2
655,1
656,1
660,1
676,1
680,1
692,1
698,2
699,1
704,1
706,1
707,1
719,1
725,1
726,1
728,1
729,1
731,1
732,1
734,1
740,1
747,1
749,1
753,1
762,1
764,1
767,1
774,1
777,1
778,1
786,1
797,1
798,1
813,1
824,1
833,1
834,1
840,1
842,2
846,1
848,1
855,1
857,1
862,2
863,1
869,2
872,1
875,1
876,1
883,1
885,1
887,1
890,1
897,1
909,1
911,1
917,1
922,1
927,1
928,1
932,1
934,1
935,1
936,1
949,1
951,1
959,1
963,1
967,1
972,2
973,1
976,2
977,1
982,1
984,2
990,1
993,1
999,1
1002,2
1010,1
1013,1
1014,1
1016,1
1018,1
1020,1
1027,1
1037,1
1042,1
1044,1
1045,1
1058,1
1060,2
1061,2
1064,2
1069,1
1070,1
1072,1
1074,1
1076,1
1086,3
1089,1
1099,1
1100,1
1102,1
1108,1
1110,1
1118,1
1119,1
1126,1
1137,1
1141,1
1146,1
1149,1
1151,1
1157,1
1161,1
1172,1
1174,1
1184,1
1190,1
1198,1
1199,1
1208,2
1214,1
1215,1
1216,1
1223,1
1224,1
1226,1
1231,1
1239,1
1245,1
1248,1
1252,1
1255,1
1259,1
1267,1
1277,1
1280,2
1284,2
1295,1
1300,2
1302,1
1306,2
1308,1
1312,1
1313,1
1315,1
1320,1
1323,1
1324,1
1326,2
1335,3
1336,2
1340,1
1345,1
1351,1
1357,1
1359,1
1361,1
1362,1
1365,1
1372,1
1380,1
1383,1
1389,1
1392,1
1394,1
1400,2
1401,1
1402,1
1404,1
1406,1
1413,1
1416,1
1419,2
1424,2
1426,2
1427,2
1431,1
1434,1
1435,2
1436,2
1437,1
1439,1
1442,1
1443,1
1444,1
1445,1
1446,3
1448,1
1449,1
1450,1
1459,2
1460,1
1461,1
1463,1
1471,1
1472,1
1476,1
1478,1
1490,1
1491,2
1496,1
1498,1
1502,1
1503,1
1506,1
1507,1
1509,1
1513,2
1514,2
1516,2
1518,2
1519,1
1520,1
1522,1
1528,1
1531,1
1539,1
1540,1
1545,1
1548,1
1550,1
1552,2
1554,1
1562,1
1566,1
1569,1
1572,1
1573,1
1581,1
1582,1
1583,1
1587,1
1590,1
1591,1
1592,1
1594,2
1596,2
1598,1
1608,1
1609,1
1616,2
1620,1
1623,1
1635,1
1637,1
1640,1
1642,1
1643,2
1644,1
1652,1
1654,2
1655,1
1657,1
1659,1
1664,1
1667,1
1669,2
1670,1
1672,1
1673,1
1674,3
1676,1
1677,2
1680,1
1681,1
1682,1
1687,1
1690,1
1693,2
1694,1
1695,1
1702,1
1704,1
1711,1
1717,1
1718,1
1729,1
1733,1
1734,1
1735,1
1737,1
1747,1
1750,3
1754,1
1755,1
1756,2
1759,1
1762,1
1765,2
1766,1
1768,1
1770,1
1771,1
1774,1
1775,1
1777,1
1788,2
1789,1
1791,1
1794,1
1795,1
1799,1
1803,1
1805,1
1806,3
1814,1
1817,1
1818,1
1822,1
1823,1
1827,1
1828,1
