flow size,count
10,275
11,122
12,163
13,70
14,106
15,80
16,176
17,98
18,158
19,151
20,103
21,89
22,108
23,74
24,300
25,87
26,100
27,75
28,80
29,58
30,73
31,104
32,119
33,55
34,72
35,45
36,61
37,46
38,35
39,22
40,24
41,23
42,27
43,20
44,16
45,45
46,13
47,16
48,22
49,11
50,11
51,23
52,13
53,12
54,26
55,14
56,19
57,14
58,25
59,6
60,29
61,15
62,4
63,14
64,5
65,8
66,11
67,7
68,9
69,15
70,12
71,17
72,11
73,5
74,5
75,11
76,7
77,7
78,9
79,3
80,5
81,7
82,5
83,3
84,3
85,4
86,8
87,6
88,3
89,5
90,3
91,1
92,6
93,5
94,3
95,6
96,7
97,2
98,4
99,6
100,3
101,4
102,5
103,2
104,5
105,5
106,6
107,2
108,4
109,6
110,7
111,5
112,5
113,2
114,4
115,1
116,1
117,2
118,8
119,3
120,2
121,3
122,1
123,6
124,2
125,1
126,1
127,6
128,1
129,3
130,3
131,1
132,3
133,4
134,2
135,8
136,4
137,3
138,1
139,1
140,3
141,3
142,1
144,2
145,2
146,2
147,1
148,2
149,1
150,2
151,2
152,1
153,4
154,1
155,1
156,2
157,4
158,4
159,2
160,1
162,1
163,1
164,1
165,2
166,4
167,2
169,3
170,1
171,2
175,1
176,2
177,1
179,1
180,4
181,1
184,2
185,1
186,2
187,2
188,1
190,6
191,1
193,3
194,4
195,1
196,1
197,2
199,3
200,1
202,2
204,1
205,3
206,4
207,2
208,1
209,1
210,3
212,1
213,1
214,3
218,1
219,1
220,1
223,1
224,4
225,2
226,2
228,1
229,2
232,1
233,3
234,1
236,1
237,1
241,1
243,2
244,1
245,2
247,3
248,8
249,23
250,50
251,1
252,1
257,1
258,4
259,2
260,1
261,2
262,1
263,1
264,1
265,1
266,2
267,1
270,2
273,1
274,1
275,1
276,3
277,1
278,1
280,2
282,1
284,1
285,1
286,2
287,2
288,2
289,3
293,1
296,1
297,2
298,3
299,2
302,1
303,1
305,1
306,1
