flow size,count
10,789
11,1524
12,1073
13,1330
14,1202
15,1317
16,1480
17,1556
18,1718
19,1853
20,1997
21,1633
22,1614
23,1512
24,1606
25,1716
26,1945
27,1795
28,1589
29,1400
30,1313
31,1046
32,791
33,680
34,555
35,418
36,357
37,344
38,309
39,285
40,264
41,258
42,233
43,232
44,215
45,166
46,158
47,159
48,149
49,165
50,153
51,125
52,141
53,124
54,106
55,114
56,111
57,157
58,248
59,122
60,66
61,66
62,68
63,69
64,37
65,43
66,50
67,54
68,59
69,41
70,32
71,37
72,28
73,33
74,46
75,42
76,31
77,31
78,33
79,38
80,29
81,33
82,27
83,30
84,16
85,33
86,23
87,17
88,24
89,27
90,27
91,29
92,21
93,18
94,16
95,16
96,15
97,28
98,13
99,19
100,10
101,9
102,18
103,18
104,16
105,17
106,12
107,7
108,6
109,8
110,13
111,15
112,12
113,17
114,9
115,6
116,9
117,9
118,9
119,9
120,9
121,8
122,9
123,8
124,4
125,8
126,3
127,5
128,12
129,6
130,10
131,6
132,6
133,5
134,7
135,4
136,11
137,11
138,3
139,4
140,11
141,3
142,3
143,10
144,6
145,7
146,10
147,3
148,4
149,5
150,2
151,11
152,7
153,2
154,4
155,2
156,7
157,5
158,2
159,6
160,6
161,2
162,3
163,4
164,4
165,5
166,5
167,2
168,3
169,7
170,5
171,4
172,7
173,4
174,6
175,7
176,2
177,4
178,4
179,2
180,3
181,3
182,3
183,4
184,11
185,3
186,2
188,2
189,4
190,1
191,2
192,1
193,7
194,7
195,4
196,3
197,4
198,1
199,6
200,3
201,4
202,5
203,4
204,2
205,4
206,1
207,2
208,1
209,3
210,2
211,1
212,2
213,1
214,3
215,2
216,1
217,2
218,6
219,3
220,1
221,3
222,1
223,5
224,2
225,1
226,1
227,6
228,2
229,3
230,3
231,2
232,2
233,4
234,5
235,2
236,1
237,3
238,1
240,3
241,1
242,4
243,1
244,4
245,3
246,1
247,2
248,2
249,2
250,5
251,1
252,4
254,3
255,3
256,2
258,2
259,1
260,2
261,1
263,1
264,1
265,2
266,1
267,1
268,4
269,1
270,3
272,2
273,1
274,1
275,2
276,2
277,1
278,1
279,3
280,2
281,3
282,2
283,1
284,1
285,2
287,1
288,2
289,1
290,3
291,1
294,2
295,4
296,1
297,1
298,3
299,2
300,1
301,1
302,2
303,1
304,5
305,1
307,3
308,2
309,3
310,4
311,1
312,1
313,2
314,1
316,3
318,3
319,1
320,5
321,2
324,3
325,3
326,1
327,1
329,1
330,2
331,1
332,2
333,2
334,1
335,2
336,2
337,1
338,1
341,2
342,2
343,3
344,2
345,1
346,1
347,2
348,1
349,1
351,2
352,3
353,2
354,1
355,1
356,2
357,2
358,2
361,1
362,2
365,1
366,1
367,1
369,3
370,1
371,1
372,1
373,1
374,1
375,2
376,1
378,1
379,1
380,1
382,1
384,1
387,2
388,2
389,1
391,2
392,1
393,2
394,1
395,1
396,4
399,3
403,1
404,2
407,2
408,1
410,3
411,2
412,2
413,2
414,1
417,1
418,2
419,2
421,1
425,3
426,3
431,1
432,1
433,1
434,1
435,1
439,1
440,2
441,1
444,1
445,2
448,1
449,2
452,1
453,1
461,1
463,1
465,3
466,1
467,1
468,1
470,1
472,1
473,1
475,1
476,1
479,1
480,4
481,1
486,2
487,1
489,1
492,1
493,2
496,2
498,1
499,2
500,2
503,1
505,2
506,3
507,2
508,1
514,1
517,1
519,1
520,1
521,1
524,1
525,2
526,1
528,1
544,2
546,1
547,1
548,1
550,1
553,1
556,2
561,1
562,1
564,1
571,1
573,1
574,1
575,1
576,1
578,1
579,2
582,2
583,1
590,1
596,1
597,1
599,2
601,1
603,2
604,1
605,1
608,1
612,1
614,1
615,1
618,1
621,1
625,1
626,1
631,1
635,1
637,1
652,2
653,2
655,1
656,2
657,1
658,1
660,1
665,1
669,1
670,1
675,1
676,1
677,1
682,1
684,1
688,1
691,1
695,1
704,1
706,1
707,1
716,1
727,1
729,2
733,2
735,1
736,1
739,1
743,1
750,1
758,2
759,1
771,1
774,1
775,1
778,1
781,1
782,1
786,2
787,1
791,1
792,1
794,1
795,1
797,1
799,1
802,1
808,1
810,1
812,1
814,1
820,1
824,1
826,2
828,1
833,1
836,1
844,1
846,2
848,1
849,1
853,2
854,1
855,1
856,2
857,1
860,1
862,1
866,1
868,1
870,1
876,1
877,1
880,1
883,1
884,1
885,1
887,1
893,1
905,1
908,1
910,1
917,1
918,1
920,1
925,1
931,1
932,1
936,2
937,2
939,1
942,1
948,1
955,1
958,1
960,1
965,1
972,1
973,1
989,2
991,1
992,1
996,1
998,1
1002,1
1003,1
1004,1
1006,1
1010,1
1018,1
1029,1
1033,1
1037,1
1055,1
1064,1
1067,1
1072,2
1082,2
1085,1
1087,1
1091,1
1096,1
1097,1
1104,1
1105,1
1112,1
1113,2
1116,1
1118,1
1122,1
1130,1
1131,1
1137,2
1142,1
1159,1
1163,1
1168,1
1189,1
1194,1
1201,2
1206,1
1211,1
1225,1
1228,1
1230,1
1242,1
1245,1
1263,1
1269,1
1271,1
1273,1
1280,1
1282,1
1287,1
1293,1
1296,1
1299,1
1300,1
1336,1
1340,2
1348,1
1358,1
1363,1
1366,1
1374,1
1376,1
1382,1
1400,1
1401,1
1403,1
1405,1
1436,1
1438,1
1445,2
1449,1
1453,2
1457,1
1458,1
1460,1
1470,1
1472,1
1485,1
1487,2
1488,1
1506,1
1514,1
1518,1
1537,1
1557,1
1558,1
1566,1
1573,1
1577,1
1593,1
1595,2
1598,1
1601,1
1612,1
1626,1
1628,1
1629,1
1638,1
1641,1
1657,1
1660,1
1674,1
1692,1
1697,1
1711,1
1713,1
1718,1
1721,1
1724,1
1736,1
1742,1
1745,1
1750,1
1757,1
1798,1
1845,1
1852,1
1864,1
1879,1
1891,1
1933,1
1947,1
1948,1
1981,1
1989,1
1994,1
2060,1
2064,1
2074,1
2076,1
2080,1
2087,1
2132,1
2143,1
2148,1
2153,1
2165,1
2170,1
2177,1
2183,1
2227,1
2249,1
2259,1
2345,1
2363,1
2385,1
2407,1
2428,1
2461,1
2462,1
2470,1
2496,1
2498,1
2503,1
2504,1
2551,1
2616,1
2642,1
2656,1
2707,1
2734,1
2771,1
2791,2
2793,1
2796,1
2814,1
2860,1
2873,1
2886,1
2887,1
2890,1
2891,1
2892,1
2894,1
2900,1
2928,1
2937,1
2944,1
2957,1
2968,1
2973,1
2999,1
3000,1
3004,1
3029,1
3049,1
3082,1
3092,1
3161,1
3163,1
3192,1
3208,1
3227,1
3267,1
3279,1
3303,1
3314,1
3316,1
3416,1
3439,1
3479,1
3554,1
3602,1
3610,1
3645,1
3707,1
3764,1
3770,1
3784,1
3790,1
3797,1
3830,1
3881,1
3883,2
3909,1
3983,1
3986,1
3996,1
4014,1
4015,1
4101,1
4125,1
4145,1
4174,1
4237,1
4254,1
4380,1
4418,1
4441,1
4450,1
4570,1
4610,1
4636,1
4670,1
4753,1
4754,1
4756,1
4757,1
4767,1
4778,1
4786,1
4834,1
4835,1
4840,1
4846,1
4853,1
4856,1
4860,1
4881,1
4883,1
4921,1
4932,2
4955,1
4997,1
5054,1
5057,1
5060,1
5069,1
5121,1
5151,1
5215,1
5227,1
5285,1
5296,1
5308,1
5332,1
5349,1
5368,1
5385,1
5444,1
5474,1
5494,1
5508,1
5541,1
5607,1
5679,1
5731,1
5850,1
5914,1
5926,1
5983,1
6114,1
6139,1
6232,1
6247,1
6318,1
6454,1
6575,1
6635,1
6870,1
6902,1
6923,1
7011,1
7069,1
7095,1
7304,1
7393,1
7403,1
7485,1
7585,1
7698,1
7782,1
7837,1
7989,1
8035,1
8048,1
8095,1
8376,1
8834,1
9410,1
9687,1
10450,1
10789,1
10964,1
11619,1
11728,1
11780,1
11797,1
12892,1
13487,1
14185,1
15280,1
29696,1
30720,1
31457,1
39251,1
53820,1
61937,1
