name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,189,1.0,4,146,10,65536,5,18,63,209.0,37748736.0,30.0,D7
cap,189,1.0,4,146,10,98304,5,18,63,209.0,37748736.0,30.0,D7
cap,189,1.0,4,146,10,196608,5,18,63,209.0,37748736.0,30.0,D7
cap,189,1.0,4,146,10,262144,5,18,63,209.0,37748736.0,30.0,D7
cap,189,1.0,4,146,10,294912,5,18,63,209.0,37748736.0,30.0,D7
cap,125,0.9863087366834278,3,102,10,393216,6,15,54,156.0,37748736.0,30.0,D7
cap,0,0.9732089087968147,2,127,10,491520,5,16,62,189.0,31457280.0,25.0,D7
cap,68,0.7937299147933432,1,47,10,589824,6,9,36,83.0,25165824.0,20.0,D7
cap,68,0.7937299147933432,1,47,10,688128,6,9,36,83.0,25165824.0,20.0,D7
cap,68,0.7937299147933432,1,47,10,786432,6,9,36,83.0,25165824.0,20.0,D7
cap,104,0.6424189913202997,1,31,10,884736,6,6,24,55.0,31457280.0,25.0,D7
cap,104,0.6424189913202997,1,31,10,983040,6,6,24,55.0,31457280.0,25.0,D7
cap,226,0.9997413341862662,3,126,20,65536,5,19,60,186.0,37748736.0,30.0,D7
cap,226,0.9997413341862662,3,126,20,98304,5,19,60,186.0,37748736.0,30.0,D7
cap,226,0.9997413341862662,3,126,20,196608,5,19,60,186.0,37748736.0,30.0,D7
cap,226,0.9997413341862662,3,126,20,262144,5,19,60,186.0,37748736.0,30.0,D7
cap,226,0.9997413341862662,3,126,20,294912,5,19,60,186.0,37748736.0,30.0,D7
cap,226,0.9997413341862662,3,126,20,393216,5,19,60,186.0,37748736.0,30.0,D7
cap,111,0.995493308434485,2,82,20,491520,6,13,47,129.0,31457280.0,25.0,D7
cap,84,0.9387794390426831,2,58,20,589824,6,7,27,85.0,50331648.0,40.0,D7
cap,84,0.9387794390426831,2,58,20,688128,6,7,27,85.0,50331648.0,40.0,D7
cap,84,0.9387794390426831,2,58,20,786432,6,7,27,85.0,50331648.0,40.0,D7
cap,0,0.5975807177635709,1,12,20,884736,6,3,15,27.0,31457280.0,25.0,D7
cap,0,0.5975807177635709,1,12,20,983040,6,3,15,27.0,31457280.0,25.0,D7
cap,90,0.9981847949236133,4,208,30,65536,5,18,73,281.0,37748736.0,30.0,D7
cap,90,0.9981847949236133,4,208,30,98304,5,18,73,281.0,37748736.0,30.0,D7
cap,90,0.9981847949236133,4,208,30,196608,5,18,73,281.0,37748736.0,30.0,D7
cap,90,0.9981847949236133,4,208,30,262144,5,18,73,281.0,37748736.0,30.0,D7
cap,90,0.9981847949236133,4,208,30,294912,5,18,73,281.0,37748736.0,30.0,D7
cap,152,0.9777156003233228,3,96,30,393216,5,13,47,143.0,37748736.0,30.0,D7
cap,318,0.9672144346995785,2,178,30,491520,6,11,77,255.0,31457280.0,25.0,D7
cap,78,0.9387794390426831,2,58,30,589824,6,7,27,85.0,50331648.0,40.0,D7
cap,78,0.9387794390426831,2,58,30,688128,6,7,27,85.0,50331648.0,40.0,D7
cap,78,0.9387794390426831,2,58,30,786432,6,7,27,85.0,50331648.0,40.0,D7
cap,36,0.5269838272090378,1,23,30,884736,6,2,9,32.0,31457280.0,25.0,D7
cap,36,0.5269838272090378,1,23,30,983040,6,2,9,32.0,31457280.0,25.0,D7
