name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,349,0.48463473993021405,4,889,10,65536,2,39,330,1219.0,37748736.0,30.0,D1
cap,349,0.48463473993021405,4,889,10,98304,2,39,330,1219.0,37748736.0,30.0,D1
cap,349,0.48463473993021405,4,889,10,196608,2,39,330,1219.0,37748736.0,30.0,D1
cap,349,0.48463473993021405,4,889,10,262144,2,39,330,1219.0,37748736.0,30.0,D1
cap,349,0.48463473993021405,4,889,10,294912,2,39,330,1219.0,37748736.0,30.0,D1
cap,343,0.46884704031298896,3,874,10,393216,3,37,336,1210.0,37748736.0,30.0,D1
cap,306,0.4345839117646327,2,1226,10,491520,5,38,489,1715.0,31457280.0,25.0,D1
cap,17,0.1640461746762592,1,483,10,589824,2,14,100,583.0,25165824.0,20.0,D1
cap,17,0.1640461746762592,1,483,10,688128,2,14,100,583.0,25165824.0,20.0,D1
cap,17,0.1640461746762592,1,483,10,786432,2,14,100,583.0,25165824.0,20.0,D1
cap,7,0.06862852621572618,1,7,10,884736,3,3,11,18.0,31457280.0,25.0,D1
cap,7,0.06862852621572618,1,7,10,983040,3,3,11,18.0,31457280.0,25.0,D1
cap,231,0.5790760157890301,3,2495,20,65536,3,40,865,3360.0,37748736.0,30.0,D1
cap,231,0.5790760157890301,3,2495,20,98304,3,40,865,3360.0,37748736.0,30.0,D1
cap,231,0.5790760157890301,3,2495,20,196608,3,40,865,3360.0,37748736.0,30.0,D1
cap,231,0.5790760157890301,3,2495,20,262144,3,40,865,3360.0,37748736.0,30.0,D1
cap,231,0.5790760157890301,3,2495,20,294912,3,40,865,3360.0,37748736.0,30.0,D1
cap,231,0.5790760157890301,3,2495,20,393216,3,40,865,3360.0,37748736.0,30.0,D1
cap,256,0.5533719843341857,2,3689,20,491520,3,38,813,4502.0,31457280.0,25.0,D1
cap,0,0.20135982432017596,1,1652,20,589824,3,32,719,2371.0,25165824.0,20.0,D1
cap,0,0.20135982432017596,1,1652,20,688128,3,32,719,2371.0,25165824.0,20.0,D1
cap,0,0.20135982432017596,1,1652,20,786432,3,32,719,2371.0,25165824.0,20.0,D1
cap,271,0.5694106565310714,4,2429,30,65536,3,41,891,3320.0,37748736.0,30.0,D1
cap,271,0.5694106565310714,4,2429,30,98304,3,41,891,3320.0,37748736.0,30.0,D1
cap,271,0.5694106565310714,4,2429,30,196608,3,41,891,3320.0,37748736.0,30.0,D1
cap,271,0.5694106565310714,4,2429,30,262144,3,41,891,3320.0,37748736.0,30.0,D1
cap,271,0.5694106565310714,4,2429,30,294912,3,41,891,3320.0,37748736.0,30.0,D1
cap,333,0.5542994418455254,3,3079,30,393216,3,37,982,4061.0,37748736.0,30.0,D1
cap,321,0.5388384421480643,2,3884,30,491520,3,37,591,4475.0,31457280.0,25.0,D1
cap,146,0.464242259090396,2,6299,30,589824,5,40,1976,8275.0,37748736.0,30.0,D1
cap,186,0.2680224547238091,2,629,30,688128,2,2,29,658.0,50331648.0,40.0,D1
cap,186,0.2680224547238091,2,629,30,786432,2,2,29,658.0,50331648.0,40.0,D1
