name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,0,0.39,6,0,10,65536,1,6,873,873.0,75497472.0,60.0,D5
cap,0,0.39,6,0,10,98304,1,6,873,873.0,75497472.0,60.0,D5
cap,0,0.39,6,0,10,196608,1,6,873,873.0,75497472.0,60.0,D5
cap,0,0.39,6,0,10,262144,1,6,873,873.0,75497472.0,60.0,D5
cap,0,0.39,6,0,10,294912,1,6,873,873.0,75497472.0,60.0,D5
cap,0,0.39,6,0,10,393216,1,6,873,873.0,75497472.0,60.0,D5
cap,0,0.246472613784894,2,1740,10,491520,4,37,665,2405.0,31457280.0,25.0,D5
cap,8,0.11025196147100177,1,1035,10,589824,5,23,308,1343.0,25165824.0,20.0,D5
cap,8,0.11025196147100177,1,1035,10,688128,5,23,308,1343.0,25165824.0,20.0,D5
cap,8,0.11025196147100177,1,1035,10,786432,5,23,308,1343.0,25165824.0,20.0,D5
cap,84,0.4020692364485965,4,13991,20,65536,5,45,4881,18872.0,25165824.0,20.0,D5
cap,84,0.4020692364485965,4,13991,20,98304,5,45,4881,18872.0,25165824.0,20.0,D5
cap,84,0.4020692364485965,4,13991,20,196608,5,45,4881,18872.0,25165824.0,20.0,D5
cap,253,0.36085128838478586,2,16320,20,262144,3,43,3932,20252.0,16777216.0,13.33,D5
cap,268,0.27704040077819936,2,6125,20,294912,2,31,214,6339.0,31457280.0,25.0,D5
cap,268,0.27704040077819936,2,6125,20,393216,2,31,214,6339.0,31457280.0,25.0,D5
cap,268,0.27704040077819936,2,6125,20,491520,2,31,214,6339.0,31457280.0,25.0,D5
cap,12,0.16596511762450217,1,8892,20,589824,6,41,3386,12278.0,18874368.0,15.0,D5
cap,0,0.1360877413087382,1,5159,20,688128,6,41,2092,7251.0,25165824.0,20.0,D5
cap,0,0.1360877413087382,1,5159,20,786432,6,41,2092,7251.0,25165824.0,20.0,D5
cap,176,0.43033931598063424,4,15168,30,65536,2,40,1542,16710.0,8388608.0,6.67,D5
cap,186,0.43009811271502113,4,16733,30,98304,3,42,2698,19431.0,12582912.0,10.0,D5
cap,172,0.4201372613595463,4,15704,30,196608,2,42,3426,19130.0,25165824.0,20.0,D5
cap,186,0.39926865689749436,4,6057,30,262144,2,33,343,6400.0,37748736.0,30.0,D5
cap,186,0.39926865689749436,4,6057,30,294912,2,33,343,6400.0,37748736.0,30.0,D5
cap,29,0.36630183266713934,2,17526,30,393216,2,27,726,18252.0,25165824.0,20.0,D5
cap,227,0.27638298637768965,2,11112,30,491520,4,42,1344,12456.0,37748736.0,30.0,D5
cap,227,0.27638298637768965,2,11112,30,589824,4,42,1344,12456.0,37748736.0,30.0,D5
