name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,17,0.23102524223715953,1,21936,26,65536,5,40,6027,27963.0,18874368.0,15.0,D5
cap,17,0.23102524223715953,1,21936,26,98304,5,40,6027,27963.0,18874368.0,15.0,D5
cap,17,0.23102524223715953,1,21936,26,196608,5,40,6027,27963.0,18874368.0,15.0,D5
cap,17,0.23102524223715953,1,21936,26,262144,5,40,6027,27963.0,18874368.0,15.0,D5
cap,17,0.23102524223715953,1,21936,26,294912,5,40,6027,27963.0,18874368.0,15.0,D5
cap,17,0.23102524223715953,1,21936,26,393216,5,40,6027,27963.0,18874368.0,15.0,D5
cap,17,0.23102524223715953,1,21936,26,491520,5,40,6027,27963.0,18874368.0,15.0,D5
cap,17,0.23102524223715953,1,21936,26,589824,5,40,6027,27963.0,18874368.0,15.0,D5
cap,9,0.18055250795642774,1,5380,15,688128,5,42,2524,7904.0,25165824.0,20.0,D5
cap,9,0.18055250795642774,1,5380,15,786432,5,42,2524,7904.0,25165824.0,20.0,D5
cap,0,0.37835975952434414,2,24092,28,65536,4,44,7746,31838.0,25165824.0,20.0,D5
cap,0,0.37835975952434414,2,24092,28,98304,4,44,7746,31838.0,25165824.0,20.0,D5
cap,0,0.37835975952434414,2,24092,28,196608,4,44,7746,31838.0,25165824.0,20.0,D5
cap,0,0.37835975952434414,2,24092,28,262144,4,44,7746,31838.0,25165824.0,20.0,D5
cap,0,0.37835975952434414,2,24092,28,294912,4,44,7746,31838.0,25165824.0,20.0,D5
cap,0,0.37835975952434414,2,24092,28,393216,4,44,7746,31838.0,25165824.0,20.0,D5
cap,32,0.3417327258002435,2,12002,41,491520,5,43,2283,14285.0,37748736.0,30.0,D5
cap,32,0.3417327258002435,2,12002,41,589824,5,43,2283,14285.0,37748736.0,30.0,D5
cap,0,0.24,2,0,13,688128,1,2,1244,1244.0,62914560.0,50.0,D5
cap,0,0.24,2,0,13,786432,1,2,1244,1244.0,62914560.0,50.0,D5
cap,0,0.24,2,0,13,884736,1,2,1244,1244.0,62914560.0,50.0,D5
cap,0,0.24,2,0,13,983040,1,2,1244,1244.0,62914560.0,50.0,D5
cap,0,0.4340822297670785,3,19590,45,65536,5,43,5686,25276.0,18874368.0,15.0,D5
cap,0,0.4340822297670785,3,19590,45,98304,5,43,5686,25276.0,18874368.0,15.0,D5
cap,0,0.4340822297670785,3,19590,45,196608,5,43,5686,25276.0,18874368.0,15.0,D5
cap,87,0.415389238811966,3,12533,46,262144,4,34,847,13380.0,37748736.0,30.0,D5
cap,87,0.415389238811966,3,12533,46,294912,4,34,847,13380.0,37748736.0,30.0,D5
cap,87,0.415389238811966,3,12533,46,393216,4,34,847,13380.0,37748736.0,30.0,D5
cap,0,0.36,3,0,12,491520,1,3,3798,3798.0,47185920.0,37.5,D5
cap,0,0.36,3,0,13,589824,1,3,5522,5522.0,56623104.0,45.0,D5
