name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,0,0.56,5,0,15,65536,1,5,1573,1573.0,47185920.0,37.5,D1
cap,0,0.56,5,0,15,98304,1,5,1573,1573.0,47185920.0,37.5,D1
cap,0,0.56,5,0,15,196608,1,5,1573,1573.0,47185920.0,37.5,D1
cap,0,0.56,5,0,15,262144,1,5,1573,1573.0,47185920.0,37.5,D1
cap,0,0.56,5,0,15,294912,1,5,1573,1573.0,47185920.0,37.5,D1
cap,0,0.56,6,0,15,393216,1,6,1512,1512.0,75497472.0,60.0,D1
cap,0,0.53,3,0,15,491520,1,3,2292,2292.0,47185920.0,37.5,D1
cap,0,0.48,2,0,15,589824,1,2,7813,7813.0,56623104.0,45.0,D1
cap,0,0.48,2,0,15,688128,1,2,7813,7813.0,56623104.0,45.0,D1
cap,0,0.48,2,0,15,786432,1,2,7813,7813.0,56623104.0,45.0,D1
cap,0,0.48,2,0,15,884736,1,2,7813,7813.0,56623104.0,45.0,D1
cap,0,0.46,2,0,13,983040,1,2,4874,4874.0,62914560.0,50.0,D1
cap,216,0.5816115163460093,4,2818,27,65536,3,41,984,3802.0,37748736.0,30.0,D1
cap,216,0.5816115163460093,4,2818,27,98304,3,41,984,3802.0,37748736.0,30.0,D1
cap,216,0.5816115163460093,4,2818,27,196608,3,41,984,3802.0,37748736.0,30.0,D1
cap,216,0.5816115163460093,4,2818,27,262144,3,41,984,3802.0,37748736.0,30.0,D1
cap,216,0.5816115163460093,4,2818,27,294912,3,41,984,3802.0,37748736.0,30.0,D1
cap,195,0.5797861798711867,3,2537,24,393216,3,40,865,3402.0,37748736.0,30.0,D1
cap,347,0.5593318841471695,2,3008,28,491520,3,39,859,3867.0,31457280.0,25.0,D1
cap,363,0.44137958846771985,2,8298,17,589824,3,44,2191,10489.0,37748736.0,30.0,D1
cap,13,0.2226588369721604,1,2561,26,688128,3,18,164,2725.0,25165824.0,20.0,D1
cap,13,0.2226588369721604,1,2561,26,786432,3,18,164,2725.0,25165824.0,20.0,D1
cap,1,0.16281868645322686,1,619,50,884736,3,1,7,626.0,31457280.0,25.0,D1
cap,1,0.16281868645322686,1,619,50,983040,3,1,7,626.0,31457280.0,25.0,D1
cap,293,0.5544601435656589,4,2837,20,65536,5,40,1151,3988.0,37748736.0,30.0,D1
cap,293,0.5544601435656589,4,2837,20,98304,5,40,1151,3988.0,37748736.0,30.0,D1
cap,293,0.5544601435656589,4,2837,20,196608,5,40,1151,3988.0,37748736.0,30.0,D1
cap,293,0.5544601435656589,4,2837,20,262144,5,40,1151,3988.0,37748736.0,30.0,D1
cap,293,0.5544601435656589,4,2837,20,294912,5,40,1151,3988.0,37748736.0,30.0,D1
cap,300,0.5490504736354977,4,3508,24,393216,5,42,1290,4798.0,50331648.0,40.0,D1
cap,346,0.5103000948175074,2,2248,15,491520,5,41,841,3089.0,31457280.0,25.0,D1
cap,146,0.464242259090396,2,6299,30,589824,5,40,1976,8275.0,37748736.0,30.0,D1
cap,0,0.2320108791870333,1,1447,17,688128,5,34,704,2151.0,25165824.0,20.0,D1
cap,0,0.2320108791870333,1,1447,17,786432,5,34,704,2151.0,25165824.0,20.0,D1
cap,0,0.16507505530747044,1,536,50,884736,5,1,9,545.0,31457280.0,25.0,D1
cap,0,0.16507505530747044,1,536,50,983040,5,1,9,545.0,31457280.0,25.0,D1
