name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
netbeacon,0,0.6,0,0,5,65536,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.6,0,0,5,98304,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.6,0,0,5,196608,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.6,0,0,5,262144,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.6,0,0,5,294912,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.6,0,0,5,393216,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.6,0,0,5,491520,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.6,0,0,5,589824,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.6,0,0,5,688128,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.6,0,0,5,786432,0,3,251,251.0,75497472.0,60.0
netbeacon,0,0.57,0,0,7,884736,0,2,407,407.0,62914560.0,50.0
netbeacon,0,0.57,0,0,7,983040,0,2,407,407.0,62914560.0,50.0
leo,0,0.87,0,0,11,65536,0,7,16384,16384.0,14680064.0,11.67
leo,0,0.87,0,0,10,98304,0,6,8192,8192.0,37748736.0,30.0
leo,0,0.87,0,0,10,196608,0,6,8192,8192.0,37748736.0,30.0
leo,0,0.87,0,0,10,262144,0,4,8192,8192.0,33554432.0,26.67
leo,0,0.87,0,0,11,294912,0,4,16384,16384.0,37748736.0,30.0
leo,0,0.86,0,0,9,393216,0,4,4096,4096.0,50331648.0,40.0
leo,0,0.7,0,0,10,491520,0,3,8192,8192.0,56623104.0,45.0
leo,0,0.7,0,0,10,589824,0,3,8192,8192.0,56623104.0,45.0
leo,0,0.55,0,0,10,688128,0,2,8192,8192.0,44040192.0,35.0
leo,0,0.54,0,0,8,786432,0,2,2048,2048.0,50331648.0,40.0
leo,0,0.52,0,0,6,884736,0,2,2048,2048.0,56623104.0,45.0
leo,0,0.22,0,0,3,983040,0,2,2048,2048.0,62914560.0,50.0
cap,139,0.9676635231973589,3,265,14,65536,5,32,155,420.0,37748736.0,30.0
cap,139,0.9676635231973589,3,265,14,98304,5,32,155,420.0,37748736.0,30.0
cap,139,0.9676635231973589,3,265,14,196608,5,32,155,420.0,37748736.0,30.0
cap,139,0.9676635231973589,3,265,14,262144,5,32,155,420.0,37748736.0,30.0
cap,139,0.9676635231973589,3,265,14,294912,5,32,155,420.0,37748736.0,30.0
cap,139,0.9676635231973589,3,265,14,393216,5,32,155,420.0,37748736.0,30.0
cap,370,0.9333249463023419,2,398,22,491520,3,34,185,583.0,31457280.0,25.0
cap,75,0.8241467240711214,1,345,13,589824,4,25,192,537.0,25165824.0,20.0
cap,75,0.8241467240711214,1,345,13,688128,4,25,192,537.0,25165824.0,20.0
cap,75,0.8241467240711214,1,345,13,786432,4,25,192,537.0,25165824.0,20.0
cap,59,0.7078943161332488,1,725,20,884736,2,3,15,740.0,31457280.0,25.0
cap,59,0.7078943161332488,1,725,20,983040,2,3,15,740.0,31457280.0,25.0
