depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
7,4,0.75,1.0,0.25,1.0,1.0,0.4,-0.7389347902350041,-294912.0,1733893998632
8,3,0.0,0.0,0.5,0.75,0.25,0.6,-0.7113174177398992,-393216.0,1733893998632
7,3,0.5,0.75,1.0,1.0,1.0,0.2,-0.48762050361166664,-393216.0,1733893998632
5,3,0.25,0.25,0.75,0.5,0.25,0.4,-0.5130637561857117,-393216.0,1733893998632
8,4,0.5,0.0,0.75,0.75,0.25,0.0,-0.5835358041108563,-294912.0,1733893998632
8,3,0.75,1.0,0.0,0.0,1.0,0.0,-0.7885857872169704,-393216.0,1733893998632
5,4,1.0,0.0,0.75,0.0,0.75,0.8,-0.31542019099648066,-294912.0,1733893998632
7,4,0.75,0.25,0.5,0.25,0.0,0.0,-0.7294737843362292,-294912.0,1733893998632
9,2,0.75,0.25,0.5,1.0,1.0,0.6,-0.8319516971357952,-491520.0,1733893998632
9,3,0.5,0.5,0.25,0.75,0.25,0.2,-0.6275207574537943,-393216.0,1733893998632
8,3,0.5,0.0,0.25,0.75,0.5,0.4,-0.7675773918785088,-393216.0,1733893998632
9,4,0.75,1.0,0.0,1.0,0.25,0.8,-0.8280789708770492,-294912.0,1733893998632
9,2,0.25,0.25,0.25,0.0,0.25,0.0,-0.7955089989443548,-491520.0,1733893998632
8,3,0.5,1.0,0.75,0.5,0.75,0.8,-0.5583194836829855,-393216.0,1733893998632
8,2,0.75,0.0,0.25,1.0,0.25,0.6,-0.6861928425385014,-491520.0,1733893998632
8,4,1.0,0.25,1.0,0.75,0.25,0.8,-0.6884816909887629,-294912.0,1733893998632
7,3,0.5,0.25,0.5,0.75,0.75,0.2,-0.5067401525739604,-393216.0,1733893998632
6,3,0.75,0.75,0.5,0.75,0.5,0.6,-0.26957605735420354,-393216.0,1733893998632
6,4,0.75,0.5,0.75,0.75,0.75,0.4,-0.26957605735420354,-294912.0,1733893998632
9,2,0.5,1.0,0.0,0.25,1.0,0.8,-0.7075259094123725,-491520.0,1733893998632
7,4,0.25,0.25,0.75,0.5,0.5,0.0,-0.49986437657225896,-294912.0,1733893998632
6,2,0.5,0.0,1.0,1.0,0.5,0.4,-0.4051793638287677,-491520.0,1733893998632
7,3,0.5,1.0,0.75,0.5,0.25,0.0,-0.6419112980108773,-393216.0,1733893998632
8,3,0.25,0.5,0.75,0.5,0.75,0.6,-0.5583194836829855,-393216.0,1733893998632
9,3,1.0,0.75,1.0,0.0,1.0,0.2,-0.8296349971686663,-393216.0,1733893998632
7,3,0.5,0.25,0.5,0.5,1.0,0.4,-0.5067401525739604,-393216.0,1733893998632
5,2,0.0,1.0,0.5,0.75,0.0,0.2,-0.33689603481264385,-491520.0,1733893998632
9,2,0.25,1.0,0.0,0.0,0.25,0.8,-0.760842123726209,-491520.0,1733893998632
6,3,0.75,0.0,0.5,0.5,0.25,0.4,-0.6042666524342738,-393216.0,1733893998632
8,3,0.0,0.0,0.75,1.0,1.0,0.0,-0.7113174177398992,-393216.0,1733893998632
8,3,0.0,0.5,0.25,0.0,0.75,0.4,-0.669989187107752,-393216.0,1733893998632
8,4,0.75,0.5,0.25,1.0,0.75,0.8,-0.5834375502960766,-294912.0,1733893998632
5,4,0.75,1.0,0.75,0.75,1.0,0.8,-0.5130637561857117,-294912.0,1733893998632
8,3,0.25,1.0,0.25,0.0,0.25,0.4,-0.5667595791594442,-393216.0,1733893998632
