depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
5,2,1.0,0.75,0.75,0.75,0.75,0.2,-0.11539620494790805,-491520.0,1733907593846
5,4,0.75,0.0,0.25,0.0,0.0,0.2,-0.08548424847535308,-294912.0,1733907593846
5,3,0.0,0.5,0.75,0.5,0.25,0.0,-0.05845872414162319,-393216.0,1733907593846
7,3,1.0,0.25,0.25,0.75,1.0,0.4,-0.17879875181437133,-393216.0,1733907593846
5,4,1.0,0.75,0.25,0.0,1.0,0.2,-0.08548424847535308,-294912.0,1733907593846
8,4,1.0,0.75,0.75,0.5,0.75,0.8,-0.15630515506416004,-294912.0,1733907593846
7,2,0.0,1.0,0.0,0.75,0.75,0.0,-0.14802555058228345,-491520.0,1733907593846
8,4,0.75,0.0,0.25,0.0,1.0,0.0,-0.20351860507083014,-294912.0,1733907593846
7,2,0.25,0.25,0.5,1.0,0.5,0.0,-0.15326737143420752,-491520.0,1733907593846
9,4,0.5,0.5,0.0,0.5,0.0,0.6,-0.23340604928394065,-294912.0,1733907593846
5,4,0.5,0.75,0.25,0.25,1.0,0.0,-0.11523084129536056,-294912.0,1733907593846
9,3,1.0,0.0,0.75,0.0,1.0,0.4,-0.22598474955369424,-393216.0,1733907593846
9,2,0.0,0.5,0.5,0.25,0.25,0.4,-0.13202089385237142,-491520.0,1733907593846
7,2,1.0,0.0,0.0,0.5,0.75,0.8,-0.17427081961255206,-491520.0,1733907593846
8,4,0.25,0.5,0.25,0.5,0.0,0.6,-0.15659887626094193,-294912.0,1733907593846
8,2,1.0,1.0,0.75,0.5,1.0,0.4,-0.15032988558962923,-491520.0,1733907593846
9,2,0.5,1.0,1.0,0.25,0.25,0.8,-0.184679086928967,-491520.0,1733907593846
7,3,1.0,1.0,1.0,0.75,1.0,0.6,-0.1620375566636491,-393216.0,1733907593846
5,3,0.75,0.5,0.25,0.0,0.75,0.0,-0.0856730723258567,-393216.0,1733907593846
6,2,1.0,1.0,0.25,0.0,0.25,0.6,-0.0935062202962235,-491520.0,1733907593846
6,2,0.5,0.0,0.0,0.5,0.0,0.8,-0.17619291888566602,-491520.0,1733907593846
7,2,0.75,0.5,1.0,0.5,0.75,0.6,-0.15625406238193917,-491520.0,1733907593846
8,2,0.75,1.0,0.5,0.0,0.75,0.2,-0.15339598333865814,-491520.0,1733907593846
6,4,1.0,0.25,0.0,0.0,0.0,0.4,-0.17300035873790173,-294912.0,1733907593846
9,3,0.5,1.0,0.5,0.0,1.0,0.4,-0.22813823781463488,-393216.0,1733907593846
8,4,0.75,0.75,0.0,0.5,0.0,0.8,-0.14570823654241222,-294912.0,1733907593846
5,2,0.25,0.0,0.75,1.0,1.0,0.6,-0.13318232642613537,-491520.0,1733907593846
8,2,0.75,0.5,1.0,0.25,0.75,0.2,-0.17715211999644037,-491520.0,1733907593846
6,2,0.0,1.0,0.0,0.0,0.0,0.6,-0.06518772057098643,-491520.0,1733907593846
8,3,0.5,0.25,0.75,0.0,0.5,0.2,-0.16867271615855345,-393216.0,1733907593846
6,2,0.0,1.0,1.0,0.0,0.75,0.8,-0.1311015424655423,-491520.0,1733907593846
6,3,0.0,1.0,0.0,0.25,1.0,0.8,-0.07446103124785285,-393216.0,1733907593846
9,4,0.75,1.0,0.75,1.0,1.0,0.6,-0.19374450729952686,-294912.0,1733907593846
6,2,0.5,1.0,0.5,0.5,1.0,0.4,-0.14742900076231358,-491520.0,1733907593846
9,2,0.25,0.75,0.25,0.75,0.0,0.0,-0.22699439152076772,-491520.0,1733907593846
6,2,0.5,0.5,0.5,0.0,1.0,0.4,-0.07176453622711654,-491520.0,1733907593846
7,2,0.0,1.0,0.25,0.5,0.0,0.6,-0.14802555058228345,-491520.0,1733907593846
8,3,0.75,0.25,1.0,0.5,0.75,0.0,-0.19523206839241794,-393216.0,1733907593846
6,2,0.0,1.0,0.75,0.5,0.25,0.6,-0.1311015424655423,-491520.0,1733907593846
7,2,0.0,0.5,0.5,1.0,0.0,0.0,-0.13292585951206426,-491520.0,1733907593846
7,2,1.0,0.25,1.0,0.25,0.25,0.6,-0.18125116529572766,-491520.0,1733907593846
7,3,0.5,0.5,0.0,1.0,0.5,0.8,-0.22566638087565677,-393216.0,1733907593846
9,3,0.0,0.0,0.75,0.25,1.0,0.8,-0.22414370913429363,-393216.0,1733907593846
5,4,0.75,1.0,0.5,1.0,0.75,0.0,-0.11523084129536056,-294912.0,1733907593846
8,3,1.0,0.75,0.0,0.75,1.0,0.4,-0.11955961153343586,-393216.0,1733907593846
7,2,1.0,0.75,0.5,0.75,0.25,0.6,-0.1887356278190403,-491520.0,1733907593846
9,2,0.75,0.5,0.75,1.0,0.0,0.4,-0.16936946259793198,-491520.0,1733907593846
7,2,0.0,0.5,1.0,0.5,0.25,0.6,-0.18125116529572766,-491520.0,1733907593846
7,4,0.75,0.75,0.75,1.0,0.75,0.6,-0.16210410646899498,-294912.0,1733907593846
7,2,0.75,1.0,0.75,1.0,0.0,0.0,-0.1581781173125934,-491520.0,1733907593846
6,2,0.0,0.5,1.0,0.75,0.75,0.6,-0.19193214417052465,-491520.0,1733907593846
9,4,0.0,0.0,1.0,0.5,0.25,0.2,-0.23810755473977308,-294912.0,1733907593846
6,2,1.0,0.0,0.25,0.75,0.5,0.4,-0.13158373134788812,-491520.0,1733907593846
9,3,0.0,0.5,0.5,0.0,1.0,0.0,-0.23150399994564422,-393216.0,1733907593846
7,3,0.75,0.5,1.0,0.25,0.5,0.0,-0.20101511463335858,-393216.0,1733907593846
7,4,0.0,0.5,0.25,0.0,0.75,0.0,-0.15202455501990603,-294912.0,1733907593846
8,3,0.25,0.75,0.5,0.5,0.75,0.8,-0.20026469455071877,-393216.0,1733907593846
9,4,0.75,0.75,0.25,0.25,0.75,0.0,-0.18094782386724972,-294912.0,1733907593846
7,3,0.25,0.25,0.5,0.0,0.0,0.4,-0.1580011697392345,-393216.0,1733907593846
9,2,1.0,0.0,1.0,0.75,0.25,0.6,-0.20854260091099486,-491520.0,1733907593846
9,2,0.5,0.75,0.25,0.25,1.0,0.4,-0.17553862567718265,-491520.0,1733907593846
8,4,0.0,0.75,0.75,0.5,0.75,0.4,-0.19084951187014804,-294912.0,1733907593846
6,3,0.5,0.75,0.25,0.5,0.5,0.0,-0.13678083060646354,-393216.0,1733907593846
6,3,0.75,0.75,0.0,0.0,0.0,0.0,-0.1557461983878912,-393216.0,1733907593846
7,3,0.25,0.75,0.75,1.0,0.5,0.0,-0.17819866574009527,-393216.0,1733907593846
5,3,1.0,0.25,0.0,0.25,1.0,0.8,-0.11523084129536056,-393216.0,1733907593846
8,3,1.0,0.5,0.0,0.0,1.0,0.2,-0.14464504177918605,-393216.0,1733907593846
5,2,0.25,1.0,0.75,0.0,0.5,0.0,-0.11539620494790805,-491520.0,1733907593846
7,3,0.0,0.75,0.25,0.75,0.25,0.0,-0.15029500586379424,-393216.0,1733907593846
6,3,0.0,1.0,0.75,0.0,0.0,0.6,-0.1152069849248988,-393216.0,1733907593846
9,2,0.75,0.0,1.0,0.75,1.0,0.0,-0.19671364849097722,-491520.0,1733907593846
9,2,0.0,0.25,0.75,0.25,0.5,0.0,-0.21693706524158995,-491520.0,1733907593846
7,3,0.0,0.5,0.0,1.0,0.75,0.0,-0.1515328365374387,-393216.0,1733907593846
7,2,1.0,0.0,0.25,0.75,0.75,0.6,-0.1887356278190403,-491520.0,1733907593846
5,4,0.5,0.75,0.75,0.75,0.0,0.4,-0.11523084129536056,-294912.0,1733907593846
5,4,0.0,0.75,0.75,0.0,0.75,0.8,-0.05846017430473754,-294912.0,1733907593846
6,4,0.75,0.25,0.0,0.75,1.0,0.2,-0.1251201306988773,-294912.0,1733907593846
7,3,0.25,0.0,0.75,1.0,1.0,0.8,-0.15645831864423426,-393216.0,1733907593846
9,2,0.5,0.0,0.5,1.0,0.75,0.6,-0.22362744080499625,-491520.0,1733907593846
8,2,0.5,0.5,0.25,0.25,0.25,0.6,-0.11473771029382698,-491520.0,1733907593846
7,2,0.0,0.0,0.75,0.5,0.75,0.8,-0.16686693209318193,-491520.0,1733907593846
9,4,0.0,0.0,0.5,1.0,0.5,0.0,-0.2653017317167579,-294912.0,1733907593846
9,3,0.5,0.25,0.5,0.25,1.0,0.2,-0.188165148985661,-393216.0,1733907593846
6,3,0.5,0.0,0.25,1.0,1.0,0.4,-0.18122686961916262,-393216.0,1733907593846
7,3,1.0,0.5,1.0,0.75,0.75,0.0,-0.15721061371072576,-393216.0,1733907593846
7,2,0.75,0.25,0.25,0.75,1.0,0.0,-0.15326737143420752,-491520.0,1733907593846
7,3,1.0,0.5,0.75,0.0,0.0,0.0,-0.21303625770967027,-393216.0,1733907593846
6,2,1.0,0.0,1.0,0.0,0.0,0.6,-0.19193214417052465,-491520.0,1733907593846
9,3,1.0,1.0,1.0,0.0,0.25,0.6,-0.19523391900132475,-393216.0,1733907593846
5,3,0.75,1.0,0.0,0.0,0.75,0.4,-0.0856730723258567,-393216.0,1733907593846
5,3,0.5,0.75,0.25,0.5,0.5,0.4,-0.11523084129536056,-393216.0,1733907593846
8,2,0.25,0.75,0.5,0.5,0.25,0.6,-0.11473771029382698,-491520.0,1733907593846
7,2,0.75,0.25,1.0,1.0,0.5,0.8,-0.15625406238193917,-491520.0,1733907593846
6,2,0.75,0.5,0.75,0.0,0.0,0.0,-0.17665687206279396,-491520.0,1733907593846
7,2,0.5,0.75,0.25,0.25,0.25,0.8,-0.08872993785700879,-491520.0,1733907593846
8,4,0.5,0.0,1.0,0.25,0.0,0.6,-0.22182422272723867,-294912.0,1733907593846
9,3,0.5,0.0,0.75,0.0,1.0,0.0,-0.22881529838030584,-393216.0,1733907593846
8,4,1.0,0.5,0.25,1.0,1.0,0.2,-0.1688026655167112,-294912.0,1733907593846
7,4,0.75,0.75,0.75,1.0,0.5,0.8,-0.16210410646899498,-294912.0,1733907593846
9,2,0.5,0.75,0.25,0.0,0.25,0.6,-0.1825595401773225,-491520.0,1733907593846
9,3,0.5,0.75,1.0,0.25,0.25,0.6,-0.203559804603045,-393216.0,1733907593846
9,2,0.0,0.75,0.75,1.0,0.5,0.6,-0.14524524679570072,-491520.0,1733907593846
8,3,0.25,0.5,0.0,0.0,0.25,0.6,-0.19772731745489192,-393216.0,1733907593846
7,4,1.0,1.0,0.0,0.25,0.5,0.8,-0.10777925080081893,-294912.0,1733907593846
7,2,0.0,0.25,0.5,0.5,0.5,0.2,-0.1887356278190403,-491520.0,1733907593846
8,3,0.5,0.5,0.75,0.0,0.0,0.8,-0.2140052189513308,-393216.0,1733907593846
7,4,0.75,0.5,0.75,0.0,0.75,0.2,-0.20104822544466028,-294912.0,1733907593846
5,3,1.0,0.25,0.5,0.75,0.75,0.8,-0.11523084129536056,-393216.0,1733907593846
8,3,0.0,0.75,0.75,0.75,0.25,0.4,-0.1566608275711437,-393216.0,1733907593846
6,2,0.5,0.5,0.0,1.0,0.0,0.2,-0.11966381021184944,-491520.0,1733907593846
8,2,0.25,1.0,0.5,0.75,0.75,0.4,-0.11933278040738571,-491520.0,1733907593846
7,4,1.0,0.25,0.5,0.25,1.0,0.0,-0.10777925080081893,-294912.0,1733907593846
5,4,1.0,0.25,0.5,1.0,0.75,0.2,-0.11523084129536056,-294912.0,1733907593846
9,2,0.0,0.25,0.0,0.75,0.25,0.8,-0.19848032944907684,-491520.0,1733907593846
7,3,0.0,0.25,1.0,1.0,1.0,0.4,-0.15721061371072576,-393216.0,1733907593846
7,3,0.75,0.25,1.0,0.25,0.25,0.4,-0.17846514852881185,-393216.0,1733907593846
9,3,0.75,0.0,0.75,0.0,0.5,0.8,-0.23130441715673658,-393216.0,1733907593846
8,3,0.25,1.0,0.5,0.75,0.75,0.4,-0.17175165084758393,-393216.0,1733907593846
9,2,0.0,0.75,0.25,1.0,0.25,0.2,-0.16033959352374047,-491520.0,1733907593846
7,2,0.25,0.5,0.25,0.25,1.0,0.2,-0.12876359252399533,-491520.0,1733907593846
9,4,0.75,0.5,1.0,0.0,0.25,0.2,-0.17377140088233764,-294912.0,1733907593846
7,2,0.0,1.0,0.25,0.25,0.75,0.6,-0.11646963063480625,-491520.0,1733907593846
7,4,1.0,0.75,1.0,0.5,0.25,0.4,-0.16194742515306096,-294912.0,1733907593846
6,3,0.75,0.0,0.75,0.75,0.0,0.4,-0.1471537945826277,-393216.0,1733907593846
6,4,0.25,0.0,0.5,1.0,0.0,0.0,-0.2019779333293867,-294912.0,1733907593846
9,4,0.25,0.25,1.0,0.0,0.25,0.8,-0.2037002565608096,-294912.0,1733907593846
5,3,0.5,0.25,0.75,0.0,0.0,0.0,-0.09605095777041289,-393216.0,1733907593846
6,4,0.0,0.25,0.25,0.25,0.5,0.6,-0.09134701204963322,-294912.0,1733907593846
6,2,1.0,0.25,0.75,0.5,0.25,0.0,-0.13158373134788812,-491520.0,1733907593846
9,3,0.5,0.5,0.75,1.0,0.75,0.2,-0.203559804603045,-393216.0,1733907593846
9,4,0.25,0.0,0.75,1.0,0.75,0.0,-0.24170556279730387,-294912.0,1733907593846
8,4,1.0,0.25,0.25,0.75,0.75,0.6,-0.2078999690742518,-294912.0,1733907593846
9,3,1.0,0.5,0.75,0.25,0.75,0.6,-0.17752180509556262,-393216.0,1733907593846
6,3,0.25,0.25,1.0,0.25,0.0,0.2,-0.12662561251723106,-393216.0,1733907593846
8,2,0.5,0.5,0.0,1.0,1.0,0.0,-0.18620948002450477,-491520.0,1733907593846
8,3,0.25,0.25,1.0,1.0,1.0,0.0,-0.18098844791202207,-393216.0,1733907593846
5,4,0.0,0.25,0.0,1.0,0.5,0.0,-0.1619979349251941,-294912.0,1733907593846
8,3,0.5,0.25,0.75,0.75,0.25,0.8,-0.2084751994245933,-393216.0,1733907593846
6,4,0.0,0.75,0.0,0.0,0.25,0.6,-0.17300035873790173,-294912.0,1733907593846
6,3,0.75,0.25,0.0,0.25,1.0,0.4,-0.12662561251723106,-393216.0,1733907593846
6,4,1.0,0.25,0.75,0.75,0.5,0.0,-0.09134701204963322,-294912.0,1733907593846
9,3,0.75,0.0,1.0,1.0,0.75,0.8,-0.23130441715673658,-393216.0,1733907593846
5,3,0.75,0.75,0.0,0.5,0.75,0.2,-0.11523084129536056,-393216.0,1733907593846
7,3,0.75,0.75,1.0,1.0,0.75,0.0,-0.17819866574009527,-393216.0,1733907593846
7,4,1.0,0.75,1.0,0.5,0.5,0.2,-0.16194742515306096,-294912.0,1733907593846
9,2,0.75,0.0,0.25,0.75,0.0,0.8,-0.23050075393429542,-491520.0,1733907593846
7,4,1.0,0.0,0.25,0.75,0.5,0.4,-0.1823892182543626,-294912.0,1733907593846
8,3,0.5,0.5,0.25,0.0,0.25,0.8,-0.17175165084758393,-393216.0,1733907593846
7,2,0.75,0.25,1.0,1.0,0.75,0.0,-0.15625406238193917,-491520.0,1733907593846
7,3,0.75,0.5,0.0,0.25,0.5,0.0,-0.20101511463335858,-393216.0,1733907593846
9,3,0.25,0.0,0.25,1.0,0.0,0.0,-0.2412626914014807,-393216.0,1733907593846
7,2,0.5,1.0,0.5,0.0,0.5,0.2,-0.16241773015830316,-491520.0,1733907593846
6,4,0.5,0.25,0.5,0.5,1.0,0.0,-0.13655986980996992,-294912.0,1733907593846
9,3,0.25,0.5,0.25,0.75,0.5,0.4,-0.1517397696603715,-393216.0,1733907593846
5,3,1.0,0.25,0.0,0.0,0.0,0.8,-0.0856730723258567,-393216.0,1733907593846
7,3,0.25,0.25,0.25,0.25,0.25,0.6,-0.10012298895314162,-393216.0,1733907593846
9,4,0.75,0.0,1.0,0.0,1.0,0.2,-0.24698688900601243,-294912.0,1733907593846
5,4,1.0,0.0,0.0,0.75,0.5,0.8,-0.10687644110626537,-294912.0,1733907593846
9,4,0.5,0.75,1.0,0.0,0.75,0.2,-0.24941025157703642,-294912.0,1733907593846
9,3,0.5,1.0,1.0,0.5,0.0,0.2,-0.15854514610296988,-393216.0,1733907593846
9,3,1.0,0.0,0.0,0.5,0.25,0.6,-0.2486527236108483,-393216.0,1733907593846
6,3,0.5,0.0,0.25,0.0,0.0,0.8,-0.18122686961916262,-393216.0,1733907593846
8,4,1.0,1.0,1.0,1.0,0.5,0.6,-0.16223168546203698,-294912.0,1733907593846
