depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
16,2,0.25,1.0,0.0,0.5,1.0,0.0,-0.7617589440654909,-491520.0,1733643298724
39,4,1.0,0.0,0.75,0.5,0.25,0.0,-0.8289887960921084,-0.0,1733643298724
11,4,0.5,0.75,0.5,1.0,0.0,0.6,-0.6017387082264356,-294912.0,1733643298724
41,3,0.75,0.0,0.75,0.5,0.5,0.8,-0.7408030464923391,-65536.0,1733643298724
22,2,0.0,0.0,0.75,0.0,1.0,0.2,-0.7743667100191673,-393216.0,1733643298724
44,4,1.0,0.5,0.25,1.0,0.75,0.8,-0.6885051657971968,-196608.0,1733643298724
24,2,0.0,0.75,0.5,0.5,0.25,0.4,-0.700276398089861,-262144.0,1733643298724
18,3,1.0,0.5,0.75,1.0,0.25,0.6,-0.6446579683738427,-393216.0,1733643298724
34,3,0.0,1.0,0.5,0.75,0.75,0.2,-0.712599488344925,-196608.0,1733643298724
39,3,0.5,1.0,0.25,0.75,0.75,0.4,-0.6728464593109871,-196608.0,1733643298724
24,3,0.0,0.5,0.25,0.75,0.25,0.0,-0.8229558149262228,-98304.0,1733643298724
45,2,0.25,0.75,1.0,0.5,1.0,0.6,-0.5598174928226354,-393216.0,1733643298724
14,3,0.5,0.25,1.0,0.0,0.5,0.0,-0.7427406519158243,-294912.0,1733643298724
15,2,0.25,1.0,0.5,0.0,0.25,0.2,-0.696074769759756,-491520.0,1733643298724
40,3,0.5,1.0,0.25,0.0,0.5,0.0,-0.8071789751692338,-98304.0,1733643298724
30,4,1.0,0.75,0.25,1.0,0.0,0.4,-0.7328305265234747,-0.0,1733643298724
46,4,0.25,0.25,0.0,0.25,0.5,0.2,-0.7249753966366462,-65536.0,1733643298724
39,4,0.75,0.25,0.25,0.75,0.0,0.6,-0.7678601967389326,-196608.0,1733643298724
36,4,0.75,0.5,0.0,0.5,0.0,0.6,-0.8209882664898746,-0.0,1733643298724
39,4,0.5,0.5,0.0,0.75,1.0,0.6,-0.7709394811169004,-98304.0,1733643298724
33,3,0.0,0.0,1.0,0.0,1.0,0.2,-0.8046789346088717,-196608.0,1733643298724
15,2,0.75,0.25,0.5,0.5,0.5,0.0,-0.6894922347913013,-491520.0,1733643298724
24,2,0.5,0.5,0.0,0.25,0.0,0.8,-0.8030843876092522,-262144.0,1733643298724
43,2,0.5,1.0,1.0,0.25,0.75,0.0,-0.6936644205947278,-262144.0,1733643298724
20,3,0.25,1.0,1.0,0.5,0.25,0.2,-0.6633101574858895,-196608.0,1733643298724
33,3,0.0,1.0,0.0,0.0,0.5,0.4,-0.8112262648810838,-196608.0,1733643298724
31,4,0.25,0.75,0.75,0.25,0.25,0.8,-0.6975334486615064,-0.0,1733643298724
12,4,0.25,0.5,0.5,0.25,0.75,0.6,-0.5731203738930133,-294912.0,1733643298724
23,2,0.75,0.25,0.75,0.75,0.75,0.8,-0.6491662985652485,-393216.0,1733643298724
41,3,0.75,0.0,1.0,0.25,1.0,0.6,-0.7398761833729067,-65536.0,1733643298724
19,3,0.25,1.0,0.25,0.5,0.25,0.2,-0.7142822374656023,-294912.0,1733643298724
41,4,0.25,0.75,0.0,0.75,1.0,0.2,-0.725557980353447,-98304.0,1733643298724
24,3,0.25,0.75,1.0,1.0,0.0,0.2,-0.6939130543132934,-65536.0,1733643298724
18,4,0.5,0.75,1.0,0.25,0.25,0.8,-0.6612637113051409,-65536.0,1733643298724
13,3,0.5,0.25,1.0,1.0,0.25,0.4,-0.5989009962965638,-262144.0,1733643298724
41,2,0.75,1.0,0.25,0.75,1.0,0.8,-0.6438410524941469,-262144.0,1733643298724
17,2,0.25,0.5,0.0,0.25,0.5,0.4,-0.7102743952507268,-589824.0,1733643298724
36,4,1.0,0.5,0.0,1.0,1.0,0.8,-0.7215171053618409,-98304.0,1733643298724
34,3,0.5,0.5,0.0,0.75,0.5,0.6,-0.7771196159401029,-98304.0,1733643298724
36,4,1.0,1.0,1.0,0.75,0.25,0.8,-0.6753628346398801,-0.0,1733643298724
34,2,1.0,1.0,0.0,0.75,0.0,0.6,-0.7945097800227277,-262144.0,1733643298724
