{'application_name': 'CIC-IoMT-2024-PCAPS1-f10', 'hypermapper_mode': {'mode': 'client-server'}, 'design_of_experiment': {'doe_type': 'random sampling', 'number_of_samples': 200}, 'output_data_file': '/home/annuszulfiqar/research/NetEye/dt-framework/results/hypermapper-bayesian_optimization-CIC-IoMT-2024-PCAPS1-f10-2024-12-08-01:49:23/output_samples.csv', 'log_file': '/home/annuszulfiqar/research/NetEye/dt-framework/results/hypermapper-bayesian_optimization-CIC-IoMT-2024-PCAPS1-f10-2024-12-08-01:49:23/hypermapper_log.log', 'input_parameters': {'depth': {'parameter_type': 'integer', 'values': [10, 50], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'features_per_partition': {'parameter_type': 'ordinal', 'values': [2, 3, 4], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c1': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c2': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c3': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c4': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c5': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c6': {'parameter_type': 'ordinal', 'values': [0.0, 0.2, 0.4, 0.6, 0.8], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}}, 'optimization_objectives': ['f1_score', 'num_flows'], 'optimization_iterations': 500, 'evaluations_per_optimization_iteration': 16, 'optimization_method': 'bayesian_optimization', 'acquisition_function': 'EI', 'scalarization_method': 'tchebyshev', 'verbose_logging': False, 'profiling': False, 'noise': True, 'profiling_file': 'profiles/profile.csv', 'append_profiles': False, 'number_of_cpus': 0, 'max_number_of_predictions': 1000000, 'time_budget': -1, 'number_of_repetitions': 1, 'models': {'model': 'random_forest', 'number_of_trees': 10, 'max_features': 0.5, 'bootstrap': False, 'min_samples_split': 5}, 'output_image': {'output_image_pdf_file': 'output_pareto.pdf', 'image_xlog': False, 'image_ylog': False}, 'feasible_output': {'name': 'Valid', 'true_value': 'True', 'false_value': 'False', 'enable_feasible_predictor': False, 'enable_feasible_predictor_grid_search_on_recall_and_precision': False, 'feasible_predictor_grid_search_validation_file': '/home/lnardi/spatial-lang/results/apps_classification_test_set/BlackScholes.csv'}, 'timestamp': 'Timestamp', 'run_directory': '.', 'output_pareto_file': 'output_pareto.csv', 'weight_sampling': 'flat', 'bounding_box_limits': [0, 1], 'local_search_starting_points': 10, 'local_search_random_points': 10000, 'local_search_evaluation_limit': -1, 'scalarization_key': 'scalarization', 'local_search_scalarization_weights': [1], 'print_parameter_importance': False, 'normalize_inputs': False, 'epsilon_greedy_threshold': 0.1, 'prior_method': 'pibo', 'prior_beta': -1, 'prior_floor': 1e-06, 'model_posterior_weight': 10, 'model_good_quantile': 0.05, 'prior_estimation_file': 'samples.csv', 'prior_estimation_quantile': 0.1, 'estimate_multivariate_priors': False, 'resume_optimization': False, 'resume_optimization_data': 'output_samples.csv', 'bandwidth_parameter': 0, 'bandwidth_n_factor': 100, 'prior_limit_estimation_points': 10000, 'posterior_computation_lower_limit': 1e-08, 'custom_gaussian_prior_means': [0], 'custom_gaussian_prior_stds': [-1], 'acquisition_function_optimizer': 'local_search', 'evolution_population_size': 50, 'evolution_generations': 150, 'mutation_rate': 1, 'evolution_crossover': False, 'regularize_evolution': False, 'batch_size': 2, 'print_best': 'auto', 'print_posterior_best': False, 'cma_es_sigma': 0.2, 'cma_es_starting_points': 1, 'cma_es_random_points': 10000}
Design of experiment phase, number of new doe samples = 200 .......
Running on client-server mode.
Communication protocol: sending message...
Request 200
depth,features_per_partition,c1,c2,c3,c4,c5,c6
30,2,0.5,0.5,0.75,0.5,0.5,0.6
21,2,1.0,0.0,0.0,1.0,1.0,0.4
23,2,0.25,1.0,1.0,0.75,1.0,0.8
11,2,0.5,0.25,0.0,0.0,1.0,0.0
48,2,0.5,0.25,0.25,0.5,0.0,0.2
44,4,0.0,0.0,0.75,0.5,0.25,0.0
20,3,1.0,1.0,0.0,0.5,1.0,0.4
16,3,0.25,0.25,0.5,1.0,0.25,0.4
14,2,0.0,1.0,0.5,0.25,0.5,0.0
23,3,0.5,1.0,0.75,1.0,0.5,0.0
41,3,0.75,1.0,0.0,0.5,1.0,0.2
40,3,0.25,0.0,0.5,0.75,0.75,0.4
17,3,0.25,1.0,0.0,0.5,0.25,0.0
48,2,0.0,0.5,0.75,1.0,0.25,0.6
16,3,1.0,0.0,0.5,0.25,0.25,0.2
49,4,0.75,0.25,0.5,0.75,1.0,0.4
48,4,0.5,0.75,0.25,0.75,0.25,0.2
15,4,0.75,0.0,1.0,0.75,1.0,0.4
17,2,1.0,1.0,0.5,1.0,0.75,0.4
14,3,1.0,0.0,0.5,0.5,0.5,0.6
29,2,1.0,0.25,0.25,1.0,0.0,0.4
29,4,0.25,0.25,0.25,0.5,0.75,0.0
27,2,0.75,0.0,0.75,0.0,0.25,0.4
30,4,1.0,0.75,0.75,0.25,1.0,0.0
45,3,1.0,0.0,0.75,0.75,1.0,0.6
28,2,0.0,1.0,0.0,0.25,1.0,0.8
38,3,0.0,0.0,0.0,0.5,0.25,0.4
38,3,0.5,0.75,0.5,1.0,0.0,0.6
15,2,0.25,1.0,0.75,0.0,0.0,0.2
35,4,0.0,0.25,0.5,0.0,0.25,0.0
26,2,0.5,0.5,1.0,0.75,0.5,0.6
24,4,0.5,0.0,0.25,0.0,1.0,0.8
21,4,0.5,0.5,0.75,0.0,0.0,0.2
20,4,1.0,0.5,0.25,1.0,0.75,0.0
43,4,0.0,0.0,0.0,0.75,0.0,0.2
32,2,0.25,0.75,0.5,0.5,0.25,0.8
48,2,0.0,0.25,0.25,1.0,1.0,0.6
23,4,0.5,0.25,0.75,0.0,0.5,0.2
48,2,0.5,1.0,0.0,0.0,0.25,0.6
26,3,0.5,1.0,1.0,1.0,0.0,0.0
28,3,1.0,0.25,1.0,1.0,0.25,0.8
32,2,0.5,0.0,0.75,0.5,0.0,0.8
12,4,0.75,0.0,0.0,1.0,1.0,0.2
17,4,0.0,0.0,0.5,0.75,0.0,0.4
27,3,0.5,0.75,0.75,0.75,1.0,0.6
23,4,0.25,0.5,0.25,1.0,0.0,0.6
43,2,0.75,0.0,0.25,0.5,0.75,0.4
17,4,1.0,0.25,0.75,1.0,0.0,0.0
26,4,0.75,0.25,0.5,0.75,0.25,0.0
31,2,1.0,0.25,0.25,0.75,1.0,0.4
32,2,0.25,1.0,1.0,0.25,1.0,0.2
22,3,0.25,0.5,0.0,0.5,0.25,0.0
38,3,0.5,0.5,0.0,0.75,0.0,0.4
38,3,0.75,1.0,0.0,0.25,1.0,0.0
24,4,0.75,1.0,0.5,0.25,0.5,0.4
30,3,0.5,0.5,0.5,0.75,1.0,0.4
49,4,0.25,0.25,0.5,1.0,0.75,0.4
29,4,0.5,0.25,0.25,1.0,1.0,0.4
18,3,0.0,0.75,0.25,0.5,0.75,0.0
18,2,0.25,1.0,0.0,1.0,1.0,0.6
41,3,1.0,1.0,1.0,1.0,0.5,0.0
45,2,0.75,0.0,0.0,1.0,0.0,0.0
18,3,0.0,0.5,1.0,0.5,0.25,0.4
17,3,0.0,0.75,0.0,0.75,1.0,0.2
40,3,0.25,0.75,0.25,0.5,0.5,0.0
20,4,0.75,0.75,0.0,0.25,0.75,0.2
16,4,1.0,0.5,0.0,0.0,1.0,0.2
12,3,0.75,1.0,0.25,0.0,0.25,0.2
28,2,0.0,1.0,0.5,0.0,0.25,0.2
42,3,0.75,0.0,0.75,0.75,0.25,0.8
40,3,0.0,0.0,0.5,0.0,1.0,0.6
42,3,0.25,0.75,0.0,0.75,0.0,0.6
45,3,0.25,1.0,1.0,0.75,0.5,0.2
46,3,0.0,0.25,0.75,0.5,0.75,0.8
30,2,1.0,0.25,0.5,0.25,0.0,0.0
24,3,0.5,0.25,0.0,0.0,0.5,0.2
36,3,1.0,1.0,1.0,0.25,1.0,0.6
36,4,0.75,0.0,0.75,1.0,0.0,0.0
23,4,1.0,1.0,0.75,1.0,1.0,0.4
20,3,0.75,0.75,0.25,0.5,0.0,0.6
39,2,0.25,1.0,0.75,1.0,0.0,0.8
10,3,0.75,0.5,0.75,0.75,0.5,0.2
27,4,0.0,0.5,0.75,0.75,0.0,0.6
37,4,0.0,0.75,0.0,0.5,0.75,0.2
33,3,1.0,0.0,0.25,0.5,0.75,0.4
14,3,0.0,1.0,0.0,0.0,1.0,0.2
33,4,0.5,0.75,0.0,1.0,0.5,0.4
29,3,0.75,1.0,0.5,0.0,0.0,0.0
16,4,0.0,0.0,0.25,0.25,0.5,0.4
16,2,0.0,0.0,0.25,0.5,1.0,0.2
16,3,0.25,0.5,0.5,0.5,0.75,0.8
37,2,0.75,0.75,0.75,0.0,0.0,0.8
40,3,0.5,1.0,0.0,0.5,1.0,0.2
34,2,1.0,1.0,0.75,1.0,1.0,0.0
12,4,0.0,0.5,0.25,0.75,0.0,0.2
50,4,0.25,0.75,0.75,0.25,0.75,0.2
46,2,1.0,1.0,0.75,0.5,0.0,0.0
12,4,0.25,0.75,0.0,0.25,0.5,0.8
17,3,0.25,0.75,0.25,0.0,0.0,0.8
18,2,0.0,0.75,0.75,0.75,0.5,0.4
49,4,0.75,0.5,0.5,0.25,0.0,0.6
18,3,0.0,0.75,0.25,0.25,0.5,0.0
35,4,0.0,0.75,0.75,0.5,0.25,0.6
34,2,0.75,0.25,0.5,0.25,0.75,0.4
47,4,0.25,0.5,0.5,0.75,1.0,0.8
16,4,0.5,0.25,0.5,0.5,0.25,0.6
13,3,0.75,0.0,0.5,0.25,0.0,0.6
20,3,0.25,0.0,0.5,1.0,1.0,0.0
34,2,1.0,0.0,0.0,1.0,0.5,0.6
30,2,0.5,0.25,0.25,0.25,0.25,0.6
26,3,0.0,0.5,0.75,0.25,0.0,0.0
25,3,0.0,1.0,1.0,0.0,0.0,0.6
29,3,0.25,0.75,0.75,0.75,0.5,0.4
26,2,1.0,1.0,0.5,0.0,0.5,0.2
37,2,0.5,1.0,0.5,0.5,0.5,0.8
36,4,0.5,1.0,1.0,0.5,0.75,0.6
21,2,1.0,1.0,0.25,0.5,0.75,0.8
22,4,0.5,0.25,1.0,0.25,0.75,0.2
31,4,1.0,0.0,0.25,0.5,0.75,0.2
48,2,0.5,0.25,1.0,1.0,1.0,0.6
21,4,0.5,0.0,0.75,0.5,0.75,0.8
30,3,0.75,1.0,1.0,0.0,0.25,0.4
46,4,0.25,0.75,1.0,0.0,0.5,0.8
12,3,0.25,0.0,0.5,0.5,1.0,0.4
47,3,1.0,0.5,0.0,0.5,0.25,0.4
46,3,0.75,1.0,0.25,1.0,0.75,0.2
32,4,0.5,1.0,0.5,0.25,0.25,0.0
25,4,0.25,0.25,0.25,0.25,0.25,0.8
32,2,0.0,0.0,1.0,1.0,0.0,0.8
30,4,0.5,0.5,1.0,0.5,0.25,0.6
14,4,0.75,1.0,0.25,0.25,0.5,0.6
38,4,0.5,1.0,0.5,0.5,1.0,0.2
28,3,0.75,1.0,0.25,0.5,0.75,0.8
21,4,1.0,0.5,0.75,0.5,0.0,0.2
40,4,0.5,0.0,0.0,0.25,0.5,0.6
28,4,0.0,0.5,0.5,1.0,0.75,0.0
11,3,0.5,1.0,1.0,0.75,0.75,0.4
42,4,0.5,1.0,0.0,0.75,0.5,0.4
43,4,0.0,0.5,0.25,1.0,0.5,0.0
39,4,0.25,0.25,1.0,0.75,1.0,0.8
37,2,0.0,0.25,0.5,1.0,0.25,0.0
25,3,0.5,0.5,0.0,0.25,0.25,0.6
42,4,0.75,1.0,0.25,1.0,0.0,0.8
14,4,1.0,0.0,0.25,0.5,0.5,0.8
37,3,0.75,0.5,0.0,1.0,0.5,0.4
18,3,0.0,0.0,1.0,0.25,0.25,0.0
32,4,0.0,0.0,0.75,0.75,0.75,0.6
24,2,0.25,0.0,0.25,0.75,0.75,0.4
13,4,0.5,0.75,0.25,0.75,0.0,0.2
21,2,1.0,1.0,1.0,1.0,0.5,0.8
17,2,1.0,0.5,0.25,0.0,0.25,0.0
33,2,0.75,0.75,0.75,1.0,0.5,0.0
16,3,1.0,0.5,0.0,1.0,0.25,0.8
39,4,0.0,1.0,1.0,0.25,0.5,0.6
45,2,0.75,0.5,0.0,0.0,0.75,0.4
34,4,0.25,0.25,0.5,0.75,0.5,0.0
14,3,0.5,0.0,0.25,0.5,0.75,0.2
45,4,0.5,0.0,0.75,0.25,1.0,0.6
11,2,0.0,1.0,0.5,1.0,0.5,0.0
31,3,0.0,1.0,0.75,0.75,0.75,0.8
21,4,1.0,0.25,0.0,0.5,0.5,0.8
42,4,1.0,0.25,0.25,0.25,0.25,0.6
41,4,0.5,0.25,0.25,0.75,0.5,0.2
48,2,0.5,0.75,0.25,0.0,0.75,0.4
14,2,0.0,1.0,1.0,0.5,0.25,0.4
39,4,0.75,1.0,0.75,0.0,0.5,0.0
29,4,0.75,0.25,1.0,0.0,0.75,0.6
14,2,0.25,1.0,0.5,0.25,1.0,0.0
36,3,0.75,0.25,0.25,0.0,0.25,0.8
14,2,0.0,1.0,0.5,1.0,0.25,0.6
46,4,1.0,0.25,1.0,1.0,0.25,0.8
12,2,0.0,0.5,0.25,0.5,0.5,0.4
18,2,0.0,0.5,1.0,0.0,0.0,0.6
46,3,0.25,0.25,0.5,0.25,0.0,0.6
14,3,0.25,0.5,0.25,0.25,0.75,0.4
31,4,0.75,0.75,0.25,0.75,1.0,0.0
32,3,0.5,1.0,0.0,1.0,1.0,0.6
23,4,0.0,0.0,0.5,0.75,0.0,0.8
16,4,0.0,0.25,0.0,1.0,0.25,0.4
36,2,0.75,0.5,0.0,0.0,0.0,0.8
26,3,0.5,0.0,1.0,0.0,0.75,0.8
50,4,1.0,0.25,1.0,0.0,0.0,0.4
43,2,0.5,0.75,0.5,0.25,0.25,0.8
17,2,0.75,1.0,1.0,0.25,1.0,0.8
45,2,1.0,0.0,1.0,1.0,0.5,0.2
33,2,0.5,1.0,0.5,0.0,1.0,0.0
34,4,0.5,1.0,0.75,0.75,0.75,0.6
25,2,0.0,1.0,0.75,0.25,0.25,0.6
19,3,1.0,1.0,1.0,0.0,0.75,0.8
36,3,0.0,0.75,0.25,0.0,0.0,0.8
10,2,1.0,1.0,0.25,0.5,0.75,0.4
33,4,0.75,0.0,0.5,0.0,0.75,0.8
32,2,0.25,0.5,0.25,0.5,0.25,0.4
17,4,0.0,0.5,1.0,0.25,0.25,0.8
21,3,0.0,0.5,0.5,0.0,0.0,0.8
12,4,1.0,0.25,0.5,1.0,0.75,0.2
32,2,0.0,0.5,1.0,1.0,0.5,0.0
50,2,0.25,1.0,0.5,0.0,0.0,0.0
17,3,0.75,0.5,0.5,1.0,0.5,0.2
46,3,1.0,0.75,1.0,1.0,1.0,0.0
Communication protocol: receiving message....
depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows
30,2,0.5,0.5,0.75,0.5,0.5,0.6,-0.32986127244479296,-491520.0
21,2,1.0,0.0,0.0,1.0,1.0,0.4,-0.4087232201348457,-491520.0
23,2,0.25,1.0,1.0,0.75,1.0,0.8,-0.256151855157119,-491520.0
11,2,0.5,0.25,0.0,0.0,1.0,0.0,-0.348803050398993,-491520.0
48,2,0.5,0.25,0.25,0.5,0.0,0.2,-0.3986524320742366,-491520.0
44,4,0.0,0.0,0.75,0.5,0.25,0.0,-0.42182383454761774,-294912.0
20,3,1.0,1.0,0.0,0.5,1.0,0.4,-0.3451693945221649,-262144.0
16,3,0.25,0.25,0.5,1.0,0.25,0.4,-0.29600843682231803,-393216.0
14,2,0.0,1.0,0.5,0.25,0.5,0.0,-0.37758087542291796,-491520.0
23,3,0.5,1.0,0.75,1.0,0.5,0.0,-0.3470613465321083,-262144.0
41,3,0.75,1.0,0.0,0.5,1.0,0.2,-0.400169168423702,-393216.0
40,3,0.25,0.0,0.5,0.75,0.75,0.4,-0.3337978178377663,-393216.0
17,3,0.25,1.0,0.0,0.5,0.25,0.0,-0.4986595456150612,-262144.0
48,2,0.0,0.5,0.75,1.0,0.25,0.6,-0.3316426179240583,-491520.0
16,3,1.0,0.0,0.5,0.25,0.25,0.2,-0.35112545983791404,-262144.0
49,4,0.75,0.25,0.5,0.75,1.0,0.4,-0.3513787237516241,-294912.0
48,4,0.5,0.75,0.25,0.75,0.25,0.2,-0.38428176145444337,-294912.0
15,4,0.75,0.0,1.0,0.75,1.0,0.4,-0.33434056129562906,-393216.0
17,2,1.0,1.0,0.5,1.0,0.75,0.4,-0.362825329155134,-491520.0
14,3,1.0,0.0,0.5,0.5,0.5,0.6,-0.34294887166359944,-393216.0
29,2,1.0,0.25,0.25,1.0,0.0,0.4,-0.3907952565401483,-491520.0
29,4,0.25,0.25,0.25,0.5,0.75,0.0,-0.34150736179480445,-294912.0
27,2,0.75,0.0,0.75,0.0,0.25,0.4,-0.4224171892104584,-491520.0
30,4,1.0,0.75,0.75,0.25,1.0,0.0,-0.3656278975269506,-294912.0
45,3,1.0,0.0,0.75,0.75,1.0,0.6,-0.36589203162369954,-393216.0
28,2,0.0,1.0,0.0,0.25,1.0,0.8,-0.4593307479906649,-491520.0
38,3,0.0,0.0,0.0,0.5,0.25,0.4,-0.37340590414818753,-262144.0
38,3,0.5,0.75,0.5,1.0,0.0,0.6,-0.3842133719083278,-393216.0
15,2,0.25,1.0,0.75,0.0,0.0,0.2,-0.41517230668366834,-491520.0
35,4,0.0,0.25,0.5,0.0,0.25,0.0,-0.5000186545729015,-393216.0
26,2,0.5,0.5,1.0,0.75,0.5,0.6,-0.3535702796556487,-491520.0
24,4,0.5,0.0,0.25,0.0,1.0,0.8,-0.48254691793053456,-294912.0
21,4,0.5,0.5,0.75,0.0,0.0,0.2,-0.5148730322433168,-294912.0
20,4,1.0,0.5,0.25,1.0,0.75,0.0,-0.34125602502874985,-393216.0
43,4,0.0,0.0,0.0,0.75,0.0,0.2,-0.45102406938669004,-294912.0
32,2,0.25,0.75,0.5,0.5,0.25,0.8,-0.3762689897522294,-491520.0
48,2,0.0,0.25,0.25,1.0,1.0,0.6,-0.3437086333493647,-491520.0
23,4,0.5,0.25,0.75,0.0,0.5,0.2,-0.3519838278674412,-294912.0
48,2,0.5,1.0,0.0,0.0,0.25,0.6,-0.34458319664824516,-491520.0
26,3,0.5,1.0,1.0,1.0,0.0,0.0,-0.5042607594461563,-262144.0
28,3,1.0,0.25,1.0,1.0,0.25,0.8,-0.3570404494699282,-393216.0
32,2,0.5,0.0,0.75,0.5,0.0,0.8,-0.32529951312183747,-491520.0
12,4,0.75,0.0,0.0,1.0,1.0,0.2,-0.42893426854339295,-294912.0
17,4,0.0,0.0,0.5,0.75,0.0,0.4,-0.48394778486138107,-393216.0
27,3,0.5,0.75,0.75,0.75,1.0,0.6,-0.36413118405120504,-393216.0
23,4,0.25,0.5,0.25,1.0,0.0,0.6,-0.43415839815224716,-294912.0
43,2,0.75,0.0,0.25,0.5,0.75,0.4,-0.3182835666282896,-491520.0
17,4,1.0,0.25,0.75,1.0,0.0,0.0,-0.48618388720417915,-294912.0
26,4,0.75,0.25,0.5,0.75,0.25,0.0,-0.33799339022197294,-294912.0
31,2,1.0,0.25,0.25,0.75,1.0,0.4,-0.3420972759589664,-491520.0
32,2,0.25,1.0,1.0,0.25,1.0,0.2,-0.3660042136213416,-491520.0
22,3,0.25,0.5,0.0,0.5,0.25,0.0,-0.5065765990609226,-262144.0
38,3,0.5,0.5,0.0,0.75,0.0,0.4,-0.5064131418026023,-393216.0
38,3,0.75,1.0,0.0,0.25,1.0,0.0,-0.4654042219105797,-393216.0
24,4,0.75,1.0,0.5,0.25,0.5,0.4,-0.3668897782351598,-294912.0
30,3,0.5,0.5,0.5,0.75,1.0,0.4,-0.3669624103809624,-393216.0
49,4,0.25,0.25,0.5,1.0,0.75,0.4,-0.38369881484051926,-294912.0
29,4,0.5,0.25,0.25,1.0,1.0,0.4,-0.3776237466843379,-294912.0
18,3,0.0,0.75,0.25,0.5,0.75,0.0,-0.5181071054902832,-262144.0
18,2,0.25,1.0,0.0,1.0,1.0,0.6,-0.3091000295550314,-491520.0
41,3,1.0,1.0,1.0,1.0,0.5,0.0,-0.37239531463881426,-393216.0
45,2,0.75,0.0,0.0,1.0,0.0,0.0,-0.45349013949510153,-491520.0
18,3,0.0,0.5,1.0,0.5,0.25,0.4,-0.33318318400772856,-262144.0
17,3,0.0,0.75,0.0,0.75,1.0,0.2,-0.4423392763040283,-393216.0
40,3,0.25,0.75,0.25,0.5,0.5,0.0,-0.3464034516952049,-393216.0
20,4,0.75,0.75,0.0,0.25,0.75,0.2,-0.3546807752160383,-294912.0
16,4,1.0,0.5,0.0,0.0,1.0,0.2,-0.5011656745899473,-294912.0
12,3,0.75,1.0,0.25,0.0,0.25,0.2,-0.4891357510810938,-393216.0
28,2,0.0,1.0,0.5,0.0,0.25,0.2,-0.467290211343344,-491520.0
42,3,0.75,0.0,0.75,0.75,0.25,0.8,-0.39627502392778874,-393216.0
40,3,0.0,0.0,0.5,0.0,1.0,0.6,-0.3880178580997437,-393216.0
42,3,0.25,0.75,0.0,0.75,0.0,0.6,-0.40627514908302453,-393216.0
45,3,0.25,1.0,1.0,0.75,0.5,0.2,-0.3585255595873152,-393216.0
46,3,0.0,0.25,0.75,0.5,0.75,0.8,-0.3655390735618499,-393216.0
30,2,1.0,0.25,0.5,0.25,0.0,0.0,-0.4438569267965675,-491520.0
24,3,0.5,0.25,0.0,0.0,0.5,0.2,-0.5284167292408977,-393216.0
36,3,1.0,1.0,1.0,0.25,1.0,0.6,-0.3504519182942962,-393216.0
36,4,0.75,0.0,0.75,1.0,0.0,0.0,-0.4925749993805296,-294912.0
23,4,1.0,1.0,0.75,1.0,1.0,0.4,-0.3553260500641692,-294912.0
20,3,0.75,0.75,0.25,0.5,0.0,0.6,-0.3722171022253431,-393216.0
39,2,0.25,1.0,0.75,1.0,0.0,0.8,-0.3061012900171801,-491520.0
10,3,0.75,0.5,0.75,0.75,0.5,0.2,-0.29769021571488574,-393216.0
27,4,0.0,0.5,0.75,0.75,0.0,0.6,-0.49796375508940227,-393216.0
37,4,0.0,0.75,0.0,0.5,0.75,0.2,-0.49933106805239585,-393216.0
33,3,1.0,0.0,0.25,0.5,0.75,0.4,-0.3952100548318243,-393216.0
14,3,0.0,1.0,0.0,0.0,1.0,0.2,-0.42774451261858515,-393216.0
33,4,0.5,0.75,0.0,1.0,0.5,0.4,-0.3418374777096992,-294912.0
29,3,0.75,1.0,0.5,0.0,0.0,0.0,-0.47482983728223865,-262144.0
16,4,0.0,0.0,0.25,0.25,0.5,0.4,-0.5146207531997339,-393216.0
16,2,0.0,0.0,0.25,0.5,1.0,0.2,-0.45523816056299404,-491520.0
16,3,0.25,0.5,0.5,0.5,0.75,0.8,-0.3008009123883066,-393216.0
37,2,0.75,0.75,0.75,0.0,0.0,0.8,-0.35986194945685207,-491520.0
40,3,0.5,1.0,0.0,0.5,1.0,0.2,-0.38221053112277975,-393216.0
34,2,1.0,1.0,0.75,1.0,1.0,0.0,-0.3137871884995191,-491520.0
12,4,0.0,0.5,0.25,0.75,0.0,0.2,-0.4223059217502448,-294912.0
50,4,0.25,0.75,0.75,0.25,0.75,0.2,-0.38041933540434114,-294912.0
46,2,1.0,1.0,0.75,0.5,0.0,0.0,-0.4099403202392824,-491520.0
