depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
30,2,0.5,0.5,0.75,0.5,0.5,0.6,-0.32986127244479296,-491520.0,1733646351752
21,2,1.0,0.0,0.0,1.0,1.0,0.4,-0.4087232201348457,-491520.0,1733646351752
23,2,0.25,1.0,1.0,0.75,1.0,0.8,-0.256151855157119,-491520.0,1733646351752
11,2,0.5,0.25,0.0,0.0,1.0,0.0,-0.348803050398993,-491520.0,1733646351752
48,2,0.5,0.25,0.25,0.5,0.0,0.2,-0.3986524320742366,-491520.0,1733646351752
44,4,0.0,0.0,0.75,0.5,0.25,0.0,-0.42182383454761774,-294912.0,1733646351752
20,3,1.0,1.0,0.0,0.5,1.0,0.4,-0.3451693945221649,-262144.0,1733646351752
16,3,0.25,0.25,0.5,1.0,0.25,0.4,-0.29600843682231803,-393216.0,1733646351752
14,2,0.0,1.0,0.5,0.25,0.5,0.0,-0.37758087542291796,-491520.0,1733646351752
23,3,0.5,1.0,0.75,1.0,0.5,0.0,-0.3470613465321083,-262144.0,1733646351752
41,3,0.75,1.0,0.0,0.5,1.0,0.2,-0.400169168423702,-393216.0,1733646351752
40,3,0.25,0.0,0.5,0.75,0.75,0.4,-0.3337978178377663,-393216.0,1733646351752
17,3,0.25,1.0,0.0,0.5,0.25,0.0,-0.4986595456150612,-262144.0,1733646351752
48,2,0.0,0.5,0.75,1.0,0.25,0.6,-0.3316426179240583,-491520.0,1733646351752
16,3,1.0,0.0,0.5,0.25,0.25,0.2,-0.35112545983791404,-262144.0,1733646351752
49,4,0.75,0.25,0.5,0.75,1.0,0.4,-0.3513787237516241,-294912.0,1733646351752
48,4,0.5,0.75,0.25,0.75,0.25,0.2,-0.38428176145444337,-294912.0,1733646351752
15,4,0.75,0.0,1.0,0.75,1.0,0.4,-0.33434056129562906,-393216.0,1733646351752
17,2,1.0,1.0,0.5,1.0,0.75,0.4,-0.362825329155134,-491520.0,1733646351752
14,3,1.0,0.0,0.5,0.5,0.5,0.6,-0.34294887166359944,-393216.0,1733646351752
29,2,1.0,0.25,0.25,1.0,0.0,0.4,-0.3907952565401483,-491520.0,1733646351752
29,4,0.25,0.25,0.25,0.5,0.75,0.0,-0.34150736179480445,-294912.0,1733646351752
27,2,0.75,0.0,0.75,0.0,0.25,0.4,-0.4224171892104584,-491520.0,1733646351752
30,4,1.0,0.75,0.75,0.25,1.0,0.0,-0.3656278975269506,-294912.0,1733646351752
45,3,1.0,0.0,0.75,0.75,1.0,0.6,-0.36589203162369954,-393216.0,1733646351752
28,2,0.0,1.0,0.0,0.25,1.0,0.8,-0.4593307479906649,-491520.0,1733646351752
38,3,0.0,0.0,0.0,0.5,0.25,0.4,-0.37340590414818753,-262144.0,1733646351752
38,3,0.5,0.75,0.5,1.0,0.0,0.6,-0.3842133719083278,-393216.0,1733646351752
15,2,0.25,1.0,0.75,0.0,0.0,0.2,-0.41517230668366834,-491520.0,1733646351752
35,4,0.0,0.25,0.5,0.0,0.25,0.0,-0.5000186545729015,-393216.0,1733646351752
26,2,0.5,0.5,1.0,0.75,0.5,0.6,-0.3535702796556487,-491520.0,1733646351752
24,4,0.5,0.0,0.25,0.0,1.0,0.8,-0.48254691793053456,-294912.0,1733646351752
21,4,0.5,0.5,0.75,0.0,0.0,0.2,-0.5148730322433168,-294912.0,1733646351752
20,4,1.0,0.5,0.25,1.0,0.75,0.0,-0.34125602502874985,-393216.0,1733646351752
