depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
7,3,0.25,1.0,0.25,0.25,1.0,0.0,-0.2353727569018264,-393216.0,1733889383022
7,4,0.75,0.75,0.75,0.25,0.25,0.8,-0.24215494592166495,-294912.0,1733889383022
6,2,0.5,0.25,0.5,1.0,0.5,0.4,-0.18112549269547673,-491520.0,1733889383022
6,4,0.0,0.5,0.5,0.25,1.0,0.6,-0.19923443063982477,-294912.0,1733889383022
5,4,0.25,0.5,0.75,0.5,1.0,0.2,-0.15199018118261995,-294912.0,1733889383022
9,3,0.0,1.0,0.75,1.0,0.0,0.2,-0.5065310519235606,-393216.0,1733889383022
5,2,0.75,0.25,0.0,0.75,0.75,0.2,-0.12740678735478542,-491520.0,1733889383022
6,3,1.0,0.75,0.0,0.75,1.0,0.6,-0.1402559312115642,-393216.0,1733889383022
9,3,0.5,0.5,0.25,0.5,1.0,0.8,-0.3281911860395828,-393216.0,1733889383022
9,4,0.0,0.75,0.0,1.0,0.5,0.6,-0.5012422080635346,-294912.0,1733889383022
6,4,0.25,0.25,0.75,0.75,1.0,0.4,-0.19769683796995602,-294912.0,1733889383022
5,2,0.75,0.0,1.0,0.75,0.5,0.8,-0.12056506215085848,-491520.0,1733889383022
8,2,0.5,0.5,0.0,0.25,0.25,0.4,-0.4265874638412352,-491520.0,1733889383022
8,4,0.75,0.5,0.0,0.75,0.5,0.4,-0.3768788281905383,-294912.0,1733889383022
5,4,0.5,1.0,1.0,0.0,0.0,0.2,-0.15199018118261995,-294912.0,1733889383022
7,4,0.5,0.75,0.25,0.0,0.5,0.0,-0.22012436263419677,-294912.0,1733889383022
7,4,0.5,0.5,0.75,0.25,0.75,0.4,-0.2389731512581513,-294912.0,1733889383022
9,3,0.0,0.75,0.0,0.5,0.5,0.4,-0.5116936909503473,-393216.0,1733889383022
8,2,0.0,0.25,0.75,1.0,0.25,0.4,-0.37403327157762767,-491520.0,1733889383022
8,4,1.0,1.0,0.25,1.0,0.0,0.6,-0.3879717902948485,-294912.0,1733889383022
5,3,0.25,1.0,0.25,0.0,0.75,0.4,-0.12655503484849026,-393216.0,1733889383022
6,3,0.5,0.75,0.75,0.5,0.0,0.2,-0.19761429438512315,-393216.0,1733889383022
8,3,1.0,0.5,0.75,0.0,0.5,0.0,-0.4202792592418133,-393216.0,1733889383022
7,3,0.5,0.25,0.0,0.25,1.0,0.8,-0.24526889961170284,-393216.0,1733889383022
8,2,0.75,1.0,0.5,1.0,1.0,0.4,-0.38327250366498933,-491520.0,1733889383022
6,2,0.25,0.75,0.5,0.5,0.0,0.8,-0.19761429438512315,-491520.0,1733889383022
7,3,0.75,0.5,0.5,0.25,0.75,0.4,-0.20558094732490892,-393216.0,1733889383022
6,2,0.25,0.75,0.25,0.75,0.0,0.0,-0.20442527793207604,-491520.0,1733889383022
7,2,1.0,0.25,0.25,0.75,0.0,0.6,-0.22435549366891397,-491520.0,1733889383022
6,4,0.75,0.25,0.75,0.5,0.5,0.0,-0.19769683796995602,-294912.0,1733889383022
9,3,0.5,0.5,0.0,0.25,0.5,0.0,-0.4664861125027032,-393216.0,1733889383022
5,4,0.25,0.75,0.0,0.75,0.5,0.4,-0.12655503484849026,-294912.0,1733889383022
6,3,1.0,0.25,0.5,0.25,0.5,0.4,-0.1946966340484411,-393216.0,1733889383022
5,2,0.25,0.25,0.25,1.0,0.5,0.8,-0.12740678735478542,-491520.0,1733889383022
7,3,0.0,0.75,0.75,0.5,1.0,0.2,-0.2112689991315513,-393216.0,1733889383022
7,4,0.75,0.5,0.25,0.0,1.0,0.4,-0.19726557668811834,-294912.0,1733889383022
7,4,0.75,0.0,0.75,1.0,0.5,0.4,-0.26797179377226504,-294912.0,1733889383022
8,3,0.75,0.0,1.0,0.5,0.25,0.0,-0.44739725757934123,-393216.0,1733889383022
6,3,0.0,1.0,0.5,1.0,1.0,0.2,-0.30961349511410724,-393216.0,1733889383022
9,2,0.5,1.0,0.75,0.25,1.0,0.0,-0.44101734696290334,-491520.0,1733889383022
8,4,0.75,0.25,0.0,1.0,0.75,0.4,-0.3669256024264061,-294912.0,1733889383022
5,3,0.5,0.5,0.5,1.0,1.0,0.6,-0.15199018118261995,-393216.0,1733889383022
9,4,0.75,1.0,0.75,0.25,0.0,0.8,-0.4707950701795974,-294912.0,1733889383022
8,2,0.75,1.0,0.75,0.75,0.25,0.4,-0.38327250366498933,-491520.0,1733889383022
7,2,0.25,0.75,1.0,0.5,1.0,0.2,-0.26572619231384537,-491520.0,1733889383022
5,3,0.25,0.25,0.75,1.0,0.25,0.0,-0.15199018118261995,-393216.0,1733889383022
8,4,0.5,1.0,1.0,0.25,0.25,0.4,-0.4115679067682241,-294912.0,1733889383022
6,2,0.0,1.0,0.75,0.75,1.0,0.8,-0.1641664598532667,-491520.0,1733889383022
8,3,0.75,0.75,1.0,0.75,1.0,0.8,-0.40699993329459416,-393216.0,1733889383022
9,3,1.0,0.75,1.0,0.5,1.0,0.8,-0.38457257780428944,-393216.0,1733889383022
8,3,0.0,1.0,0.5,0.25,1.0,0.2,-0.36050379384893083,-393216.0,1733889383022
8,3,0.25,0.0,0.0,0.5,1.0,0.2,-0.4041779351642842,-393216.0,1733889383022
8,4,0.0,0.25,0.0,0.5,0.75,0.8,-0.2867051501009681,-294912.0,1733889383022
6,2,0.0,1.0,1.0,0.0,0.75,0.6,-0.1641664598532667,-491520.0,1733889383022
8,3,0.5,0.25,0.75,1.0,0.0,0.6,-0.36615063371147716,-393216.0,1733889383022
6,3,0.75,1.0,0.0,0.25,1.0,0.6,-0.109020427528263,-393216.0,1733889383022
6,2,0.0,0.0,0.25,1.0,0.5,0.8,-0.22945825725239316,-491520.0,1733889383022
5,3,0.0,0.5,0.0,0.5,0.0,0.2,-0.15771371169224901,-393216.0,1733889383022
6,2,0.5,0.25,0.75,1.0,0.25,0.4,-0.18112549269547673,-491520.0,1733889383022
5,4,0.25,0.5,0.75,0.25,1.0,0.8,-0.15199018118261995,-294912.0,1733889383022
5,2,0.0,1.0,0.5,0.5,0.0,0.4,-0.12664969765553932,-491520.0,1733889383022
7,2,0.75,0.25,1.0,0.5,0.25,0.4,-0.35737179362045246,-491520.0,1733889383022
5,3,0.0,1.0,0.25,0.25,1.0,0.8,-0.15771371169224901,-393216.0,1733889383022
9,4,0.25,0.5,0.25,0.75,0.75,0.8,-0.4447294782968321,-294912.0,1733889383022
9,4,0.0,0.5,0.5,0.25,0.25,0.2,-0.4832072988069082,-294912.0,1733889383022
8,4,1.0,0.25,0.5,1.0,0.75,0.2,-0.385782993590385,-294912.0,1733889383022
5,3,0.75,1.0,0.25,0.0,0.0,0.2,-0.12655503484849026,-393216.0,1733889383022
7,4,1.0,0.75,1.0,0.25,0.75,0.2,-0.2423356356485934,-294912.0,1733889383022
7,4,0.5,1.0,0.25,0.25,0.25,0.2,-0.24215494592166495,-294912.0,1733889383022
