depth,features_per_partition,c1,c2,c3,c4,c5,c6,f1_score,num_flows,Timestamp
28,2,0.75,0.75,0.0,0.75,0.25,0.4,-0.43143379567082224,-262144.0,1730912097961
36,4,0.75,0.5,0.75,0.75,0.25,0.8,-0.49029153324344893,-0.0,1730912097961
18,3,0.5,0.25,0.75,0.5,0.25,0.2,-0.4071674119491772,-0.0,1730912097961
46,4,0.25,0.5,1.0,0.0,0.5,0.8,-0.5277511422860092,-98304.0,1730912097961
25,2,0.0,0.0,0.25,0.0,0.0,0.8,-0.5812894171434659,-589824.0,1730912097961
38,3,0.5,1.0,1.0,0.5,1.0,0.8,-0.5058378758077313,-196608.0,1730912097961
32,2,1.0,1.0,0.5,1.0,0.75,0.2,-0.4578018977026917,-262144.0,1730912097961
12,3,0.25,0.75,0.25,0.0,0.0,0.2,-0.14566533411570515,-262144.0,1730912097961
38,4,0.25,0.5,0.0,0.75,0.25,0.4,-0.5229977204120794,-98304.0,1730912097961
23,2,1.0,0.5,0.75,0.25,0.5,0.2,-0.4094053728389362,-294912.0,1730912097961
26,2,0.25,0.5,0.0,0.25,0.25,0.4,-0.3845597821862798,-262144.0,1730912097961
21,4,0.0,0.5,0.25,0.5,0.0,0.0,-0.5918916738665968,-0.0,1730912097961
27,2,0.0,0.25,0.75,0.0,0.5,0.0,-0.5431141731832748,-393216.0,1730912097961
38,4,0.5,0.75,0.5,0.0,1.0,0.2,-0.5638619045481685,-0.0,1730912097961
41,4,0.0,0.75,0.5,0.25,0.75,0.0,-0.5953344777761411,-0.0,1730912097961
48,2,0.0,0.0,0.5,0.5,1.0,0.2,-0.5352641733630731,-589824.0,1730912097961
14,4,0.0,0.25,0.25,0.0,0.0,0.8,-0.35573649765424564,-65536.0,1730912097961
11,4,0.5,0.0,0.25,0.75,1.0,0.4,-0.1637639681874725,-294912.0,1730912097961
44,2,1.0,0.25,0.75,0.25,0.0,0.2,-0.49311758035720393,-262144.0,1730912097961
32,2,1.0,0.25,0.0,0.0,0.5,0.2,-0.44616705342536034,-589824.0,1730912097961
46,3,0.5,1.0,0.0,0.25,0.25,0.4,-0.5000936049404664,-196608.0,1730912097961
46,2,0.0,0.25,1.0,0.25,1.0,0.0,-0.5670460662108874,-589824.0,1730912097961
25,4,0.25,1.0,0.25,0.5,0.25,0.4,-0.4605262280754886,-0.0,1730912097961
48,4,0.5,0.75,0.25,0.75,0.75,0.6,-0.5094355232616586,-0.0,1730912097961
32,2,0.0,0.5,0.5,0.5,0.0,0.4,-0.5798302578463864,-294912.0,1730912097961
46,3,0.0,0.0,0.0,0.0,0.25,0.8,-0.600397959921192,-262144.0,1730912097961
13,3,0.75,0.25,0.75,1.0,0.75,0.4,-0.18799238770738624,-393216.0,1730912097961
30,3,0.25,1.0,0.0,0.25,1.0,0.0,-0.5697565083616188,-196608.0,1730912097961
24,2,0.5,1.0,0.75,0.75,0.5,0.8,-0.44270976277637364,-262144.0,1730912097961
45,4,0.0,0.25,0.25,0.75,1.0,0.2,-0.5771777558377121,-0.0,1730912097961
30,3,1.0,0.25,0.75,0.25,0.0,0.2,-0.5048898247540009,-0.0,1730912097961
27,2,0.5,1.0,0.75,0.75,1.0,0.6,-0.4439909300243085,-393216.0,1730912097961
20,2,1.0,1.0,0.5,1.0,0.25,0.8,-0.4161363687568363,-294912.0,1730912097961
28,3,0.75,0.0,1.0,0.0,1.0,0.8,-0.5006459913734994,-65536.0,1730912097961
30,4,0.5,0.5,0.75,0.75,0.75,0.0,-0.5371596811104625,-0.0,1730912097961
42,4,0.75,1.0,0.75,0.0,0.25,0.8,-0.5676760383240173,-0.0,1730912097961
34,3,0.75,0.0,0.5,0.75,0.0,0.8,-0.5375905044758565,-196608.0,1730912097961
30,2,0.0,0.5,0.0,0.0,0.25,0.2,-0.5170756403059559,-589824.0,1730912097961
17,2,0.75,0.75,0.75,0.0,0.5,0.0,-0.409337816391236,-393216.0,1730912097961
27,4,0.75,0.5,1.0,0.75,0.75,0.4,-0.46366231610658626,-0.0,1730912097961
46,3,1.0,0.75,0.25,1.0,0.25,0.8,-0.5201644834071253,-98304.0,1730912097961
42,2,0.25,0.25,0.0,0.5,0.5,0.4,-0.3689568541436152,-589824.0,1730912097961
18,4,0.25,1.0,0.25,0.25,0.75,0.0,-0.5518842151736529,-0.0,1730912097961
18,2,0.25,0.5,0.25,0.0,1.0,0.0,-0.39696384805429275,-393216.0,1730912097961
26,3,0.0,0.5,0.75,1.0,0.75,0.8,-0.574124869081973,-196608.0,1730912097961
