{'application_name': 'UCSBFinetuning-PCAPS0-f10', 'hypermapper_mode': {'mode': 'client-server'}, 'design_of_experiment': {'doe_type': 'random sampling', 'number_of_samples': 200}, 'output_data_file': '/home/annuszulfiqar/research/NetEye/dt-framework/results/hypermapper-bayesian_optimization-UCSBFinetuning-PCAPS0-f10-2024-12-10-22:51:52/output_samples.csv', 'log_file': '/home/annuszulfiqar/research/NetEye/dt-framework/results/hypermapper-bayesian_optimization-UCSBFinetuning-PCAPS0-f10-2024-12-10-22:51:52/hypermapper_log.log', 'input_parameters': {'depth': {'parameter_type': 'integer', 'values': [5, 9], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'features_per_partition': {'parameter_type': 'ordinal', 'values': [2, 3, 4], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c1': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c2': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c3': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c4': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c5': {'parameter_type': 'ordinal', 'values': [0.0, 0.25, 0.5, 0.75, 1.0], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'c6': {'parameter_type': 'ordinal', 'values': [0.0, 0.2, 0.4, 0.6, 0.8], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}}, 'optimization_objectives': ['f1_score', 'num_flows'], 'optimization_iterations': 500, 'evaluations_per_optimization_iteration': 10, 'optimization_method': 'bayesian_optimization', 'acquisition_function': 'EI', 'scalarization_method': 'tchebyshev', 'verbose_logging': False, 'profiling': False, 'noise': True, 'profiling_file': 'profiles/profile.csv', 'append_profiles': False, 'number_of_cpus': 0, 'max_number_of_predictions': 1000000, 'time_budget': -1, 'number_of_repetitions': 1, 'models': {'model': 'random_forest', 'number_of_trees': 10, 'max_features': 0.5, 'bootstrap': False, 'min_samples_split': 5}, 'output_image': {'output_image_pdf_file': 'output_pareto.pdf', 'image_xlog': False, 'image_ylog': False}, 'feasible_output': {'name': 'Valid', 'true_value': 'True', 'false_value': 'False', 'enable_feasible_predictor': False, 'enable_feasible_predictor_grid_search_on_recall_and_precision': False, 'feasible_predictor_grid_search_validation_file': '/home/lnardi/spatial-lang/results/apps_classification_test_set/BlackScholes.csv'}, 'timestamp': 'Timestamp', 'run_directory': '.', 'output_pareto_file': 'output_pareto.csv', 'weight_sampling': 'flat', 'bounding_box_limits': [0, 1], 'local_search_starting_points': 10, 'local_search_random_points': 10000, 'local_search_evaluation_limit': -1, 'scalarization_key': 'scalarization', 'local_search_scalarization_weights': [1], 'print_parameter_importance': False, 'normalize_inputs': False, 'epsilon_greedy_threshold': 0.1, 'prior_method': 'pibo', 'prior_beta': -1, 'prior_floor': 1e-06, 'model_posterior_weight': 10, 'model_good_quantile': 0.05, 'prior_estimation_file': 'samples.csv', 'prior_estimation_quantile': 0.1, 'estimate_multivariate_priors': False, 'resume_optimization': False, 'resume_optimization_data': 'output_samples.csv', 'bandwidth_parameter': 0, 'bandwidth_n_factor': 100, 'prior_limit_estimation_points': 10000, 'posterior_computation_lower_limit': 1e-08, 'custom_gaussian_prior_means': [0], 'custom_gaussian_prior_stds': [-1], 'acquisition_function_optimizer': 'local_search', 'evolution_population_size': 50, 'evolution_generations': 150, 'mutation_rate': 1, 'evolution_crossover': False, 'regularize_evolution': False, 'batch_size': 2, 'print_best': 'auto', 'print_posterior_best': False, 'cma_es_sigma': 0.2, 'cma_es_starting_points': 1, 'cma_es_random_points': 10000}
Design of experiment phase, number of new doe samples = 200 .......
Running on client-server mode.
Communication protocol: sending message...
Request 200
depth,features_per_partition,c1,c2,c3,c4,c5,c6
5,4,0.5,0.25,1.0,0.5,0.25,0.6
7,3,0.25,1.0,1.0,0.25,0.25,0.4
6,2,1.0,1.0,0.75,0.0,0.5,0.2
9,3,1.0,0.25,1.0,0.5,0.75,0.4
7,4,1.0,0.25,0.0,0.5,0.25,0.4
7,3,0.75,0.75,0.75,1.0,0.25,0.4
8,3,0.25,0.25,0.25,1.0,0.25,0.6
8,3,0.5,0.5,0.25,0.25,0.5,0.0
6,4,0.5,0.75,0.25,0.0,0.25,0.6
7,4,0.5,0.0,0.25,1.0,0.75,0.6
8,4,0.75,0.5,0.75,0.5,0.0,0.8
7,4,0.0,1.0,0.5,0.5,0.5,0.4
9,3,0.0,0.5,0.0,1.0,0.25,0.8
5,2,0.75,1.0,0.25,0.5,0.75,0.2
7,3,0.25,0.5,0.25,0.75,1.0,0.0
6,4,0.5,0.0,0.25,0.0,0.75,0.0
7,3,1.0,0.0,0.5,0.25,0.5,0.4
6,3,0.75,0.75,1.0,0.25,0.75,0.2
9,2,0.5,0.25,0.75,0.25,0.5,0.0
5,2,0.5,1.0,0.5,0.5,0.5,0.0
7,4,0.5,1.0,0.0,0.75,0.75,0.0
7,4,0.0,0.25,1.0,0.75,0.75,0.4
7,2,1.0,1.0,0.5,0.0,0.75,0.6
8,3,1.0,0.5,1.0,0.75,0.0,0.0
7,3,1.0,0.75,1.0,0.75,1.0,0.4
7,2,0.0,1.0,0.5,0.25,0.75,0.8
8,2,0.75,0.25,0.75,0.5,0.75,0.4
6,4,0.0,1.0,0.75,0.0,0.25,0.2
9,2,0.5,0.0,0.5,0.0,1.0,0.8
7,3,1.0,0.75,0.25,0.0,1.0,0.8
7,4,0.0,0.5,0.75,0.5,0.5,0.2
5,2,0.25,0.25,0.5,0.75,0.75,0.4
9,2,0.75,0.25,0.25,0.0,0.25,0.0
8,3,0.0,0.25,0.75,0.0,0.5,0.4
7,4,0.25,0.0,0.75,1.0,0.0,0.6
8,3,0.75,0.25,1.0,1.0,0.75,0.6
7,4,0.5,0.25,1.0,0.25,0.75,0.8
5,3,0.5,0.5,0.75,0.75,1.0,0.0
8,3,0.0,0.0,0.5,1.0,0.5,0.0
6,2,0.0,0.75,1.0,0.75,0.0,0.8
7,2,0.75,0.25,1.0,1.0,0.5,0.8
6,4,0.0,0.5,0.5,0.5,0.25,0.4
5,2,0.5,0.0,0.5,0.75,1.0,0.0
7,3,0.25,0.75,0.75,0.0,0.5,0.2
5,4,0.5,0.5,1.0,0.5,0.0,0.0
8,4,0.0,0.75,0.0,0.5,1.0,0.0
9,2,1.0,0.25,0.5,1.0,0.5,0.2
5,3,0.25,0.0,1.0,0.75,0.0,0.2
8,2,0.75,0.25,0.0,1.0,1.0,0.2
8,3,1.0,0.0,0.5,0.75,0.75,0.0
7,3,0.25,0.5,0.5,0.0,0.5,0.6
7,3,0.0,0.5,0.5,0.25,0.0,0.2
8,4,0.75,0.25,0.25,0.5,0.0,0.8
5,4,1.0,0.5,0.0,0.0,0.0,0.2
8,4,0.25,0.75,0.5,0.75,1.0,0.6
6,3,0.5,0.5,0.25,0.25,0.0,0.2
9,4,0.5,0.0,0.0,0.25,0.0,0.6
8,3,0.25,0.75,1.0,1.0,0.25,0.8
9,4,0.25,1.0,1.0,0.25,0.25,0.4
6,3,0.0,0.25,0.25,0.5,0.0,0.0
8,4,0.0,1.0,0.5,0.25,0.25,0.4
9,2,0.75,0.0,0.25,0.5,0.25,0.2
8,3,0.5,0.5,0.5,0.75,0.0,0.8
8,3,0.75,0.0,0.75,1.0,0.75,0.4
5,4,0.0,0.5,1.0,0.25,0.0,0.0
5,4,0.75,0.5,0.25,0.75,0.75,0.8
7,2,0.5,0.0,0.75,0.75,0.25,0.8
6,4,0.75,0.75,0.75,0.5,0.75,0.4
8,2,0.75,0.25,0.75,0.25,0.5,0.4
5,2,0.0,0.75,0.25,1.0,0.25,0.0
9,3,0.75,0.0,1.0,0.25,1.0,0.8
9,4,1.0,0.25,0.25,0.25,0.0,0.4
6,3,0.25,0.25,0.0,1.0,0.25,0.8
5,3,0.75,1.0,0.0,1.0,0.5,0.6
7,3,0.0,0.0,0.5,0.0,1.0,0.6
7,3,0.75,0.5,0.5,1.0,0.75,0.2
6,3,0.5,0.25,0.0,0.0,0.75,0.4
9,4,0.75,0.25,1.0,0.5,0.75,0.0
