name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,168,0.9393935517987675,4,329,10,65536,5,31,148,477.0,37748736.0,30.0,D6
cap,168,0.9393935517987675,4,329,10,98304,5,31,148,477.0,37748736.0,30.0,D6
cap,168,0.9393935517987675,4,329,10,196608,5,31,148,477.0,37748736.0,30.0,D6
cap,168,0.9393935517987675,4,329,10,262144,5,31,148,477.0,37748736.0,30.0,D6
cap,168,0.9393935517987675,4,329,10,294912,5,31,148,477.0,37748736.0,30.0,D6
cap,140,0.8989439720264926,2,355,10,393216,5,28,201,556.0,31457280.0,25.0,D6
cap,140,0.8989439720264926,2,355,10,491520,5,28,201,556.0,31457280.0,25.0,D6
cap,4,0.781064895105358,1,302,10,589824,4,27,141,443.0,25165824.0,20.0,D6
cap,4,0.781064895105358,1,302,10,688128,4,27,141,443.0,25165824.0,20.0,D6
cap,4,0.781064895105358,1,302,10,786432,4,27,141,443.0,25165824.0,20.0,D6
cap,102,0.6184880301817888,1,227,10,884736,2,3,15,242.0,31457280.0,25.0,D6
cap,102,0.6184880301817888,1,227,10,983040,2,3,15,242.0,31457280.0,25.0,D6
cap,88,0.9647902761780177,3,290,20,65536,5,31,165,455.0,37748736.0,30.0,D6
cap,88,0.9647902761780177,3,290,20,98304,5,31,165,455.0,37748736.0,30.0,D6
cap,88,0.9647902761780177,3,290,20,196608,5,31,165,455.0,37748736.0,30.0,D6
cap,88,0.9647902761780177,3,290,20,262144,5,31,165,455.0,37748736.0,30.0,D6
cap,88,0.9647902761780177,3,290,20,294912,5,31,165,455.0,37748736.0,30.0,D6
cap,88,0.9647902761780177,3,290,20,393216,5,31,165,455.0,37748736.0,30.0,D6
cap,350,0.9046178573301219,2,488,20,491520,3,32,166,654.0,31457280.0,25.0,D6
cap,62,0.7241361325632221,1,2329,20,589824,2,5,38,2367.0,25165824.0,20.0,D6
cap,62,0.7241361325632221,1,2329,20,688128,2,5,38,2367.0,25165824.0,20.0,D6
cap,62,0.7241361325632221,1,2329,20,786432,2,5,38,2367.0,25165824.0,20.0,D6
cap,59,0.7078943161332488,1,725,20,884736,2,3,15,740.0,31457280.0,25.0,D6
cap,59,0.7078943161332488,1,725,20,983040,2,3,15,740.0,31457280.0,25.0,D6
cap,494,0.9479021369969679,4,267,30,65536,5,29,158,425.0,37748736.0,30.0,D6
cap,494,0.9479021369969679,4,267,30,98304,5,29,158,425.0,37748736.0,30.0,D6
cap,494,0.9479021369969679,4,267,30,196608,5,29,158,425.0,37748736.0,30.0,D6
cap,494,0.9479021369969679,4,267,30,262144,5,29,158,425.0,37748736.0,30.0,D6
cap,494,0.9479021369969679,4,267,30,294912,5,29,158,425.0,37748736.0,30.0,D6
cap,144,0.8870166431504458,2,482,30,393216,5,27,159,641.0,31457280.0,25.0,D6
cap,144,0.8870166431504458,2,482,30,491520,5,27,159,641.0,31457280.0,25.0,D6
cap,132,0.7249136095429902,1,3881,30,589824,2,5,38,3919.0,25165824.0,20.0,D6
cap,132,0.7249136095429902,1,3881,30,688128,2,5,38,3919.0,25165824.0,20.0,D6
cap,132,0.7249136095429902,1,3881,30,786432,2,5,38,3919.0,25165824.0,20.0,D6
cap,47,0.6439257725846385,1,891,30,884736,2,3,22,913.0,31457280.0,25.0,D6
cap,47,0.6439257725846385,1,891,30,983040,2,3,22,913.0,31457280.0,25.0,D6
