name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,16,0.7583533396644279,1,1144,19,65536,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,98304,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,196608,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,262144,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,294912,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,393216,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,491520,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,589824,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,688128,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,786432,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,884736,2,2,17,1161.0,31457280.0,25.0,D2
cap,16,0.7583533396644279,1,1144,19,983040,2,2,17,1161.0,31457280.0,25.0,D2
cap,430,0.8280224921237158,2,12994,36,65536,3,39,1963,14957.0,25165824.0,20.0,D2
cap,430,0.8280224921237158,2,12994,36,98304,3,39,1963,14957.0,25165824.0,20.0,D2
cap,430,0.8280224921237158,2,12994,36,196608,3,39,1963,14957.0,25165824.0,20.0,D2
cap,430,0.8280224921237158,2,12994,36,262144,3,39,1963,14957.0,25165824.0,20.0,D2
cap,430,0.8280224921237158,2,12994,36,294912,3,39,1963,14957.0,25165824.0,20.0,D2
cap,430,0.8280224921237158,2,12994,36,393216,3,39,1963,14957.0,25165824.0,20.0,D2
cap,411,0.8273497387192682,2,9933,24,491520,3,40,2032,11965.0,37748736.0,30.0,D2
cap,411,0.8273497387192682,2,9933,24,589824,3,40,2032,11965.0,37748736.0,30.0,D2
cap,0,0.73,2,0,13,688128,1,2,424,424.0,62914560.0,50.0,D2
cap,0,0.73,2,0,13,786432,1,2,424,424.0,62914560.0,50.0,D2
cap,0,0.73,2,0,13,884736,1,2,424,424.0,62914560.0,50.0,D2
cap,0,0.73,2,0,13,983040,1,2,424,424.0,62914560.0,50.0,D2
cap,38,0.8479181137725682,3,11955,34,65536,3,43,2538,14493.0,37748736.0,30.0,D2
cap,38,0.8479181137725682,3,11955,34,98304,3,43,2538,14493.0,37748736.0,30.0,D2
cap,38,0.8479181137725682,3,11955,34,196608,3,43,2538,14493.0,37748736.0,30.0,D2
cap,38,0.8479181137725682,3,11955,34,262144,3,43,2538,14493.0,37748736.0,30.0,D2
cap,38,0.8479181137725682,3,11955,34,294912,3,43,2538,14493.0,37748736.0,30.0,D2
cap,38,0.8479181137725682,3,11955,34,393216,3,43,2538,14493.0,37748736.0,30.0,D2
cap,300,0.7983391706444546,3,2948,50,491520,3,3,130,3078.0,47185920.0,37.5,D2
cap,447,0.7748064715879943,3,6143,19,589824,2,10,153,6296.0,56623104.0,45.0,D2
