name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,419,0.5806873231367139,1,2030,12,65536,4,39,902,2932.0,25165824.0,20.0,D3
cap,419,0.5806873231367139,1,2030,12,98304,4,39,902,2932.0,25165824.0,20.0,D3
cap,419,0.5806873231367139,1,2030,12,196608,4,39,902,2932.0,25165824.0,20.0,D3
cap,419,0.5806873231367139,1,2030,12,262144,4,39,902,2932.0,25165824.0,20.0,D3
cap,419,0.5806873231367139,1,2030,12,294912,4,39,902,2932.0,25165824.0,20.0,D3
cap,419,0.5806873231367139,1,2030,12,393216,4,39,902,2932.0,25165824.0,20.0,D3
cap,419,0.5806873231367139,1,2030,12,491520,4,39,902,2932.0,25165824.0,20.0,D3
cap,419,0.5806873231367139,1,2030,12,589824,4,39,902,2932.0,25165824.0,20.0,D3
cap,419,0.5806873231367139,1,2030,12,688128,4,39,902,2932.0,25165824.0,20.0,D3
cap,419,0.5806873231367139,1,2030,12,786432,4,39,902,2932.0,25165824.0,20.0,D3
cap,109,0.1689711602707316,1,28,8,884736,2,2,8,36.0,31457280.0,25.0,D3
cap,109,0.1689711602707316,1,28,8,983040,2,2,8,36.0,31457280.0,25.0,D3
cap,472,0.7322278767809615,2,2323,13,65536,4,41,901,3224.0,31457280.0,25.0,D3
cap,472,0.7322278767809615,2,2323,13,98304,4,41,901,3224.0,31457280.0,25.0,D3
cap,472,0.7322278767809615,2,2323,13,196608,4,41,901,3224.0,31457280.0,25.0,D3
cap,472,0.7322278767809615,2,2323,13,262144,4,41,901,3224.0,31457280.0,25.0,D3
cap,472,0.7322278767809615,2,2323,13,294912,4,41,901,3224.0,31457280.0,25.0,D3
cap,472,0.7322278767809615,2,2323,13,393216,4,41,901,3224.0,31457280.0,25.0,D3
cap,472,0.7322278767809615,2,2323,13,491520,4,41,901,3224.0,31457280.0,25.0,D3
cap,0,0.57,2,0,15,589824,1,2,291,291.0,62914560.0,50.0,D3
cap,0,0.57,2,0,15,688128,1,2,291,291.0,62914560.0,50.0,D3
cap,0,0.57,2,0,15,786432,1,2,291,291.0,62914560.0,50.0,D3
cap,0,0.57,2,0,15,884736,1,2,291,291.0,62914560.0,50.0,D3
cap,0,0.57,2,0,15,983040,1,2,291,291.0,62914560.0,50.0,D3
cap,16,0.8143703287722484,3,2500,19,65536,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,98304,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,196608,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,262144,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,294912,3,38,641,3141.0,37748736.0,30.0,D3
cap,16,0.8143703287722484,3,2500,19,393216,3,38,641,3141.0,37748736.0,30.0,D3
cap,0,0.72,3,0,14,491520,1,3,2294,2294.0,47185920.0,37.5,D3
