name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc,dataset
cap,0,0.97,7,0,8,65536,1,7,42,42.0,88080384.0,70.0,D7
cap,0,0.97,7,0,8,98304,1,7,42,42.0,88080384.0,70.0,D7
cap,0,0.97,7,0,8,196608,1,7,42,42.0,88080384.0,70.0,D7
cap,0,0.97,7,0,8,262144,1,7,42,42.0,88080384.0,70.0,D7
cap,0,0.97,7,0,8,294912,1,7,42,42.0,88080384.0,70.0,D7
cap,0,0.97,7,0,8,393216,1,7,42,42.0,88080384.0,70.0,D7
cap,0,0.97,4,0,7,491520,1,4,33,33.0,62914560.0,50.0,D7
cap,0,0.88,3,0,14,589824,1,3,29,29.0,75497472.0,60.0,D7
cap,0,0.88,3,0,14,688128,1,3,29,29.0,75497472.0,60.0,D7
cap,0,0.88,3,0,14,786432,1,3,29,29.0,75497472.0,60.0,D7
cap,0,0.85,2,0,5,884736,1,2,20,20.0,62914560.0,50.0,D7
cap,0,0.85,2,0,5,983040,1,2,20,20.0,62914560.0,50.0,D7
cap,27,0.9565483699641495,4,18,31,65536,3,4,18,36.0,37748736.0,30.0,D7
cap,27,0.9565483699641495,4,18,31,98304,3,4,18,36.0,37748736.0,30.0,D7
cap,27,0.9565483699641495,4,18,31,196608,3,4,18,36.0,37748736.0,30.0,D7
cap,27,0.9565483699641495,4,18,31,262144,3,4,18,36.0,37748736.0,30.0,D7
cap,27,0.9565483699641495,4,18,31,294912,3,4,18,36.0,37748736.0,30.0,D7
cap,25,0.9530522781411334,3,124,17,393216,3,16,51,175.0,37748736.0,30.0,D7
cap,262,0.9504590390925001,2,68,39,491520,3,8,23,91.0,31457280.0,25.0,D7
cap,108,0.650962164581302,1,80,7,589824,3,12,39,119.0,25165824.0,20.0,D7
cap,108,0.650962164581302,1,80,7,688128,3,12,39,119.0,25165824.0,20.0,D7
cap,108,0.650962164581302,1,80,7,786432,3,12,39,119.0,25165824.0,20.0,D7
cap,0,1.0,4,147,17,65536,5,19,62,209.0,37748736.0,30.0,D7
cap,0,1.0,4,147,17,98304,5,19,62,209.0,37748736.0,30.0,D7
cap,0,1.0,4,147,17,196608,5,19,62,209.0,37748736.0,30.0,D7
cap,0,1.0,4,147,17,262144,5,19,62,209.0,37748736.0,30.0,D7
cap,0,1.0,4,147,17,294912,5,19,62,209.0,37748736.0,30.0,D7
cap,353,1.0,3,112,12,393216,5,19,60,172.0,37748736.0,30.0,D7
cap,0,0.9732089087968147,2,127,10,491520,5,16,62,189.0,31457280.0,25.0,D7
cap,136,0.7620627617197682,2,45,21,589824,5,7,31,76.0,50331648.0,40.0,D7
cap,136,0.7620627617197682,2,45,21,688128,5,7,31,76.0,50331648.0,40.0,D7
cap,136,0.7620627617197682,2,45,21,786432,5,7,31,76.0,50331648.0,40.0,D7
cap,25,0.6883767676721226,1,68,9,884736,5,9,44,112.0,31457280.0,25.0,D7
cap,25,0.6883767676721226,1,68,9,983040,5,9,44,112.0,31457280.0,25.0,D7
