max_depth,tcam_entries,name
3,298,netbeacon
4,319,netbeacon
5,446,netbeacon
6,646,netbeacon
7,948,netbeacon
8,1279,netbeacon
9,1966,netbeacon
10,2625,netbeacon
11,3699,netbeacon
12,4535,netbeacon
13,5691,netbeacon
14,7453,netbeacon
15,7910,netbeacon
16,8213,netbeacon
17,5052,netbeacon
18,4829,netbeacon
19,4961,netbeacon
20,4919,netbeacon
21,4945,netbeacon
22,4979,netbeacon
23,5030,netbeacon
24,5050,netbeacon
25,5012,netbeacon
26,5010,netbeacon
27,5056,netbeacon
28,5069,netbeacon
29,5072,netbeacon
30,5079,netbeacon
5,174,cap
6,175,cap
7,554,cap
8,566,cap
9,1350,cap
10,1219,cap
11,2420,cap
12,3020,cap
13,3272,cap
14,3539,cap
15,3484,cap
16,3193,cap
17,2980,cap
18,3357,cap
19,3054,cap
20,3360,cap
21,3389,cap
22,3943,cap
23,3401,cap
24,3402,cap
25,3026,cap
26,3368,cap
27,3802,cap
28,3374,cap
29,3320,cap
30,3320,cap
