max_depth,tcam_entries,name
3,177,netbeacon
4,250,netbeacon
5,449,netbeacon
6,582,netbeacon
7,888,netbeacon
8,1243,netbeacon
9,1848,netbeacon
10,2545,netbeacon
11,3277,netbeacon
12,3958,netbeacon
13,4620,netbeacon
14,5017,netbeacon
15,5757,netbeacon
16,5867,netbeacon
17,6086,netbeacon
18,6057,netbeacon
19,6139,netbeacon
20,6098,netbeacon
21,6134,netbeacon
22,6184,netbeacon
23,6173,netbeacon
24,6103,netbeacon
25,6136,netbeacon
26,6123,netbeacon
27,6152,netbeacon
28,6152,netbeacon
29,6163,netbeacon
30,6163,netbeacon
3,2,cap
4,64,cap
5,157,cap
6,166,cap
7,164,cap
8,233,cap
9,284,cap
10,1414,cap
11,1267,cap
12,1475,cap
13,1796,cap
14,1916,cap
15,1547,cap
16,2323,cap
17,3053,cap
18,2636,cap
19,3141,cap
20,2233,cap
21,2499,cap
22,2397,cap
23,1900,cap
24,2397,cap
25,2397,cap
26,3074,cap
27,2624,cap
28,2397,cap
29,2397,cap
30,2397,cap
