max_depth,tcam_entries,name
3,103,netbeacon
4,272,netbeacon
5,418,netbeacon
6,562,netbeacon
7,905,netbeacon
8,1426,netbeacon
9,1956,netbeacon
10,3054,netbeacon
11,4341,netbeacon
12,5812,netbeacon
13,8016,netbeacon
14,10245,netbeacon
15,10910,netbeacon
16,7675,netbeacon
17,4056,netbeacon
18,4055,netbeacon
19,4098,netbeacon
20,4099,netbeacon
21,4120,netbeacon
22,4106,netbeacon
23,4103,netbeacon
24,4058,netbeacon
25,4030,netbeacon
26,4053,netbeacon
27,4088,netbeacon
28,4084,netbeacon
29,4084,netbeacon
30,4084,netbeacon
4,103,cap
5,48,cap
6,119,cap
7,192,cap
8,383,cap
9,752,cap
10,1183,cap
11,1376,cap
12,446,cap
13,3721,cap
14,4257,cap
15,3458,cap
16,16797,cap
17,15316,cap
18,18325,cap
19,18035,cap
20,18640,cap
21,18621,cap
22,18250,cap
23,11477,cap
24,11475,cap
25,10952,cap
26,10829,cap
27,13419,cap
28,10816,cap
29,10888,cap
30,16536,cap
