name,tcam_entries,f1_score
netbeacon,424,0.51
netbeacon,505,0.51
netbeacon,1848,0.74
netbeacon,3776,0.78
leo,2048,0.59
leo,4096,0.66
leo,16384,0.74
leo,65536,0.78
leo,262144,0.8
leo,1048576,0.8
leo,4194304,0.8
cap,2,0.05911206106988064
cap,3,0.07072964629556598
cap,6,0.07308531312389889
cap,9,0.09608253057831484
cap,13,0.12552014304864303
cap,16,0.13804971279580994
cap,19,0.15647325532391868
cap,25,0.1671501570125185
cap,36,0.1689711602707316
cap,64,0.19698626678501702
cap,79,0.22183210399055903
cap,81,0.22938988654476836
cap,86,0.3158934648602537
cap,104,0.35856310269472813
cap,108,0.3779020346851784
cap,110,0.47034264179243573
cap,164,0.541975009378958
cap,233,0.6311057489866635
cap,284,0.6382897314364543
cap,417,0.6618618666626853
cap,760,0.6701522141048647
cap,818,0.6948037924790751
cap,1069,0.7467841584196362
cap,1079,0.8
cap,1392,0.803221045143244
cap,1464,0.811463611131474
cap,1547,0.82
cap,2323,0.820452849600296
cap,2397,0.8293060995869385
cap,3943,0.8293060995869385
cap,6013,0.8293060995869385
