name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
netbeacon,0,0.44,0,0,13,65536,0,6,3041,3041.0,37748736.0,30.0
netbeacon,0,0.44,0,0,13,98304,0,6,3041,3041.0,37748736.0,30.0
netbeacon,0,0.44,0,0,13,196608,0,6,3041,3041.0,37748736.0,30.0
netbeacon,0,0.44,0,0,13,262144,0,4,4106,4106.0,33554432.0,26.67
netbeacon,0,0.44,0,0,13,294912,0,5,4125,4125.0,47185920.0,37.5
netbeacon,0,0.43,0,0,7,393216,0,6,948,948.0,75497472.0,60.0
netbeacon,0,0.43,0,0,15,491520,0,3,4071,4071.0,47185920.0,37.5
netbeacon,0,0.41,0,0,10,589824,0,3,4793,4793.0,56623104.0,45.0
netbeacon,0,0.4,0,0,13,688128,0,2,4695,4695.0,50331648.0,40.0
netbeacon,0,0.4,0,0,13,786432,0,2,4695,4695.0,50331648.0,40.0
netbeacon,0,0.18,0,0,3,884736,0,2,86,86.0,62914560.0,50.0
netbeacon,0,0.18,0,0,3,983040,0,2,86,86.0,62914560.0,50.0
leo,0,0.52,0,0,11,65536,0,7,16384,16384.0,14680064.0,11.67
leo,0,0.51,0,0,11,98304,0,5,16384,16384.0,31457280.0,25.0
leo,0,0.51,0,0,11,196608,0,5,16384,16384.0,31457280.0,25.0
leo,0,0.49,0,0,10,262144,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.49,0,0,10,294912,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.49,0,0,10,393216,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.44,0,0,5,491520,0,4,2048,2048.0,75497472.0,60.0
leo,0,0.44,0,0,5,589824,0,4,2048,2048.0,75497472.0,60.0
leo,0,0.43,0,0,10,688128,0,2,8192,8192.0,44040192.0,35.0
leo,0,0.43,0,0,8,786432,0,2,2048,2048.0,50331648.0,40.0
leo,0,0.43,0,0,5,884736,0,2,2048,2048.0,56623104.0,45.0
leo,0,0.23,0,0,3,983040,0,2,2048,2048.0,62914560.0,50.0
cap,216,0.5816115163460093,4,2818,27,65536,3,41,984,3802.0,37748736.0,30.0
cap,216,0.5816115163460093,4,2818,27,98304,3,41,984,3802.0,37748736.0,30.0
cap,216,0.5816115163460093,4,2818,27,196608,3,41,984,3802.0,37748736.0,30.0
cap,216,0.5816115163460093,4,2818,27,262144,3,41,984,3802.0,37748736.0,30.0
cap,216,0.5816115163460093,4,2818,27,294912,3,41,984,3802.0,37748736.0,30.0
cap,195,0.5797861798711867,3,2537,24,393216,3,40,865,3402.0,37748736.0,30.0
cap,347,0.5593318841471695,2,3008,28,491520,3,39,859,3867.0,31457280.0,25.0
cap,0,0.48,2,0,15,589824,1,2,7813,7813.0,56623104.0,45.0
cap,0,0.48,2,0,15,688128,1,2,7813,7813.0,56623104.0,45.0
cap,0,0.48,2,0,15,786432,1,2,7813,7813.0,56623104.0,45.0
cap,0,0.48,2,0,15,884736,1,2,7813,7813.0,56623104.0,45.0
cap,0,0.46,2,0,13,983040,1,2,4874,4874.0,62914560.0,50.0
