name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
netbeacon,0,0.8,0,0,13,65536,0,6,3740,3740.0,37748736.0,30.0
netbeacon,0,0.8,0,0,13,98304,0,6,3740,3740.0,37748736.0,30.0
netbeacon,0,0.8,0,0,13,196608,0,6,3740,3740.0,37748736.0,30.0
netbeacon,0,0.8,0,0,13,262144,0,4,4058,4058.0,33554432.0,26.67
netbeacon,0,0.8,0,0,13,294912,0,5,3917,3917.0,47185920.0,37.5
netbeacon,0,0.8,0,0,15,393216,0,2,5028,5028.0,50331648.0,40.0
netbeacon,0,0.8,0,0,15,491520,0,2,5028,5028.0,50331648.0,40.0
netbeacon,0,0.8,0,0,15,589824,0,2,5028,5028.0,50331648.0,40.0
netbeacon,0,0.8,0,0,15,688128,0,2,5028,5028.0,50331648.0,40.0
netbeacon,0,0.8,0,0,15,786432,0,2,5028,5028.0,50331648.0,40.0
netbeacon,0,0.75,0,0,15,884736,0,1,2097,2097.0,31457280.0,25.0
netbeacon,0,0.75,0,0,15,983040,0,1,2097,2097.0,31457280.0,25.0
leo,0,0.79,0,0,11,65536,0,7,16384,16384.0,14680064.0,11.67
leo,0,0.79,0,0,10,98304,0,6,8192,8192.0,37748736.0,30.0
leo,0,0.79,0,0,10,196608,0,6,8192,8192.0,37748736.0,30.0
leo,0,0.79,0,0,10,262144,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.79,0,0,10,294912,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.79,0,0,10,393216,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.74,0,0,6,491520,0,4,2048,2048.0,75497472.0,60.0
leo,0,0.74,0,0,6,589824,0,4,2048,2048.0,75497472.0,60.0
leo,0,0.72,0,0,10,688128,0,2,8192,8192.0,44040192.0,35.0
leo,0,0.71,0,0,8,786432,0,2,2048,2048.0,50331648.0,40.0
leo,0,0.69,0,0,6,884736,0,2,2048,2048.0,56623104.0,45.0
leo,0,0.63,0,0,3,983040,0,2,2048,2048.0,62914560.0,50.0
cap,4,0.8637639777828057,4,9197,28,65536,2,43,1436,10633.0,25165824.0,20.0
cap,4,0.8637639777828057,4,9197,28,98304,2,43,1436,10633.0,25165824.0,20.0
cap,4,0.8637639777828057,4,9197,28,196608,2,43,1436,10633.0,25165824.0,20.0
cap,226,0.8590935213210482,4,8336,23,262144,2,40,1017,9353.0,50331648.0,40.0
cap,226,0.8590935213210482,4,8336,23,294912,2,40,1017,9353.0,50331648.0,40.0
cap,226,0.8590935213210482,4,8336,23,393216,2,40,1017,9353.0,50331648.0,40.0
cap,411,0.8273497387192682,2,9933,24,491520,3,40,2032,11965.0,37748736.0,30.0
cap,411,0.8273497387192682,2,9933,24,589824,3,40,2032,11965.0,37748736.0,30.0
cap,0,0.8,0,0,15,688128,0,2,5028,5028.0,50331648.0,40.0
cap,0,0.8,0,0,15,786432,0,2,5028,5028.0,50331648.0,40.0
cap,16,0.7583533396644279,1,1144,19,884736,2,2,17,1161.0,31457280.0,25.0
cap,16,0.7583533396644279,1,1144,19,983040,2,2,17,1161.0,31457280.0,25.0
