name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
netbeacon,0,0.65,0,0,15,65536,0,6,2462,2462.0,37748736.0,30.0
netbeacon,0,0.65,0,0,15,98304,0,6,2462,2462.0,37748736.0,30.0
netbeacon,0,0.65,0,0,15,196608,0,6,2462,2462.0,37748736.0,30.0
netbeacon,0,0.64,0,0,15,262144,0,5,2482,2482.0,47185920.0,37.5
netbeacon,0,0.64,0,0,15,294912,0,5,2482,2482.0,47185920.0,37.5
netbeacon,0,0.64,0,0,13,393216,0,6,2369,2369.0,75497472.0,60.0
netbeacon,0,0.46,0,0,15,491520,0,3,1508,1508.0,75497472.0,60.0
netbeacon,0,0.46,0,0,15,589824,0,3,1508,1508.0,75497472.0,60.0
netbeacon,0,0.46,0,0,15,688128,0,3,1508,1508.0,75497472.0,60.0
netbeacon,0,0.46,0,0,15,786432,0,3,1508,1508.0,75497472.0,60.0
netbeacon,0,0.27,0,0,13,884736,0,2,1289,1289.0,62914560.0,50.0
netbeacon,0,0.27,0,0,13,983040,0,2,1289,1289.0,62914560.0,50.0
leo,0,0.64,0,0,11,65536,0,7,16384,16384.0,14680064.0,11.67
leo,0,0.62,0,0,10,98304,0,7,8192,8192.0,44040192.0,35.0
leo,0,0.62,0,0,10,196608,0,7,8192,8192.0,44040192.0,35.0
leo,0,0.61,0,0,11,262144,0,4,16384,16384.0,37748736.0,30.0
leo,0,0.61,0,0,11,294912,0,4,16384,16384.0,37748736.0,30.0
leo,0,0.59,0,0,10,393216,0,5,8192,8192.0,62914560.0,50.0
leo,0,0.5,0,0,10,491520,0,2,8192,8192.0,44040192.0,35.0
leo,0,0.5,0,0,10,589824,0,2,8192,8192.0,44040192.0,35.0
leo,0,0.5,0,0,10,688128,0,2,8192,8192.0,44040192.0,35.0
leo,0,0.48,0,0,9,786432,0,2,4096,4096.0,50331648.0,40.0
leo,0,0.16,0,0,3,884736,0,2,2048,2048.0,62914560.0,50.0
leo,0,0.16,0,0,3,983040,0,2,2048,2048.0,62914560.0,50.0
cap,0,0.74,7,0,15,65536,1,7,3458,3458.0,44040192.0,35.0
cap,0,0.74,7,0,15,98304,1,7,3458,3458.0,44040192.0,35.0
cap,0,0.74,7,0,15,196608,1,7,3458,3458.0,44040192.0,35.0
cap,0,0.68,5,0,15,262144,1,5,4094,4094.0,47185920.0,37.5
cap,0,0.68,5,0,15,294912,1,5,4094,4094.0,47185920.0,37.5
cap,455,0.6695204713387596,3,8336,29,393216,2,41,2396,10732.0,37748736.0,30.0
cap,0,0.63,3,0,15,491520,1,3,6089,6089.0,56623104.0,45.0
cap,0,0.63,3,0,15,589824,1,3,6089,6089.0,56623104.0,45.0
cap,0,0.57,2,0,13,688128,1,2,4745,4745.0,50331648.0,40.0
cap,0,0.57,2,0,13,786432,1,2,4745,4745.0,50331648.0,40.0
cap,0,0.52,2,0,12,884736,1,2,446,446.0,62914560.0,50.0
cap,0,0.52,2,0,12,983040,1,2,446,446.0,62914560.0,50.0
