name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
leo,0,0.24,0,0,3,1966080,0,1,2048,2048,62914560,50.0
leo,0,0.22,0,0,3,983040,0,2,2048,2048,62914560,50.0
leo,0,0.54,0,0,8,786432,0,2,2048,2048,50331648,40.0
leo,0,0.69,0,0,8,491520,0,3,2048,2048,47185920,37.5
leo,0,0.86,0,0,9,393216,0,4,4096,4096,50331648,40.0
leo,0,0.87,0,0,11,294912,0,4,16384,16384,37748736,30.0
leo,0,0.41,0,0,5,1769472,0,1,2048,2048,56623104,45.0
leo,0,0.52,0,0,6,884736,0,2,2048,2048,56623104,45.0
leo,0,0.7,0,0,10,589824,0,3,8192,8192,56623104,45.0
leo,0,0.87,0,0,10,262144,0,4,8192,8192,33554432,26.67
leo,0,0.37,0,0,8,1572864,0,1,2048,2048,50331648,40.0
leo,0,0.87,0,0,10,196608,0,6,8192,8192,37748736,30.0
leo,0,0.35,0,0,10,1376256,0,1,8192,8192,44040192,35.0
leo,0,0.55,0,0,10,688128,0,2,8192,8192,44040192,35.0
leo,0,0.35,0,0,11,1179648,0,1,16384,16384,37748736,30.0
leo,0,0.87,0,0,11,65536,0,7,16384,16384,14680064,11.67
netbeacon,0,0.57,0,0,5,1966080,0,1,205,205,62914560,50.0
netbeacon,0,0.57,0,0,7,983040,0,2,407,407,62914560,50.0
netbeacon,0,0.6,0,0,5,786432,0,3,251,251,75497472,60.0
netbeacon,0,0.57,0,0,13,491520,0,4,985,985,62914560,50.0
netbeacon,0,0.58,0,0,10,393216,0,5,839,839,62914560,50.0
netbeacon,0,0.58,0,0,10,294912,0,6,878,878,56623104,45.0
iisy,0,0.55,0,0,13,2000000,0,4,0,0,0,0.0
cap,0,0.9533193931771287,3,451,12,393216,5,34,239,690,37748736,30.0
cap,1,0.7838872642317123,4,421,16,294912,3,23,145,566,37748736,30.0
cap,2,0.934937024097837,3,306,12,393216,4,29,181,487,37748736,30.0
cap,3,0.6996721613689887,2,438,10,491520,4,30,252,690,31457280,25.0
cap,4,0.9313791494147093,4,472,12,294912,5,34,188,660,37748736,30.0
cap,5,0.9532995922856635,3,294,26,393216,5,32,151,445,37748736,30.0
cap,6,0.9611148588791394,3,260,50,393216,5,28,135,395,37748736,30.0
cap,7,0.8430475924001699,3,262,29,393216,4,26,135,397,37748736,30.0
cap,8,0.9461117095924271,4,389,25,294912,5,30,156,545,37748736,30.0
cap,9,0.8761687985737859,3,590,15,393216,5,35,270,860,37748736,30.0
cap,10,0.8728210768207271,3,474,10,393216,5,34,254,728,37748736,30.0
cap,11,0.8927049158913368,2,675,16,491520,5,33,307,982,31457280,25.0
cap,12,0.8369313637724325,4,363,12,294912,4,32,190,553,37748736,30.0
cap,13,0.8867819221906761,3,254,27,393216,5,23,113,367,37748736,30.0
cap,14,0.8207850274987584,4,329,28,294912,4,28,169,498,37748736,30.0
cap,15,0.9253473709234841,4,566,20,294912,5,32,243,809,37748736,30.0
cap,16,0.8884682491661108,3,625,17,393216,5,36,302,927,37748736,30.0
