name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
leo,0,0.21,0,0,3,1966080,0,1,2048,2048,62914560,50.0
leo,0,0.23,0,0,3,983040,0,2,2048,2048,62914560,50.0
leo,0,0.23,0,0,3,491520,0,4,2048,2048,62914560,50.0
leo,0,0.49,0,0,10,393216,0,5,8192,8192,62914560,50.0
leo,0,0.48,0,0,6,294912,0,6,2048,2048,56623104,45.0
leo,0,0.2,0,0,4,1769472,0,1,2048,2048,56623104,45.0
leo,0,0.43,0,0,5,884736,0,2,2048,2048,56623104,45.0
leo,0,0.44,0,0,5,589824,0,4,2048,2048,75497472,60.0
leo,0,0.47,0,0,10,262144,0,4,8192,8192,33554432,26.67
leo,0,0.2,0,0,9,1572864,0,1,4096,4096,50331648,40.0
leo,0,0.43,0,0,8,786432,0,2,2048,2048,50331648,40.0
leo,0,0.51,0,0,11,196608,0,5,16384,16384,31457280,25.0
leo,0,0.2,0,0,10,1376256,0,1,8192,8192,44040192,35.0
leo,0,0.43,0,0,10,688128,0,2,8192,8192,44040192,35.0
leo,0,0.21,0,0,11,1179648,0,1,16384,16384,37748736,30.0
leo,0,0.52,0,0,11,65536,0,7,16384,16384,14680064,11.67
netbeacon,0,0.13,0,0,7,1966080,0,1,111,111,62914560,50.0
netbeacon,0,0.18,0,0,3,983040,0,2,86,86,62914560,50.0
netbeacon,0,0.43,0,0,15,491520,0,3,4071,4071,47185920,37.5
netbeacon,0,0.43,0,0,7,393216,0,6,948,948,75497472,60.0
netbeacon,0,0.44,0,0,13,294912,0,5,4125,4125,47185920,37.5
netbeacon,0,0.4,0,0,13,786432,0,2,4695,4695,50331648,40.0
netbeacon,0,0.41,0,0,10,589824,0,3,4793,4793,56623104,45.0
netbeacon,0,0.44,0,0,13,262144,0,4,4106,4106,33554432,26.67
netbeacon,0,0.44,0,0,13,196608,0,6,3041,3041,37748736,30.0
iisy,0,0.43,0,0,12,2000000,0,5,0,0,0,0.0
cap,0,0.32986127244479296,2,2165,30,491520,7,37,773,2938,31457280,25.0
cap,0,0.4087232201348457,2,4459,21,491520,5,40,1084,5543,31457280,25.0
cap,0,0.256151855157119,2,2883,23,491520,7,38,1065,3948,31457280,25.0
cap,0,0.348803050398993,2,1180,11,491520,4,33,351,1531,31457280,25.0
cap,0,0.3986524320742366,2,2450,48,491520,6,40,803,3253,31457280,25.0
cap,0,0.42182383454761774,4,4106,44,294912,4,31,992,5098,37748736,30.0
cap,0,0.3451693945221649,3,2859,20,262144,6,39,1027,3886,25165824,20.0
cap,0,0.29600843682231803,3,2605,16,393216,7,39,1013,3618,37748736,30.0
cap,0,0.37758087542291796,2,2605,14,491520,5,41,1025,3630,31457280,25.0
cap,0,0.3470613465321083,3,3145,23,262144,6,40,1150,4295,25165824,20.0
cap,0,0.400169168423702,3,2400,41,393216,6,39,740,3140,37748736,30.0
cap,0,0.3337978178377663,3,2016,40,393216,6,30,240,2256,37748736,30.0
cap,0,0.4986595456150612,3,3232,17,262144,5,44,1239,4471,25165824,20.0
cap,0,0.3316426179240583,2,4601,48,491520,6,33,1039,5640,31457280,25.0
cap,0,0.35112545983791404,3,2907,16,262144,6,40,1054,3961,25165824,20.0
cap,0,0.3513787237516241,4,2443,49,294912,7,38,791,3234,37748736,30.0
cap,0,0.38428176145444337,4,1657,48,294912,7,34,525,2182,37748736,30.0
cap,0,0.33434056129562906,4,3415,15,393216,6,40,1188,4603,50331648,40.0
cap,0,0.362825329155134,2,2739,17,491520,7,35,982,3721,31457280,25.0
cap,0,0.34294887166359944,3,3099,14,393216,6,42,1023,4122,37748736,30.0
cap,0,0.3907952565401483,2,2362,29,491520,6,41,911,3273,31457280,25.0
cap,0,0.34150736179480445,4,3034,29,294912,6,40,1089,4123,37748736,30.0
cap,0,0.4224171892104584,2,4164,27,491520,5,38,1157,5321,31457280,25.0
cap,0,0.3656278975269506,4,2978,30,294912,6,40,1071,4049,37748736,30.0
cap,0,0.36589203162369954,3,1905,45,393216,6,39,573,2478,37748736,30.0
cap,0,0.4593307479906649,2,5124,28,491520,5,41,1541,6665,31457280,25.0
cap,0,0.37340590414818753,3,4822,38,262144,4,34,953,5775,25165824,20.0
cap,0,0.3842133719083278,3,2600,38,393216,6,40,841,3441,37748736,30.0
cap,0,0.41517230668366834,2,2353,15,491520,5,38,771,3124,31457280,25.0
cap,0,0.5000186545729015,4,3391,35,393216,4,39,1202,4593,50331648,40.0
