name,iterations,f1_score,feature_limit,feature_table_entries,max_depth,num_flows,num_partitions,total_features,tree_table_entries,tcam_entries,memory_bits,memory_perc
leo,0,0.61,0,0,3,1966080,0,1,2048,2048,62914560,50.0
leo,0,0.63,0,0,3,983040,0,2,2048,2048,62914560,50.0
leo,0,0.71,0,0,8,786432,0,2,2048,2048,50331648,40.0
leo,0,0.73,0,0,8,491520,0,3,2048,2048,47185920,37.5
leo,0,0.79,0,0,10,393216,0,5,8192,8192,62914560,50.0
leo,0,0.78,0,0,9,294912,0,5,4096,4096,47185920,37.5
leo,0,0.67,0,0,6,1769472,0,1,2048,2048,56623104,45.0
leo,0,0.69,0,0,6,884736,0,2,2048,2048,56623104,45.0
leo,0,0.74,0,0,6,589824,0,4,2048,2048,75497472,60.0
leo,0,0.78,0,0,10,262144,0,4,8192,8192,33554432,26.67
leo,0,0.69,0,0,9,1572864,0,1,4096,4096,50331648,40.0
leo,0,0.79,0,0,10,196608,0,6,8192,8192,37748736,30.0
leo,0,0.69,0,0,10,1376256,0,1,8192,8192,44040192,35.0
leo,0,0.72,0,0,10,688128,0,2,8192,8192,44040192,35.0
leo,0,0.7,0,0,11,1179648,0,1,16384,16384,37748736,30.0
leo,0,0.79,0,0,11,65536,0,7,16384,16384,14680064,11.67
netbeacon,0,0.75,0,0,15,1966080,0,1,2097,2097,62914560,50.0
netbeacon,0,0.75,0,0,15,983040,0,1,2097,2097,31457280,25.0
netbeacon,0,0.8,0,0,15,786432,0,2,5028,5028,50331648,40.0
netbeacon,0,0.77,0,0,9,491520,0,3,3477,3477,47185920,37.5
netbeacon,0,0.78,0,0,9,393216,0,4,3089,3089,50331648,40.0
netbeacon,0,0.8,0,0,13,294912,0,5,3917,3917,47185920,37.5
netbeacon,0,0.8,0,0,13,196608,0,6,3740,3740,37748736,30.0
netbeacon,0,0.79,0,0,13,589824,0,3,4948,4948,56623104,45.0
netbeacon,0,0.8,0,0,13,262144,0,4,4058,4058,33554432,26.67
iisy,0,0.62,0,0,13,2000000,0,4,0,0,0,0.0
cap,0,0.7617589440654909,2,5512,16,491520,5,44,2329,7841,31457280,25.0
cap,0,0.8289887960921084,4,19732,39,0,5,43,6217,25949,0,0.0
cap,0,0.6017387082264356,4,2385,11,294912,6,43,943,3328,37748736,30.0
cap,0,0.7408030464923391,3,15704,41,65536,6,42,4475,20179,6291456,5.0
cap,0,0.7743667100191673,2,11591,22,393216,4,42,3420,15011,25165824,20.0
cap,0,0.6885051657971968,4,14265,44,196608,7,43,4805,19070,25165824,20.0
cap,0,0.700276398089861,2,17238,24,262144,6,44,6101,23339,16777216,13.33
cap,0,0.6446579683738427,3,7231,18,393216,6,44,2993,10224,37748736,30.0
cap,0,0.712599488344925,3,17072,34,196608,6,44,5608,22680,18874368,15.0
cap,0,0.6728464593109871,3,13303,39,196608,7,43,4049,17352,18874368,15.0
cap,0,0.8229558149262228,3,16058,24,98304,5,43,5579,21637,9437184,7.5
cap,0,0.5598174928226354,2,12048,45,393216,7,42,3269,15317,25165824,20.0
cap,0,0.7427406519158243,3,5290,14,294912,5,44,2118,7408,28311552,22.5
cap,0,0.696074769759756,2,4574,15,491520,6,42,1944,6518,31457280,25.0
