flow size,count
10,226059
11,67317
12,52087
13,43603
14,108909
15,40223
16,63899
17,25590
18,44855
19,10863
20,10083
21,154718
22,451531
23,10782
24,20797
25,29209
26,20690
27,1393
28,793
29,3073
30,51587
31,12498
32,69404
33,129331
34,70194
35,192635
36,306
37,256
38,245
39,239
40,230
41,738
42,718
43,92
44,81
45,70
46,67
47,66
48,162
49,221
50,344
51,441
52,485
53,431
54,410
55,452
56,2356
57,792
58,1237
59,349
60,285
61,235
62,146
63,81
64,73
65,65
66,54
67,46
68,959
69,125
70,478
71,41
72,57
73,38
74,51
75,34
76,27
77,19
78,23
79,15
80,20
81,15
82,22
83,14
84,18
85,13
86,20
87,20
88,891
89,81
90,503
91,24
92,23
93,2
94,6
95,10
96,5
97,7
98,13
99,11
100,12
101,17
102,22
103,19
104,29
105,40
106,38
107,46
108,45
109,49
110,47
111,52
112,45
113,40
114,46
115,36
116,29
117,34
118,40
119,30
120,42
121,46
122,67
123,37
124,36
125,32
126,27
127,18
128,25
129,22
130,12
131,8
132,16
133,8
134,10
135,5
136,5
137,8
138,3
139,6
140,2
141,2
142,5
143,3
144,4
145,5
146,6
147,4
148,5
149,5
150,6
151,3
152,5
153,6
154,3
155,2
156,6
157,3
158,6
159,6
160,7
161,1
162,4
163,4
164,3
165,3
166,2
167,5
168,3
169,3
170,1
171,2
172,7
173,2
174,3
175,2
176,4
178,3
179,4
180,1
181,1
182,5
183,4
184,3
185,1
187,6
188,3
189,6
190,1
191,6
192,9
193,2
194,2
195,4
196,7
197,3
198,5
199,3
201,4
202,3
203,5
204,5
205,2
206,3
207,3
208,2
209,2
210,5
211,3
212,5
213,2
214,3
215,5
217,3
218,2
219,2
220,4
221,1
222,2
223,1
224,3
225,2
226,1
227,1
228,1
229,1
230,1
232,6
233,1
234,1
235,2
238,1
239,1
240,1
241,10
242,5
243,20
244,2650
245,120
246,1578
247,32
248,67
250,35
251,2
252,5
254,1
255,2
256,1
260,1
261,1
268,1
269,1
270,2
271,1
273,1
274,11
275,2
276,2
277,2
281,2
282,2
283,2
284,1
285,2
288,2
289,1
291,4
294,1
299,1
302,2
303,1
306,2
311,3
312,2
315,1
319,2
320,2
322,3
323,1
325,2
326,2
327,1
328,1
333,1
334,1
338,1
339,1
342,1
343,1
346,2
352,1
355,2
358,1
362,2
368,2
370,1
371,1
372,2
374,1
376,1
380,1
383,1
387,1
392,1
393,1
394,2
396,1
397,2
398,1
399,3
400,1
401,1
402,1
409,1
410,1
412,1
414,1
424,1
425,1
430,1
431,2
440,1
442,1
451,1
452,1
465,1
468,1
469,1
476,1
477,1
480,1
481,2
482,1
483,3
484,6
485,4
486,19
487,16
488,3
491,1
492,1
495,1
496,1
501,2
503,1
516,1
517,1
538,1
543,1
567,1
597,1
601,1
619,1
626,1
631,1
639,1
641,1
645,1
654,1
664,1
666,1
669,1
712,1
825,1
868,1
960,1
985,1
1005,1
1051,1
1067,1
1216,1
1311,1
1623,1
1686,1
1738,1
1786,1
1906,1
2418,1
2524,1
2566,1
2610,1
2643,1
2793,1
2823,1
2881,1
2939,1
3217,1
3452,1
3464,1
3620,1
3670,1
3683,1
3721,1
3835,1
3867,1
3912,1
3943,1
4041,1
4074,1
4536,1
4759,1
5731,1
5740,1
5971,1
5986,1
6655,1
6722,1
6768,1
7483,1
7599,1
7748,1
7892,1
8046,1
8152,1
8308,1
8317,1
8363,1
8374,1
8426,1
8429,1
8470,1
8491,1
8492,1
8515,1
8528,1
8534,1
8554,1
8572,1
8575,1
8606,1
8613,1
8643,1
8644,2
8646,1
8649,1
8652,2
8697,1
8702,1
8704,1
8717,1
8731,1
8736,1
8753,1
8766,1
8787,1
8788,1
8801,2
8807,1
8821,1
8832,1
8840,1
8856,1
8863,1
8881,1
8896,1
8903,1
8916,1
8919,1
8928,1
8937,1
8938,1
8941,1
8947,1
8955,1
8958,1
8959,1
8961,1
8978,1
8982,1
8986,1
9000,1
9011,1
9017,1
9022,1
9024,1
9026,1
9031,2
9039,1
9041,1
9045,1
9057,1
9060,1
9063,1
9066,1
9069,1
9072,1
9075,2
9083,1
9095,1
9103,1
9105,1
9113,1
9114,1
9124,1
9131,1
9132,1
9148,1
9169,2
9189,1
9193,1
9196,1
9207,1
9213,1
9216,1
9221,1
9226,1
9233,1
9237,1
9242,1
9257,1
9258,1
9264,1
9269,1
9275,1
9282,1
9283,1
9285,1
9295,1
9303,1
9306,1
9308,2
9318,1
9332,1
9337,1
9338,1
9340,1
9343,1
9344,2
9345,1
9349,1
9351,3
9361,1
9385,1
9391,2
9398,1
9399,1
9404,1
9407,1
9411,1
9420,2
9421,1
9443,1
9446,1
9464,1
9466,1
9473,1
9474,1
9476,1
9480,1
9489,1
9491,1
9498,1
9499,2
9503,1
9505,1
9511,1
9516,1
9530,1
9533,1
9534,1
9535,1
9546,1
9549,1
9554,1
9559,1
9560,1
9566,1
9570,1
9571,1
9577,1
9584,1
9597,1
9615,1
9619,1
9621,1
9627,1
9641,1
9642,1
9649,1
9661,1
9689,1
9692,1
9699,1
9703,1
9705,1
9709,1
9712,1
9716,1
9717,1
9728,1
9730,1
9734,1
9736,1
9757,1
9759,1
9769,1
9803,1
9804,1
9811,1
9818,1
9832,1
9835,1
9836,1
9850,1
9862,1
9872,1
9885,2
9888,2
9889,1
9899,1
9901,1
9912,1
9922,1
9926,1
9934,1
9935,1
9940,1
9949,1
9966,1
9969,1
9973,1
9983,1
9994,1
10007,1
10008,1
10013,1
10026,1
10029,2
10031,1
10034,1
10039,1
10041,1
10052,1
10071,1
10073,2
10074,1
10083,1
10084,1
10103,1
10109,1
10119,1
10217,2
10229,1
10246,1
10248,1
10251,1
10254,1
10255,1
10261,1
10269,1
10271,1
10272,1
10275,1
10302,1
10307,1
10310,1
10321,1
10334,1
10337,1
10340,2
10349,1
10357,1
10380,1
10420,1
10426,1
10453,1
10464,1
10474,1
10479,1
10482,1
10485,1
10493,2
10503,1
10505,1
10507,1
10516,1
10562,1
10583,1
10598,1
10608,1
10642,1
10644,1
10646,1
10648,1
10671,1
10674,1
10691,1
10697,1
10698,1
10730,1
10740,1
10748,1
10783,1
10880,1
10936,1
10953,1
10964,1
10973,1
11049,1
11100,1
11164,1
11195,1
11238,1
11250,1
11341,1
11373,1
11389,1
11458,1
11480,1
11483,1
11499,1
11501,1
11516,1
11567,1
11575,1
11648,1
11674,1
11700,1
11738,1
11754,1
11786,1
11816,1
11845,1
11848,1
11850,1
11867,1
11873,1
11884,1
11895,1
11909,1
11936,1
11945,1
11956,1
11960,1
11987,1
12002,1
12003,1
12018,1
12033,1
12051,1
12067,1
12072,1
12086,1
12101,1
12115,1
12159,1
12177,1
12180,1
12203,1
12215,1
12218,1
12221,1
12227,1
12239,1
12244,1
12245,1
12247,1
12250,1
12265,1
12286,1
12289,1
12295,1
12316,1
12326,1
12383,1
12405,1
12413,1
12520,1
12527,1
12585,1
12594,2
12605,1
12614,1
12647,1
12717,1
12741,1
12749,1
12776,1
12784,1
12786,1
12816,1
12836,1
