dataset,iteration,accuracy
D1,1,0.0
D1,2,0.51
D1,3,0.51
D1,4,0.51
D1,5,0.51
D1,6,0.51
D1,7,0.51
D1,8,0.51
D1,9,0.51
D1,10,0.51
D1,11,0.51
D1,12,0.53
D1,13,0.53
D1,14,0.53
D1,15,0.53
D1,16,0.53
D1,17,0.53
D1,18,0.53
D1,19,0.53
D1,20,0.54
D1,21,0.54
D1,22,0.54
D1,23,0.55
D1,24,0.55
D1,25,0.55
D1,26,0.55
D1,27,0.55
D1,28,0.55
D1,29,0.55
D1,30,0.55
D1,31,0.55
D1,32,0.55
D1,33,0.55
D1,34,0.55
D1,35,0.55
D1,36,0.55
D1,37,0.55
D1,38,0.56
D1,39,0.56
D1,40,0.56
D1,41,0.56
D1,42,0.56
D1,43,0.56
D1,44,0.56
D1,45,0.56
D1,46,0.56
D1,47,0.56
D1,48,0.56
D1,49,0.56
D1,50,0.56
D1,51,0.56
D1,52,0.56
D1,53,0.56
D1,54,0.56
D1,55,0.56
D1,56,0.56
D1,57,0.56
D1,58,0.56
D1,59,0.56
D1,60,0.56
D1,61,0.56
D1,62,0.56
D1,63,0.57
D1,64,0.57
D1,65,0.57
D1,66,0.57
D1,67,0.57
D1,68,0.57
D1,69,0.57
D1,70,0.57
D1,71,0.58
D1,72,0.58
D1,73,0.58
D1,74,0.58
D1,75,0.58
D1,76,0.58
D1,77,0.58
D1,78,0.58
D1,79,0.58
D1,80,0.58
D1,81,0.58
D1,82,0.58
D1,83,0.58
D1,84,0.58
D1,85,0.58
D1,86,0.58
D1,87,0.58
D1,88,0.58
D1,89,0.58
D1,90,0.58
D1,91,0.58
D1,92,0.58
D1,93,0.58
D1,94,0.58
D1,95,0.58
D1,96,0.58
D1,97,0.58
D1,98,0.58
D1,99,0.58
D1,100,0.58
D1,101,0.58
D1,102,0.58
D1,103,0.58
D1,104,0.58
D1,105,0.58
D1,106,0.58
D1,107,0.58
D1,108,0.58
D1,109,0.58
D1,110,0.58
D1,111,0.58
D1,112,0.58
D1,113,0.58
D1,114,0.58
D1,115,0.58
D1,116,0.58
D1,117,0.58
D1,118,0.58
D1,119,0.58
D1,120,0.58
D1,121,0.58
D1,122,0.58
D1,123,0.58
D1,124,0.58
D1,125,0.58
D1,126,0.58
D1,127,0.58
D1,128,0.58
D1,129,0.58
D1,130,0.58
D1,131,0.58
D1,132,0.58
D1,133,0.58
D1,134,0.58
D1,135,0.58
D1,136,0.58
D1,137,0.58
D1,138,0.58
D1,139,0.58
D1,140,0.58
D1,141,0.58
D1,142,0.58
D1,143,0.58
D1,144,0.58
D1,145,0.58
D1,146,0.58
D1,147,0.58
D1,148,0.58
D1,149,0.58
D1,150,0.58
D1,151,0.58
D1,152,0.58
D1,153,0.58
D1,154,0.58
D1,155,0.58
D1,156,0.58
D1,157,0.58
D1,158,0.58
D1,159,0.58
D1,160,0.58
D2,1,0.0
D2,2,0.82
D2,3,0.82
D2,4,0.83
D2,5,0.86
D2,6,0.86
D2,7,0.86
D2,8,0.86
D2,9,0.86
D2,10,0.86
D2,11,0.86
D2,12,0.86
D2,13,0.86
D2,14,0.86
D2,15,0.86
D2,16,0.86
D2,17,0.86
D2,18,0.86
D2,19,0.86
D2,20,0.86
D2,21,0.86
D2,22,0.86
D2,23,0.86
D2,24,0.86
D2,25,0.86
D2,26,0.86
D2,27,0.86
D2,28,0.86
D2,29,0.86
D2,30,0.86
D2,31,0.86
D2,32,0.86
D2,33,0.86
D2,34,0.86
D2,35,0.86
D2,36,0.86
D2,37,0.86
D2,38,0.86
D2,39,0.86
D2,40,0.86
D2,41,0.86
D2,42,0.86
D2,43,0.86
D2,44,0.86
D2,45,0.86
D2,46,0.86
D2,47,0.86
D2,48,0.86
D2,49,0.86
D2,50,0.86
D2,51,0.86
D2,52,0.86
D2,53,0.86
D2,54,0.86
D2,55,0.86
D2,56,0.86
D2,57,0.86
D2,58,0.86
D2,59,0.86
D2,60,0.86
D2,61,0.86
D2,62,0.86
D2,63,0.86
